Complexity,Loss,Equation
1,2.8796532e-9,"1.8664602e-7"
3,1.2956289e-10,"x1 * 1.3104315e-5"
5,8.199032e-11,"(x1 + x0) * 1.3196466e-5"
7,3.382284e-11,"(x0 * 4.520468e-5) + (x1 * 1.308565e-5)"
9,1.9917628e-11,"((x0 * (x1 + 3.2393043)) + x1) * 1.36083345e-5"
11,9.347267e-12,"((x0 * (x1 + 5.4489913)) * 8.3361265e-6) + (x1 * 1.3472649e-5)"
13,4.1032308e-12,"((x0 * (x1 + 5.775546)) * 8.233127e-6) + ((x1 * 1.3472649e-5) + 2.284479e-6)"
15,1.8103327e-12,"(x1 + (x0 * (((x0 * 3.8268113) + (x1 * 0.61139196)) + 3.8268113))) * 1.34803695e-5"
17,1.7746744e-12,"((x1 + (x0 * (((x1 * 0.6140269) + (x0 * 3.51987)) + 3.826825))) * 1.3472649e-5) + 2.9582088e-7"
19,1.7746627e-12,"((x1 + (x0 * (((x1 * 0.6140269) + ((x0 + 1.3472649e-5) * 3.51987)) + 3.826825))) * 1.3472649e-5) + 2.9582088e-7"
21,1.7033623e-12,"(x1 + ((((((x1 * 0.017978381) + (x2 + x2)) * x1) + (3.668531 * x0)) + 3.668531) * x0)) * 1.3469762e-5"
23,1.5903725e-12,"((((((((x1 * -0.46083462) * x5) + 0.620692) * x1) + (x0 * 3.48483)) + 3.6549554) * x0) + (x1 + 0.035956763)) * 1.3480595e-5"
25,1.5780583e-12,"((x1 + 0.035956763) + (((x1 * ((((x1 + x0) * -0.46083462) * x5) + 0.620692)) + ((x0 * 3.48483) + 3.6549554)) * x0)) * 1.3475397e-5"
27,1.4872388e-12,"(x1 + (x0 * (((x1 + x2) * ((((x1 + (x1 * x1)) * x5) * -0.13330665) + 0.51695895)) + ((x0 * 3.580875) + 3.580875)))) * 1.3511452e-5"
29,1.4119552e-12,"((x1 + (x0 * (((x2 + x1) * ((((x1 + (x1 * x1)) * x5) * -0.13282007) + 0.51700956)) + ((x0 * 3.5815358) + 3.5815358)))) * 1.3528902e-5) + 2.8216425e-7"
31,1.3348146e-12,"((x1 + (x0 * (((x1 + x2) * (((x1 + ((x1 * x1) * 0.310346)) * (x5 * -0.42954203)) + 0.51695895)) + ((x0 * 3.48483) + 3.5052788)))) + 0.035956763) * 1.3509837e-5"
33,1.2568078e-12,"(x1 + (x0 * (((x1 + x2) * (((x1 + (((x1 * 0.310346) + (x0 * 3.48483)) * x1)) * (x5 * -0.45956048)) + 0.51695895)) + ((x0 * 3.48483) + 3.5412357)))) * 1.3505145e-5"
37,1.2422435e-12,"(x1 + (((((x1 + x2) * ((x2 + 0.20661294) + (((x1 + (x1 * ((x1 * x2) + (x0 * 3.48483)))) * (x5 * x4)) * x2))) + (x0 * 3.48483)) + 3.5412357) * x0)) * 1.3501101e-5"
39,1.2389389e-12,"((x1 + ((((x1 + x2) * ((((x2 * (x1 + (((x1 * x2) + (x0 * 3.4848301)) * x1))) * (x5 * x4)) + x2) + 0.20661174)) + ((x0 * 3.4848301) + 3.5412343)) * x0)) * 1.3505042e-5) + 2.9698274e-8"
