Complexity,Loss,Equation
1,2.8796532e-9,"1.9818253e-7"
3,1.2956305e-10,"x1 * 1.3101173e-5"
5,8.199032e-11,"(x1 + x0) * 1.3196569e-5"
7,3.381957e-11,"(x1 + (x0 * 3.4606524)) * 1.3101173e-5"
9,1.9880797e-11,"(((x1 + 3.4066184) * x0) + x1) * 1.3564872e-5"
11,3.0042234e-12,"((x0 * 8.667754e-6) + 1.3501224e-5) * ((x0 * 3.6919744) + x1)"
13,2.4141307e-12,"(x0 + 1.4411601) * (((x1 + (x0 * 3.7138543)) * 9.376083e-6) + 5.6765003e-7)"
15,1.8422067e-12,"(x1 + ((((x0 + 1.0658973) * 3.5911558) + (x1 * 0.6158063)) * x0)) * 1.3482928e-5"
17,1.7772706e-12,"(x1 + (((((x0 + 1.0658973) * 3.5911558) + (x1 * 0.6158063)) * x0) + 0.017432647)) * 1.3482928e-5"
19,1.7761784e-12,"((x1 + ((x5 + ((x1 * 0.6158063) + ((x0 + 1.0928177) * 3.565954))) * x0)) + 0.017419163) * 1.3478221e-5"
21,1.7410765e-12,"((x0 * ((x0 * (x0 * x4)) + (((x0 + 1.0928177) * 3.611115) + (x1 * 0.6158063)))) + x1) * 1.3478221e-5"
23,1.7162313e-12,"(((x0 * ((x1 * 0.6158063) + (((x0 * (x0 * -1.1985639)) + 3.565954) * (x0 + 1.0928177)))) + x1) + 0.017419163) * 1.3478221e-5"
25,1.7148164e-12,"1.3478221e-5 * ((x1 + (((x1 * 0.6158063) + ((((x0 * x0) * x4) + 3.565954) * (1.0928177 + x0))) * x0)) + (x2 * 0.06043442))"
27,1.7138729e-12,"1.3478221e-5 * ((x1 + (((x1 * 0.6158063) + ((((x0 * x0) * (0.106815696 + x4)) + 3.565954) * (x0 + 1.0928177))) * x0)) + (x2 * 0.06043442))"
29,1.6585886e-12,"((((((x0 * (x0 + (x1 * (x1 * 0.006372144)))) + (x0 + 1.1562959)) * (x0 + 2.5897698)) + x1) + (x0 * (x1 * 0.6104786))) * 1.3458789e-5) + -3.9878865e-5"
31,1.5721293e-12,"(((x0 * (x1 * 0.6104786)) + (x1 + ((((x0 * ((x0 + (x1 * (x1 * 0.010479359))) + -0.07295374)) + 1.1562959) + x0) * (x0 + 2.5897698)))) * 1.344995e-5) + -3.986349e-5"
33,1.564217e-12,"((((((x0 + (x0 * ((x0 + ((x1 * x1) * 0.01047936)) + -0.07295374))) + 1.1562959) * (x0 + 2.5897698)) + x1) + ((x1 * 0.6104786) * x0)) * (x5 * -0.00029775396)) + -3.989329e-5"
35,1.5543121e-12,"((((((x0 + (x0 * ((x0 + ((x1 + x0) * (x1 * 0.01047936))) + -0.07295374))) + 1.1562959) * (x0 + 2.5897698)) + (x1 + (x0 * (x1 * 0.6104786)))) * x5) * -0.0002977103) + -3.987743e-5"
37,1.5486233e-12,"((((((x0 + (x0 * (x0 + (((x1 * (x0 + (x0 + x1))) * 0.01047936) + -0.07295374)))) + 1.1562959) * (x0 + 2.5897698)) + (x1 + ((x0 * x1) * 0.6104786))) * x5) * -0.0002977103) + -3.987743e-5"
39,1.5275288e-12,"(((((((x0 * (x0 + ((x1 * ((x5 * -0.19282775) * (x1 + (x0 * x1)))) + -0.054345705))) + x0) + 1.1562959) * (x0 + 2.5897698)) + x1) + ((x0 * x1) * 0.6104786)) * (x5 * -0.0002976887)) + -4.0019608e-5"
