Complexity,Loss,Equation
1,2.8796532e-9,"1.9068727e-7"
3,1.295629e-10,"x1 * 1.3103616e-5"
5,8.199062e-11,"1.3201261e-5 * (x1 + x0)"
7,3.3824072e-11,"(x1 * 1.3113253e-5) + (x0 * 4.5469424e-5)"
9,2.85632e-11,"(x1 * 1.3127546e-5) + ((x0 * 4.7117985e-5) + 2.318648e-6)"
11,9.374463e-12,"(x1 * 1.3460689e-5) + (x0 * ((x1 * 7.99034e-6) + 4.5666337e-5))"
13,2.9788732e-12,"((x0 * 8.831628e-6) + 1.3489264e-5) * ((x0 * (x3 * 0.19849333)) + x1)"
15,2.0172596e-12,"((x0 * 8.399997e-6) + 1.3486358e-5) * ((x0 * ((x3 * 0.1998731) + x0)) + x1)"
17,1.8310882e-12,"((x0 * 8.2622255e-6) + 1.3474823e-5) * (x1 + ((x0 * (x0 + (x3 * 0.1998731))) + 0.033969708))"
19,1.8309234e-12,"((x0 * 8.2622255e-6) + 1.3474823e-5) * (x1 + ((x0 * (((x5 + x3) * 0.1998731) + x0)) + 0.033969708))"
21,1.8250258e-12,"((((x0 * ((x3 * 0.1998731) + (x0 * 1.1644819))) + x1) * 1.1164755) + 0.033969708) * ((x0 * 7.4098934e-6) + 1.2074117e-5)"
23,1.8226603e-12,"((x1 + (x5 * -0.6045)) + (x0 * ((x3 * 0.1998731) + (x0 * 1.1685472)))) * (((x0 * 7.4098934e-6) + 1.2074117e-5) * 1.1164755)"
25,1.5620594e-12,"(((x0 * 4.093562e-6) + 6.7378837e-6) * ((x1 + x1) + (((x0 * ((x0 * x3) * -1.9689882)) + x3) * (x0 * 0.4583426)))) + 7.3433523e-7"
27,1.48995e-12,"(((x0 * 4.298631e-6) + 6.7298156e-6) * (x1 + ((((((x0 * x0) * (x3 + x1)) * -2.1045961) + x3) * (x0 * 0.4583426)) + x1))) + 5.748071e-7"
29,1.2977017e-12,"(((x0 * 4.8385377e-6) + 6.726819e-6) * (x1 + ((((((x0 * (x0 * ((x1 * -0.5223277) + -1.8052251))) * x3) + x3) * x0) * 0.4583426) + x1))) + 4.7865905e-7"
31,1.2908369e-12,"(((x0 * 4.8416305e-6) + 6.7265255e-6) * ((x1 + x1) + (((((x0 * ((x1 * -0.52222824) + -1.8051846)) * x0) * (x3 + 1.1597779)) + x3) * (x0 * 0.45905235)))) + 4.758386e-7"
33,1.2724552e-12,"4.0878504e-7 + (((x0 * 4.9082178e-6) + 6.740315e-6) * (((x3 + (x0 * (x0 * ((x3 + x1) * (((x1 + x2) * -0.521413) + -1.6456413))))) * (x0 * 0.46236423)) + (x1 + x1)))"
35,1.2667825e-12,"(((x0 * 4.9082178e-6) + 6.740315e-6) * ((x1 + x1) + (((((x0 * ((x0 * (x1 + x3)) + 0.23785451)) * (((x1 + 0.51640284) * -0.521413) + -1.6213071)) + x3) * x0) * 0.46236423))) + 4.0878504e-7"
37,1.2663713e-12,"(((x0 * 4.9082178e-6) + 6.740315e-6) * (((((x0 * (((x0 * (x1 + x3)) + 0.23785451) * (((x1 + (x2 + 0.18722989)) * -0.521413) + -1.6213071))) + x3) * (x0 * 0.46236423)) + x1) + x1)) + 4.0878504e-7"
