Complexity,Loss,Equation
1,2.8796532e-9,"1.9947868e-7"
3,1.295629e-10,"x1 * 1.3103554e-5"
5,8.199033e-11,"(x1 + x0) * 1.3195903e-5"
7,3.3819635e-11,"(x1 * 1.31061115e-5) + (x0 * 4.5282068e-5)"
9,1.9992443e-11,"(x1 + ((x1 + 3.2016027) * x0)) * 1.3594511e-5"
11,2.9794784e-12,"((x0 * 3.7380562) + x1) * ((x0 * 8.838106e-6) + 1.3497577e-5)"
13,2.024038e-12,"(x1 + ((x0 + 3.7380562) * x0)) * ((x0 * 8.471789e-6) + 1.3490905e-5)"
15,1.8083076e-12,"((x0 * 5.1862964e-5) * (x0 + 1.0024744)) + (((x0 * 8.094277e-6) + 1.34703205e-5) * x1)"
17,1.7839145e-12,"((x0 * (x0 + 1.031415)) * 5.0267612e-5) + (((x0 * 8.189981e-6) + 1.3490277e-5) * (x1 + 0.013992246))"
21,1.7784471e-12,"((x0 + (x0 + (x1 + 0.014052816))) * ((x0 * 8.326768e-6) + 1.3483299e-5)) + ((x0 * (x0 + 0.75094634)) * 3.307218e-5)"
23,1.658467e-12,"((x0 + 1.0275638) * (x0 * 4.845775e-5)) + (((x0 * 8.314037e-6) + 1.346872e-5) * (x1 + (x1 * (x1 * (x0 * 0.016966354)))))"
25,1.5508376e-12,"((x0 + 1.0314015) * (x0 * 4.8072536e-5)) + (((x0 * 8.188133e-6) + 1.34795655e-5) * (x1 + ((((x0 + 0.059497442) * x1) * x1) * 0.02176079)))"
27,1.4036782e-12,"((x0 * (x0 + 1.0296463)) * 4.8724247e-5) + (((x1 * (x1 * ((x1 + 2.2508726) * (x0 * 0.0071987957)))) + x1) * ((6.719039e-6 * x0) + 1.3494473e-5))"
29,1.3749276e-12,"((x0 * (x0 + 1.0296463)) * 4.8724247e-5) + ((((x1 * x1) * (((x0 + (x1 + 2.2508726)) * x0) * 0.0071987957)) + x1) * ((x0 * 6.719039e-6) + 1.3494473e-5))"
31,1.274877e-12,"(((x0 * 6.7225546e-6) + 1.3478739e-5) * ((((x1 * (x1 * 0.04583467)) * x0) * ((x0 + (x1 * 0.15170391)) + 0.47373715)) + x1)) + ((x0 * (x0 + 1.040597)) * 4.7871774e-5)"
33,1.2393131e-12,"(((x0 * 6.72159e-6) + 1.3463541e-5) * (x1 + ((x1 * (((x1 * x0) + 0.08013726) * 0.04583467)) * (x0 + ((0.15170391 * x1) + 0.52098703))))) + ((x0 * (x0 + 1.040597)) * 4.7850463e-5)"
35,1.2339251e-12,"(((x0 * 6.72159e-6) + 1.3463541e-5) * (x1 + (((x1 * ((x1 * x0) + 0.08013726)) * 0.04583467) * (x0 + ((0.15170391 * (x0 + x1)) + 0.52098703))))) + ((x0 * (x0 + 1.040597)) * 4.7850463e-5)"
37,1.2324406e-12,"(((x0 * 6.72159e-6) + 1.3463541e-5) * (x1 + (((x1 * ((x1 * x0) + 0.08013726)) * 0.04583467) * (x0 + ((0.15170391 * (x0 + (x1 + x0))) + 0.52098703))))) + ((x0 * (x0 + 1.040597)) * 4.7850463e-5)"
