Complexity,Loss,Equation
1,2.0587136e-8,"-7.412924e-8"
3,1.1905952e-9,"x1 * 1.16078945e-5"
5,1.0429808e-9,"(x0 + x1) * 1.1648209e-5"
7,2.5317587e-10,"(x0 * 0.00014114942) + (x1 * 1.1585386e-5)"
9,2.0175785e-10,"((x1 + 0.6465091) * 1.16078945e-5) + (x0 * 0.00015053443)"
11,2.5554557e-11,"((x1 * 7.944965e-6) + (x0 * 0.00010580996)) * (x0 + 1.5015054)"
13,1.7286093e-11,"(x0 + 1.6585472) * ((x0 * 9.450972e-5) + ((x1 + 0.27116004) * 7.1727804e-6))"
15,1.716159e-11,"((x0 * 4.8648268e-5) + ((x1 + 0.26209524) * 3.6937613e-6)) * ((x0 + 3.2288597) + x0)"
17,6.168992e-12,"((x0 + 1.6447777) + (x1 * -0.004642692)) * (((x1 + 0.6787144) * 7.2428084e-6) + (x0 * 9.2383045e-5))"
19,6.1098127e-12,"((x1 * -0.0043830154) + (x0 + 1.6177772)) * ((((x1 + 0.6614591) * 0.10312152) + (x0 * 1.3167816)) * 7.147357e-5)"
23,6.1083807e-12,"(((x1 + 0.6614591) * 0.10312152) + (x0 * 1.3167816)) * (((x0 + (((x1 + x0) + -3.5286894) * -0.0043830154)) + 1.5981152) * 7.16444e-5)"
25,5.8849245e-12,"((x0 + ((((x0 * (x1 * -0.6894382)) + x1) * -0.0043830154) + 1.5981152)) * (((x1 + 0.6614591) * 0.10312152) + (x0 * 1.3167816))) * 7.228049e-5"
27,5.868895e-12,"((((x0 * ((x1 + -2.330098) * -0.6894382)) + x1) * -0.0043830154) + (x0 + 1.5981152)) * (((x0 * 1.3167816) + ((x1 + 0.6614591) * 0.10312152)) * 7.226981e-5)"
29,5.2345597e-12,"(((x1 + 0.66142875) * 0.102862366) + (x0 * 1.3124603)) * (((x0 + ((x1 + (x1 * (x0 * (x1 * -0.10574335)))) * -0.009220633)) + (x0 + 3.3862133)) * 3.427503e-5)"
31,4.7314145e-12,"(((x1 + 0.6746219) * 0.10276144) + (x0 * 1.3168099)) * ((((x0 * 0.82018375) + (x0 + (((((x1 * x0) * -0.22324438) * x1) + x1) * -0.009417431))) + 3.3862581) * 3.4338635e-5)"
33,4.549572e-12,"((((((x1 + ((x1 * (x1 + 4.3457103)) * (x0 * -0.24380624))) * -0.008478618) + (x0 * 0.82017386)) + 3.3862133) + x0) * (((x1 + 0.66142875) * 0.102862366) + (x0 * 1.3070698))) * 3.4251814e-5"
35,4.1145013e-12,"((((((((x0 * x1) * (x1 + 5.3665156)) * -0.24380195) + x1) * -0.009799895) + (x0 * 0.8201671)) + (x0 + 3.3862221)) * (((x0 * 1.2810291) + ((x1 + 0.6614004) * 0.10296135)) * 3.4274697e-5)) + 7.9259286e-7"
37,4.064763e-12,"((((((x1 + x0) + (((x0 * x1) * (x1 + 5.3665156)) * -0.24380195)) * -0.009799895) + (x0 * 0.8201671)) + (x0 + 3.3862221)) * (((x0 * 1.2810291) + ((x1 + 0.6614004) * 0.10296135)) * 3.4274697e-5)) + 7.9259286e-7"
