Complexity,Loss,Equation
1,2.0587137e-8,"-7.15959e-8"
3,1.1905952e-9,"x1 * 1.1608308e-5"
5,1.0429809e-9,"(x0 + x1) * 1.1649737e-5"
7,2.5316524e-10,"(x0 * 0.00014134015) + (x1 * 1.15959965e-5)"
9,2.015736e-10,"(x1 * 1.15959965e-5) + ((x0 + 0.050739944) * 0.00014788592)"
11,2.556016e-11,"(x0 + 1.5244719) * ((x0 * 0.0001039678) + (x1 * 7.814058e-6))"
13,1.7059404e-11,"((x0 + 1.6250718) * ((x0 * 9.877819e-5) + (x1 * 7.3180854e-6))) + 2.9758255e-6"
15,6.2102034e-12,"((x0 + 1.6731737) * (((x0 + -0.8387471) * 0.00019976415) + (x1 * 7.1179093e-6))) + 0.00027903615"
21,6.1219814e-12,"((((x0 * x0) * 0.00019589998) + ((x1 * 1.19006245e-5) + (x0 * 0.0001664969))) + -1.0520974e-6) + (x0 * (x1 * 6.936362e-6))"
23,6.1162646e-12,"(x0 * (x0 * 0.00019589998)) + (((x1 + -0.0074758003) * 1.19006245e-5) + ((x0 * 0.0001664969) + ((x0 * (x1 * 6.936362e-6)) + -1.0520974e-6)))"
25,6.1155126e-12,"(((x0 * x0) * 0.00019589998) + (((x1 + -0.0074758003) * 1.19006245e-5) + ((x0 * 0.0001664969) + (x0 * ((x1 + -0.0074758003) * 6.936362e-6))))) + -1.0520974e-6"
27,5.3663003e-12,"((x0 * ((((x0 * x0) * x1) * -0.12367123) + x0)) * 0.00018200658) + ((x0 * (x1 * 8.035112e-6)) + ((x0 * 0.00016553258) + (x1 * 1.1890764e-5)))"
29,4.6799535e-12,"((x1 * (x0 * 8.099201e-6)) + ((x1 * 1.1874736e-5) + (x0 * (((x0 * ((x0 * (x1 + 6.1035213)) * -0.13522188)) + x0) * 0.00016555957)))) + (x0 * 0.00017413685)"
31,4.4887106e-12,"(x1 * 1.1868252e-5) + ((x0 * 0.00017433865) + (((((((x0 * x0) * ((x1 + 6.1035213) * -0.13522188)) + x0) * x0) * 0.00017503751) + ((x1 * 8.1477265e-6) * x0)) + -5.6707853e-7))"
33,4.4510515e-12,"((x1 * 1.1868252e-5) + (x0 * 0.00017433865)) + (((((((x0 + (x1 + 6.1035213)) * -0.13522188) * (x0 * x0)) + x0) * (x0 * 0.00017503751)) + ((x1 * x0) * 8.1477265e-6)) + -5.6707853e-7)"
35,4.4127636e-12,"(x1 * 1.18909475e-5) + ((((x0 * 0.00017265682) + (x0 * (((((x0 * ((x1 + x0) + 3.595973)) * (x0 + 0.0438445)) * -0.12500988) + x0) * 0.00019946431))) + ((x0 * x1) * 8.107862e-6)) + -1.1702159e-6)"
37,4.2758093e-12,"((x1 * 1.18909475e-5) + (x0 * 0.00017265682)) + ((x0 * (x1 * 8.107862e-6)) + ((x0 * (((((x0 + 0.0438445) * x0) * ((x1 + ((x0 * 3.2046425) + 3.99333)) * -0.12500988)) + x0) * 0.00019946431)) + -1.1702159e-6))"
39,4.240885e-12,"(x1 * 1.18909475e-5) + ((((x0 * 8.107862e-6) * x1) + -1.1702159e-6) + ((x0 * 0.00017265682) + (x0 * (((((x0 + 0.0438445) * x0) * (((x1 + (x0 + (x0 * 3.2046425))) + 4.2512965) * -0.12500988)) + x0) * 0.00019946431))))"
