Complexity,Loss,Equation
1,2.0587137e-8,"-6.3403725e-8"
3,1.1905952e-9,"x1 * 1.1607611e-5"
5,1.0429808e-9,"(x0 + x1) * 1.1648256e-5"
7,2.531809e-10,"(x0 * 0.00014220427) + (x1 * 1.1585345e-5)"
9,2.0191543e-10,"((x1 + 0.6259325) * 1.1587986e-5) + (x0 * 0.00014549107)"
11,2.5687733e-11,"((x1 * 7.69141e-6) + (x0 * 0.00010300354)) * (x0 + 1.5499859)"
13,1.7125346e-11,"(((x1 * 7.162032e-6) + (x0 * 9.5462594e-5)) * (x0 + 1.6654242)) + 3.362365e-6"
15,6.9861343e-12,"((x0 + 1.6502954) * ((x1 * 7.212261e-6) + ((x0 + -0.89572424) * 0.00022178024))) + 0.0003255143"
17,6.362062e-12,"(((x0 * 0.30090746) + 0.5319851) * ((x0 * 0.00063648063) + ((x1 * 2.2333352e-5) + -0.00057100726))) + 0.0003028954"
19,6.3334117e-12,"(((x0 * 0.30090746) + 0.5319851) * (((x1 + -0.66766006) * 2.2370758e-5) + ((x0 * 0.0006362141) + -0.0005599969))) + 0.00030479959"
21,5.954178e-12,"(x0 + 1.7074666) * ((x0 * 0.00010311) + ((x1 + ((((x0 * -18.414646) + 5.4845123) * x0) * x0)) * 6.968839e-6))"
23,5.8224376e-12,"(((x0 * 0.00010626235) + ((x1 + (x0 * (x0 * ((x0 * -26.630194) + 6.242172)))) * 6.883342e-6)) + -4.6841842e-7) * (x0 + 1.7268809)"
25,5.5988833e-12,"(x0 + 1.3863014) * ((x0 * 0.000117231044) + (((((((x1 * (x0 * -2.8425775)) + 5.9190555) * x0) * x0) + x1) * 8.580696e-6) + -4.5148835e-7))"
27,4.360829e-12,"((x0 * 0.0001272011) + (((x1 + (((x0 * ((x1 + 5.9185205) * -2.8422518)) + 5.9185205) * (x0 * x0))) * 8.569354e-6) + -7.9076153e-7)) * (x0 + 1.3884293)"
29,4.291552e-12,"((0.0001272011 * x0) + (((x1 + (((((x1 + x0) + 6.1207213) * (x0 * -2.8422518)) + 5.9185205) * (x0 * x0))) * 8.569354e-6) + -7.9076153e-7)) * (x0 + 1.3884293)"
31,4.257435e-12,"((0.0001272011 * x0) + (((x1 + ((((((x0 + x0) + x1) + 6.1207213) * (x0 * -2.8422518)) + 6.1207213) * (x0 * x0))) * 8.569354e-6) + -7.9076153e-7)) * (x0 + 1.3884293)"
33,4.2297385e-12,"((x0 * 0.578169) + 0.8102603) * (((((x0 * x0) * ((((x1 + (6.1207213 + (x0 * 2.255557))) * x0) * -2.8422518) + 5.9185205)) + x1) * 1.4671565e-5) + ((x0 * 0.00021706331) + -1.1849567e-6))"
35,4.1279e-12,"((x0 * 0.578169) + 0.8102605) * (((x0 * 0.00021996076) + -1.6027277e-6) + (((((((x1 + (((x0 + x0) * 2.4943511) + 7.1261215)) * (x0 * -2.8422518)) + 6.617982) * x0) * x0) + x1) * 1.46762395e-5))"
37,4.1278083e-12,"((x0 * 0.578169) + 0.8102605) * (((x0 * 0.00021996076) + -1.6027277e-6) + (((((((((x1 + ((x0 + (x0 * 1.1013031)) * 2.2649088)) + 7.1261215) * x0) * -2.8422518) + 6.617982) * x0) * x0) + x1) * 1.46762395e-5))"
39,4.1076747e-12,"((x0 * 0.5743668) + 0.8102605) * (((x1 + (((x0 * ((x0 + (((x0 + 7.1261215) + (x0 + x1)) + (x0 + x0))) * -2.8422518)) + 6.969499) * (x0 * x0))) * 1.46762395e-5) + (-1.6027277e-6 + (x0 * 0.00021996076)))"
