Complexity,Loss,Equation
1,1.2046934e-8,"1.4047305e-7"
3,8.986507e-10,"x1 * 8.79648e-6"
5,7.924227e-10,"(x1 + x0) * 8.839641e-6"
7,6.8671804e-11,"(x1 * 8.78965e-6) + (x0 * 0.0001331011)"
9,2.238049e-11,"((x1 * 8.790085e-6) + 6.9807493e-6) + (x0 * 0.00014009359)"
11,2.1840248e-11,"(x0 * 0.00013877475) + ((x1 * -0.9999912) + (x1 + 6.6751263e-6))"
13,2.1136332e-11,"((x1 + 0.23355933) + ((x1 * -0.9999912) + -0.23355207)) + (x0 * 0.00013981132)"
15,2.1078366e-11,"(((x1 + 0.14057635) + ((x1 * -0.9999912) + -0.14056881)) * 0.9974446) + (x0 * 0.00013840548)"
17,1.5190403e-11,"(x0 * 0.00013947708) + (((x1 + 0.79295754) + (x0 * ((x0 + 0.15826905) * x1))) * 8.628516e-6)"
19,1.3280502e-11,"((x1 + (((x0 + 0.15800475) * (x0 * (x1 + 4.9326243))) + 0.5949509)) * 8.631866e-6) + (x0 * 0.00013699364)"
21,1.2210837e-11,"((((x1 * ((((x1 * 0.013440171) + x0) + 0.1411842) * x0)) + x1) + 0.8572613) * 8.627076e-6) + (x0 * 0.00013085836)"
23,1.1972327e-11,"(((((x1 + 0.6644117) * (((x1 * 0.013440174) + x0) + 0.1411842)) * x0) + (x1 + 0.8572613)) * 8.628064e-6) + (x0 * 0.00013183312)"
25,1.1498834e-11,"(x0 + (x0 * -0.99986875)) + (((0.74203795 + (((x0 + (x1 * 0.012769098)) + 0.1485538) * ((x1 + 2.1834943) * x0))) + x1) * 8.641271e-6)"
27,8.316863e-12,"((((x0 * (((x0 + 0.123226285) + ((((x0 * x0) * -0.48582935) + 0.029676903) * x1)) * x1)) + 0.7531326) + x1) * 8.623411e-6) + (x0 * 0.00013671246)"
29,7.198638e-12,"(x0 * 0.0001380125) + ((x1 + ((x0 * ((x1 + 2.7777224) * (x0 + ((((x0 * (x0 * -0.34433904)) + 0.01838991) * x1) + 0.1481442)))) + 0.6589928)) * 8.630191e-6)"
31,6.7690853e-12,"(x0 * 0.00013820238) + ((x1 + ((x0 * ((x1 + 2.7777224) * ((x0 + (((x0 * (x0 * -0.34433904)) + 0.01838991) * (x1 * 1.3033378))) + 0.1481442))) + 0.6589928)) * 8.623597e-6)"
33,6.4249894e-12,"(x0 * 0.00013867521) + ((x1 + ((((x1 + 1.5554913) * ((x0 + ((((x0 * (x0 * -0.3443486)) + 0.01820924) * 1.3380874) * (x1 + 2.8978107))) + 0.14811799)) * x0) + 0.6826498)) * 8.614808e-6)"
35,6.2893015e-12,"((x1 + ((((x1 + 3.2699604) * x0) * ((x1 * 0.022058617) + (((x1 * ((x0 + 0.05459139) * x0)) * -0.5205762) + (x0 + 0.18772635)))) + 0.67561996)) * 8.648034e-6) + (x0 + (x0 * -0.99986166))"
37,5.956889e-12,"((((x1 + 2.9476643) * (x0 * (((x1 * 0.022058623) + (((x0 * ((x1 + 1.4796865) * -0.6269655)) * (x0 + 0.05459139)) + x0)) + 0.20706196))) + (x1 + 0.68218017)) * 8.644486e-6) + (x0 + (x0 * -0.9998572))"
39,5.84076e-12,"((((((x1 + 2.9476643) * x0) * ((x1 * 0.022058623) + ((((x0 + 0.05459139) * (x0 * -0.6269655)) * (x1 + 1.4796865)) + ((x0 * 0.95629436) + 0.20706196)))) + x1) + 0.68218017) * 8.647039e-6) + (x0 + (x0 * -0.9998572))"
