Complexity,Loss,Equation
1,1.2046935e-8,"1.3637892e-7"
3,8.9864904e-10,"x1 * 8.800197e-6"
5,7.924226e-10,"(x0 + x1) * 8.83928e-6"
7,6.8671235e-11,"(x1 * 8.787017e-6) + (x0 * 0.00013298665)"
9,2.2390138e-11,"((x0 * 0.00013949529) + (x1 * 8.784462e-6)) + 7.060876e-6"
11,2.1840703e-11,"(x0 * 0.00013876375) + (x1 + ((x1 * -0.9999912) + 6.675565e-6))"
13,2.0541853e-11,"((x0 * 0.00013940218) + (((x1 * -1.2715215e-8) + 8.8001825e-6) * x1)) + 8.8001825e-6"
15,1.6348263e-11,"(x0 * 0.0001395219) + ((((x1 * (x1 * -2.6412754e-9)) + 9.362008e-6) * x1) + 7.110681e-6)"
17,1.4466876e-11,"(x0 * 0.00013874548) + ((x1 * (((x1 * (x1 + 4.9405837)) * -3.0192209e-9) + 9.428519e-6)) + 9.095898e-6)"
19,1.3802661e-11,"((x0 * 0.00013111556) + 6.9212715e-6) + (x1 * ((x1 * (((x0 * -30.746578) + x1) * -3.1391132e-9)) + 9.509138e-6))"
21,1.1774096e-11,"((x0 * 0.00013297483) + (((((x1 + 3.0591564) * (x1 + (x0 * -43.955994))) * -2.591879e-9) + 9.367007e-6) * x1)) + 8.259241e-6"
23,1.1066625e-11,"((x0 * 0.00013167114) + 7.0138403e-6) + (((((x0 * (x1 * (x1 * -0.23673043))) + x1) * (x1 * -2.891117e-9)) + 9.420749e-6) * x1)"
25,8.482865e-12,"((((((x0 * (x1 * ((x1 * -0.2248144) + -1.5345824))) + x1) * (x1 * -2.8256357e-9)) + 9.426198e-6) * x1) + (x0 * 0.00013266252)) + 7.570926e-6"
27,8.200925e-12,"(((((((x0 * (x1 * ((x1 * -0.2248144) + -1.5345824))) + x1) + 1.3119398) * x1) * -2.8256357e-9) + 9.451041e-6) * x1) + ((x0 * 0.00013290795) + 8.046125e-6)"
29,8.081631e-12,"((((((((x0 * x1) * ((x1 * -0.23673043) + (x0 + -1.5345824))) + x1) + 1.6223956) * x1) * -2.8256357e-9) + 9.453639e-6) * x1) + ((x0 * 0.00013290414) + 8.09834e-6)"
31,7.955862e-12,"((x1 * (((((x1 + 1.6223956) + (x0 * (x1 * ((x1 * -0.23673043) + ((x0 + x0) + -1.5345824))))) * x1) * -2.8256357e-9) + 9.453639e-6)) + (x0 * 0.00013290414)) + 8.09834e-6"
33,7.874793e-12,"((((((((x0 * x1) * ((x1 * -0.23673043) + ((x0 + x0) + -1.5345824))) + x1) + 1.6223956) * (x0 + x1)) * -2.8256357e-9) + 9.453639e-6) * x1) + ((x0 * 0.00013290414) + 8.09834e-6)"
35,6.894227e-12,"(x1 + (((((x1 * ((x0 * 0.2961392) + 0.071513176)) + x0) * ((x1 * (((x0 * 5.514486) + -1.0087351) * -0.09982969)) + 0.9250804)) + 5.514486) * ((x0 + 0.11183736) + (x0 + x0)))) * 8.551663e-6"
37,6.338683e-12,"(x1 + (((((((x1 + 1.8996693) * ((x0 * 5.514486) + -1.0087351)) * -0.09982969) + 0.9250804) * (x0 + (x1 * ((x0 * 0.2961392) + 0.071513176)))) + 5.588441) * ((x0 + x0) + (x0 + 0.11183736)))) * 8.547589e-6"
39,6.167285e-12,"(x1 + (((x0 + (x0 + 0.11183736)) + x0) * ((((x0 + 0.07395489) + (x1 * (0.071513176 + (x0 * 0.29686588)))) * ((((x1 + 1.8996693) * -0.09982969) * ((x0 * 5.514486) + -1.0087351)) + 0.8434735)) + 5.514486))) * 8.58704e-6"
