Complexity,Loss,Equation
1,1.8317075e-9,"2.577546e-7"
3,1.1246304e-10,"x1 * 1.0361427e-5"
5,7.191257e-11,"(x0 + x1) * 1.0465564e-5"
7,9.894429e-12,"(x1 * 1.03589655e-5) + (x0 * 4.6964105e-5)"
9,4.028271e-12,"((x1 * 1.03531165e-5) + 2.463033e-6) + (x0 * 4.921879e-5)"
11,3.954951e-12,"(x1 + ((x1 * -0.9999896) + 2.5965307e-6)) + (x0 * 4.936679e-5)"
13,3.8411774e-12,"((x1 * 1.0340441e-5) + (((x0 + 3.1938088) * x0) * 1.5841444e-5)) + 1.7947624e-6"
15,2.9575572e-12,"((x0 * ((x1 * (x1 * 5.8671714e-7)) + 4.4886634e-5)) + 2.8428256e-6) + (x1 * 1.0351311e-5)"
17,2.7648188e-12,"(x1 * 1.0393695e-5) + (((((x1 + 1.1669232) * (x1 * 6.25068e-7)) + 4.3752563e-5) * x0) + 2.714e-6)"
19,2.5506858e-12,"(x1 * 1.0376732e-5) + ((x0 * (((x1 * ((x1 * x1) * 2.485452e-8)) * x1) + 4.600886e-5)) + 2.779393e-6)"
21,2.1213424e-12,"((x1 * 1.0423494e-5) + (x0 * (((x1 * (x1 * (x1 * 2.6800787e-8))) * (x1 + 2.2852108)) + 4.5426226e-5))) + 2.7956337e-6"
23,2.0679892e-12,"((x1 * 1.0399673e-5) + ((((x1 * (x1 + -1.963217)) * (x1 * ((x1 + 3.7704842) * 3.707589e-8))) + 4.701729e-5) * x0)) + 2.7669407e-6"
25,1.9642619e-12,"((((((x1 + 1.511832) * ((x1 + -2.792249) * x1)) * ((x1 + 3.7704842) * 3.707589e-8)) + 4.701729e-5) * x0) + (x1 * 1.0399673e-5)) + 2.7669407e-6"
27,1.9289722e-12,"((x0 * (((((x0 * 0.1548355) + (x1 * (x1 * ((x1 + 2.4757862) * 0.0014670568)))) * x1) + 2.4757862) * 1.846452e-5)) + (x1 * 1.0362619e-5)) + 2.7540332e-6"
29,1.6940827e-12,"((x1 * 1.0346119e-5) + (((x1 * ((x1 + 3.0992732) * ((x0 * (x0 * x0)) + (x1 * (x1 * 0.0010652513))))) + 1.9975255) * (x0 * 2.3688382e-5))) + 2.3396349e-6"
31,1.6646089e-12,"(((x0 * ((x1 * ((x1 + 3.401718) * (((x1 + -1.0033803) * (x1 * 0.0015408593)) + ((x0 * x0) * x0)))) + 2.4757862)) * 1.929904e-5) + (x1 * 1.0346236e-5)) + 2.521108e-6"
33,1.5504993e-12,"(((x1 * (((((x1 + (x0 * -5.246553)) * x1) * 0.0010652511) + ((x0 * x0) * x0)) * (x1 + 2.8792157))) + 2.016762) * (x0 * 2.3512588e-5)) + ((x1 * 1.04179435e-5) + 2.512982e-6)"
35,1.5276351e-12,"((((x1 * (x1 + 2.8792157)) * (((x1 + ((x0 + x0) * -3.1965773)) * (x1 * 0.0010652511)) + ((x0 * x0) * x0))) + 1.9975255) * (x0 * 2.3512588e-5)) + ((x1 * 1.04179435e-5) + 2.512982e-6)"
37,1.5125465e-12,"(((x1 * ((x1 + 2.8792157) * (((x1 + ((x0 + (x0 + x0)) * -3.1965773)) * (x1 * 0.0010652511)) + ((x0 * x0) * x0)))) + 1.9975255) * (x0 * 2.3512588e-5)) + ((x1 * 1.04179435e-5) + 2.512982e-6)"
39,1.4729338e-12,"((x0 * ((((x1 * (x1 + 2.8792157)) * (((x1 + ((x0 + ((x0 + x0) + 0.1766495)) * -3.1965773)) * (x1 * 0.0010652517)) + (x0 * (x0 * x0)))) + 1.9975255) * 2.3963927e-5)) + (x1 * 1.0420356e-5)) + 2.6088558e-6"
