Complexity,Loss,Equation
1,1.8317075e-9,"2.51458e-7"
3,1.12463046e-10,"x1 * 1.0361945e-5"
5,7.191256e-11,"(x1 + x0) * 1.046598e-5"
7,9.89695e-12,"(1.0361945e-5 * x1) + (x0 * 4.6561836e-5)"
9,4.0299795e-12,"((x1 + 0.23635091) * 1.0363295e-5) + (x0 * 4.9316037e-5)"
11,3.9547844e-12,"(x0 * 4.9023973e-5) + (((x1 * -0.9999896) + 2.596505e-6) + x1)"
13,3.855072e-12,"(((x1 * -3.734158e-8) + 1.0353202e-5) * (x1 + 0.30977044)) + (x0 * 4.919758e-5)"
15,2.8684334e-12,"((((x1 * x0) * 5.9309207e-7) + 1.0374651e-5) * (x1 + 0.25299957)) + (x0 * 4.4292447e-5)"
17,2.7619428e-12,"(x0 * 4.44173e-5) + ((1.0374651e-5 + (x0 * ((x1 + 0.9322294) * 5.675821e-7))) * (x1 + 0.25299957))"
19,2.444093e-12,"(x0 * 4.581243e-5) + ((x1 + 0.27216983) * ((x1 * (((x1 * x1) * x0) * 2.7363436e-8)) + 1.0361253e-5))"
21,2.1322182e-12,"(x0 * 4.533589e-5) + ((x1 + 0.27216983) * ((x0 * (((x1 + 1.8455322) * (x1 * x1)) * 2.6703624e-8)) + 1.0411285e-5))"
23,1.8569122e-12,"(x0 * 4.7101457e-5) + ((x1 + 0.22681035) * ((((x1 + 2.7391472) * ((x0 * (x0 * -1.2523287e-5)) + 8.8847275e-7)) * x0) + 1.0349036e-5))"
27,1.6333586e-12,"(((((x0 * (x0 * -1.138797e-5)) + 8.475536e-7) * (x0 * (x1 + ((x0 * -12.907992) + 2.3256912)))) + 1.0423454e-5) * (x1 + 0.24222873)) + (x0 * 4.7348145e-5)"
29,1.570628e-12,"(x0 * 4.6364785e-5) + ((x1 + 0.23635091) * ((x0 * (((((x1 * x1) * x0) * -1.3255571) + x1) * (((x0 * x0) * -1.1522622e-5) + 9.246959e-7))) + 1.0606282e-5))"
31,1.4554744e-12,"(x0 * 4.7005764e-5) + ((x1 + 0.23635091) * ((x0 * (((x0 * (x0 * -1.1698708e-5)) + 8.945828e-7) * (((x1 * x1) * (x0 * -1.3255571)) + (x1 + 1.3619398)))) + 1.0598439e-5))"
33,1.3530657e-12,"(x0 * 4.6983267e-5) + ((x1 + 0.23635091) * (((x0 * ((((x0 * 4.823575) + -1.2146938) * ((x1 * x1) * x0)) + x1)) * (((x0 * x0) * -1.0402416e-5) + 7.895595e-7)) + 1.0591683e-5))"
35,1.3289144e-12,"(x0 * 4.6983267e-5) + ((x1 + 0.23635091) * (((x0 * ((((0.5093317 + x1) * x0) * (((x0 * 4.823575) + -1.2146938) * x1)) + x1)) * (((x0 * x0) * -1.0402416e-5) + 7.895595e-7)) + 1.0591683e-5))"
37,1.2832968e-12,"((x1 + 0.249567) * (((x0 * ((x0 * (x0 * -1.0440046e-5)) + 7.9063767e-7)) * (((((x1 * (((x0 + x0) * 2.9612527) + -0.69041103)) + -1.9247425) * x0) * x1) + x1)) + 1.0499407e-5)) + (x0 * 4.7176123e-5)"
39,1.2665974e-12,"(x0 * 4.7176123e-5) + ((x1 + 0.249567) * ((x0 * ((((x0 * x0) * -1.0440046e-5) + 7.9063767e-7) * ((((x1 * (((x0 + x0) * 2.9612527) + -0.6979797)) + -1.9247425) * (x0 * x1)) + (x1 + -0.49863023)))) + 1.0499407e-5))"
