Complexity,Loss,Equation
1,1.8317075e-9,"2.513261e-7"
3,1.1246305e-10,"x1 * 1.0362251e-5"
5,7.191256e-11,"(x1 + x0) * 1.0467603e-5"
7,9.895726e-12,"(x0 * 4.7032052e-5) + (x1 * 1.0354156e-5)"
9,4.0301803e-12,"((x0 * 4.91393e-5) + 2.5242039e-6) + (x1 * 1.0358092e-5)"
11,4.0043576e-12,"(x0 * 5.0207866e-5) + (x1 + ((x1 * -0.9999896) + 2.5824297e-6))"
13,3.8514565e-12,"((x1 * ((x1 * -4.017003e-8) + 1.0335919e-5)) + 3.03825e-6) + (x0 * 4.9407165e-5)"
15,2.9366767e-12,"((x1 * ((x0 * (x1 * 5.5487436e-7)) + 1.03656885e-5)) + (x0 * 4.4852153e-5)) + 2.6732491e-6"
17,2.755175e-12,"((x1 * (((x0 * (x1 + 1.2355977)) * 5.77207e-7) + 1.0386713e-5)) + (x0 * 4.449821e-5)) + 2.6569264e-6"
19,2.552182e-12,"((x0 * 4.593262e-5) + 2.8120517e-6) + (x1 * (((x1 * x0) * ((2.4993016e-8 * x1) * x1)) + 1.0377522e-5))"
21,2.1496823e-12,"(((((x0 * (((x1 + 2.0868042) * x1) * 2.4408468e-8)) * x1) + 1.0388172e-5) * x1) + 2.732677e-6) + (x0 * 4.622404e-5)"
23,1.9342884e-12,"((x0 * 4.543455e-5) + ((((x1 * x1) * ((x0 * ((x1 + 1.978573) * 2.6725294e-8)) + -1.5324774e-8)) + 1.077944e-5) * x1)) + 2.780991e-6"
25,1.4671727e-12,"(x0 * 4.6025965e-5) + ((x1 * (((((x0 * ((x0 * -29.921888) + x1)) * 2.5232861e-8) + -3.1382903e-8) * (x1 * x1)) + 1.14233335e-5)) + 2.7738133e-6)"
27,1.4368917e-12,"(x0 * 4.6025965e-5) + (((((((x0 * ((x0 * -29.921888) + x1)) * 2.6320057e-8) + -3.1382903e-8) * ((x1 + x0) * x1)) + 1.14233335e-5) * x1) + 2.7738133e-6)"
29,1.3820484e-12,"(x1 * ((x1 * (((((x1 + ((x0 + 0.03374605) * -37.905773)) * x0) * 2.7712636e-8) + -3.5171926e-8) * (x0 + x1))) + 1.1587827e-5)) + ((x0 * 4.5978202e-5) + 2.7769192e-6)"
31,1.3515547e-12,"(x0 * 4.725993e-5) + ((((x1 * (((((x1 * ((x0 * 5.4845765e-7) + (x1 * -3.5171926e-8))) + 4.189802e-7) * x0) * -1.3602663) + (x1 * -3.1389366e-8))) + 1.1418339e-5) * x1) + 2.7974972e-6)"
33,1.3381513e-12,"(x0 * 4.725993e-5) + (2.7974972e-6 + (((x1 * ((((((x1 + -0.2539935) * ((x0 * 5.4845765e-7) + (x1 * -3.5171926e-8))) + 4.189802e-7) * x0) * -1.4580648) + (x1 * -3.1389366e-8))) + 1.1418339e-5) * x1))"
35,1.3332926e-12,"((x1 * (((((x0 * ((((x0 * 5.5487436e-7) + (x1 * -3.5171926e-8)) * (x1 + -0.32656372)) + 4.189802e-7)) * -1.4580648) + (x1 * -3.1389366e-8)) * (x1 + 0.06709351)) + 1.1418339e-5)) + (x0 * 4.725993e-5)) + 2.7974972e-6"
37,1.3022756e-12,"((x1 * (1.1418339e-5 + (((x1 * -3.1389366e-8) + ((((x1 + -0.34631282) * ((x0 * 5.4845765e-7) + (-3.1389366e-8 * x1))) + 4.189802e-7) * (x0 * -1.4580648))) * ((x0 * -1.5945854) + x1)))) + (x0 * 4.760708e-5)) + 2.7974972e-6"
39,1.2949023e-12,"((x1 * ((((x1 * -3.1389366e-8) + (((((x1 + -0.34631282) * ((x0 * 5.4845765e-7) + (x1 * -3.1389366e-8))) + 4.189802e-7) * -1.4580648) * x0)) * (((x0 + x0) * -1.0975585) + x1)) + 1.1418339e-5)) + (x0 * 4.725993e-5)) + 2.7974972e-6"
