Complexity,Loss,Equation
1,1.8317075e-9,"2.577999e-7"
3,1.1246304e-10,"x1 * 1.0360991e-5"
5,7.191264e-11,"(x1 + x0) * 1.0469184e-5"
7,9.899201e-12,"(x0 * 4.7038982e-5) + (x1 * 1.0342881e-5)"
9,4.029088e-12,"((x0 * 4.9298367e-5) + 2.5053728e-6) + (x1 * 1.0355372e-5)"
11,3.9728615e-12,"(x0 * 4.8729828e-5) + (x1 + ((x1 * -0.9999896) + 2.5574082e-6))"
13,3.8411453e-12,"(x0 * ((x0 + 4.047023) * 1.2475882e-5)) + (1.98201e-6 + (x1 * 1.0342881e-5))"
15,2.9495345e-12,"(((((x1 * x1) * 5.9690893e-7) + 4.417768e-5) * x0) + 2.7005808e-6) + (x1 * 1.0391385e-5)"
17,2.7556301e-12,"(x1 * 1.0391385e-5) + ((x0 * (((x1 * 5.9690893e-7) * (x1 + 1.2149792)) + 4.417768e-5)) + 2.7005808e-6)"
19,2.535038e-12,"((((x1 * ((x1 + 10.036795) * x1)) * 6.5754996e-8) + 4.3744407e-5) * x0) + ((x1 * 1.0453033e-5) + 2.7246765e-6)"
21,2.130712e-12,"((x1 * 1.0417236e-5) + (x0 * (((x1 + 2.0789824) * (x1 * (x1 * (x1 * 2.814473e-8)))) + 4.5203855e-5))) + 2.8406594e-6"
23,2.060969e-12,"((x0 * ((((x1 * ((x1 + 3.478243) * (x1 + -1.9928263))) * x1) * 3.7669523e-8) + 4.6430556e-5)) + (x1 * 1.0428647e-5)) + 2.6990808e-6"
25,1.9167766e-12,"((((((x1 * x1) * x1) * ((x1 * x1) * 1.0169648e-9)) * (x1 + 2.7785165)) + 4.674126e-5) * x0) + ((x1 * 1.0446165e-5) + 2.8442482e-6)"
27,1.5468972e-12,"(x1 * 1.0648043e-5) + ((x0 * (((x1 + (x0 * -30.03813)) * (((x1 * x1) * ((x1 * x1) * x1)) * 1.1326801e-9)) + 4.6195826e-5)) + 2.9084413e-6)"
29,1.1616021e-12,"((x1 * 1.0621782e-5) + (((((((x1 * x1) * (x1 + (x0 * -42.255695))) * 1.8696982e-9) * x1) * ((x1 * x1) + -13.023032)) + 4.752197e-5) * x0)) + 2.82087e-6"
31,1.1079585e-12,"((x1 * 1.0621781e-5) + ((((((x1 * x1) + -13.023032) * (((x1 * x1) * x1) * (x1 + ((x0 * -43.12869) + -1.2228789)))) * 2.0432465e-9) + 4.752197e-5) * x0)) + 2.8208701e-6"
33,1.1076768e-12,"((x1 * 1.0621781e-5) + ((4.752197e-5 + (((x1 * x1) + -13.023032) * (((x1 + 0.066928945) * ((x1 * x1) * ((x1 + (x0 * -43.12869)) + -1.2228789))) * 2.0432465e-9))) * x0)) + 2.8208701e-6"
37,1.098575e-12,"(((((((x1 * x1) + -13.023032) * (x1 * (((x1 + -0.9395814) + (x0 * -42.255695)) * 1.3870437))) * ((((x1 * 0.60882497) * x1) + 0.9598687) * 2.1796818e-9)) + 4.7274585e-5) * x0) + (x1 * 1.0625994e-5)) + 2.8874576e-6"
