Complexity,Loss,Equation
1,1.8317075e-9,"2.58839e-7"
3,1.1246304e-10,"x1 * 1.036138e-5"
5,7.1912545e-11,"(x0 + x1) * 1.0466476e-5"
7,9.893735e-12,"(x1 * 1.036138e-5) + (x0 * 4.679067e-5)"
9,4.029503e-12,"(x0 * 4.9186863e-5) + ((x1 * 1.0369174e-5) + 2.475881e-6)"
11,3.952858e-12,"(x0 * 4.918122e-5) + (((x1 * -0.9999896) + 2.6114176e-6) + x1)"
13,3.8402614e-12,"(x0 * ((x0 * 1.3257939e-5) + 5.0273095e-5)) + ((x1 * 1.036313e-5) + 1.8205004e-6)"
15,2.9342661e-12,"(x1 * (((x0 * x1) * 6.1128605e-7) + 1.0357081e-5)) + ((x0 * 4.4015225e-5) + 2.709358e-6)"
17,2.7758054e-12,"((((x0 * (1.0637672 + x1)) * 5.8827317e-7) + 1.0355578e-5) * x1) + ((x0 * 4.4395318e-5) + 2.6181197e-6)"
19,2.7141579e-12,"(((((x0 * ((x1 + x0) + 1.2547371)) * 5.8827317e-7) + 1.0355578e-5) * x1) + (x0 * 4.4395318e-5)) + 2.6181197e-6"
21,2.5456443e-12,"(((((x1 * ((x0 * (x1 * x1)) * 0.00059652457)) * x1) + x0) * 4.5704295e-5) + (x1 * 1.0347802e-5)) + 2.7320948e-6"
23,2.1227965e-12,"((x1 * 1.0412654e-5) + 2.815418e-6) + ((((x0 * x1) * (((x1 + 2.2306645) * (x1 * x1)) * 0.00059649535)) + x0) * 4.5871642e-5)"
25,1.9111644e-12,"(x0 * 4.747437e-5) + (((1.0412851e-5 * x1) + ((((x1 * ((x1 * x1) + -11.033656)) * x0) * (x1 + 2.79227)) * 4.2193882e-8)) + 2.7155731e-6)"
27,1.28346e-12,"((x1 * 1.0492908e-5) + 2.8706982e-6) + (((((x1 * x1) + -11.455359) * x0) * (x1 * (((x0 * -24.67772) + x1) * 4.4135753e-8))) + (x0 * 4.7513902e-5))"
29,1.2637195e-12,"(((x1 * 1.0492908e-5) + 2.8706982e-6) + (((((x1 * (x1 + 0.20238964)) + -11.65776) * (x0 * x1)) * (x1 + (x0 * -24.67772))) * 4.4135753e-8)) + (x0 * 4.7513902e-5)"
31,1.2541342e-12,"((x1 + (x0 * -24.67772)) * ((x0 * (x1 * 4.4135753e-8)) * ((((x0 + x1) + 0.36653197) * x1) + -11.65776))) + (((x0 * 4.7513902e-5) + (x1 * 1.0492908e-5)) + 2.8706982e-6)"
35,1.2525512e-12,"((x0 * 4.7513902e-5) + (x1 * 1.0492908e-5)) + (2.8706982e-6 + ((((x1 + (x0 * -24.67772)) * ((x0 * (-0.654033 + x1)) + (((x1 + 0.3081887) * x1) + -11.65776))) * (x0 * x1)) * 4.4135753e-8))"
37,1.2520525e-12,"(x0 * 4.7513902e-5) + ((x1 * 1.0492908e-5) + (2.8706982e-6 + (((x1 + (x0 * -24.67772)) * (((x0 * ((4.7513902e-5 + -1.2191231) + x1)) + (((x1 + 0.3081887) * x1) + -11.65776)) * (x0 * x1))) * 4.4135753e-8)))"
