Complexity,Loss,Equation
1,1.8317075e-9,"2.550907e-7"
3,1.1246304e-10,"x1 * 1.0361481e-5"
5,7.1912545e-11,"(x1 + x0) * 1.0467039e-5"
7,9.8938175e-12,"(x0 * 4.674564e-5) + (x1 * 1.0355896e-5)"
9,4.0281233e-12,"((x1 + 0.2390472) * 1.0359164e-5) + (x0 * 4.927703e-5)"
11,3.9532748e-12,"(x0 * 4.930705e-5) + (((x1 + -2.6219607e-6) * -0.9999896) + x1)"
13,3.850036e-12,"(((x0 * x0) + (x1 + 0.19932644)) * 1.0359164e-5) + (x0 * 4.9839735e-5)"
15,3.8442713e-12,"(x0 * 5.0479095e-5) + ((x1 + ((x0 * (x0 * 1.6348453)) + 0.16769812)) * 1.0350684e-5)"
17,2.9358191e-12,"(((((x0 * x1) * (x1 * 0.05807883)) + x1) * 1.0367285e-5) + (x0 * 4.4034034e-5)) + 2.6664256e-6"
19,2.7601526e-12,"(((x0 * ((x1 * 0.05807883) * (x1 + 1.1484581))) + x1) * 1.0388797e-5) + ((x0 * 4.452844e-5) + 2.7715746e-6)"
21,2.5429324e-12,"(x0 * 4.5815163e-5) + ((x1 * ((((x1 * x0) * x1) * 2.7191852e-8) * x1)) + ((x1 * 1.0350739e-5) + 2.8343356e-6))"
23,2.1371004e-12,"(x0 * 4.5454857e-5) + (((((x1 + 1.9478872) * ((x1 * 0.0028032404) * x1)) * (x0 * x1)) + (x1 + 0.26429108)) * 1.0414613e-5)"
25,2.085462e-12,"(x0 * 4.627482e-5) + ((x1 + (0.26429108 + (((x1 + -1.0811344) * ((x0 * (x1 * x1)) * (x1 + 3.1339788))) * 0.0028032593))) * 1.041705e-5)"
27,2.0571765e-12,"(x0 * 4.6403027e-5) + ((x1 + ((((x1 + -1.7166553) * (x1 + 2.9615364)) * ((((x1 * x1) + x1) * x0) * 0.0028032525)) + 0.26429108)) * 1.0424427e-5)"
29,1.7208814e-12,"(((x1 + ((x1 * ((x1 + (((x1 * -1.0800247) * x0) * x1)) * (x0 * x1))) * (x1 * 0.0028032432))) + 0.26429108) * 1.06204025e-5) + (x0 * 4.5529476e-5)"
31,1.4038086e-12,"(x0 * 4.530658e-5) + (((x1 + ((x0 + (((x1 + (((x1 * x0) * -1.6055287) * x1)) * x1) * (x1 * 0.0028032758))) * (x0 * x1))) + 0.26429108) * 1.0500088e-5)"
33,1.2877793e-12,"(x0 * 4.547538e-5) + (((((x0 * ((x0 * 0.6768708) + (x1 * (x1 * ((((x1 * (x1 * -1.4943733)) * x0) + x1) * 0.0028032742))))) * x1) + x1) + 0.26429108) * 1.0552317e-5)"
35,1.2365139e-12,"(x0 * 4.4897246e-5) + (((x1 + ((((0.6855667 * x0) + ((x1 * ((((x1 * (x1 * x0)) * -1.4943733) + x1) * x1)) * 0.002803276)) * x0) * (x1 + x0))) + 0.26429108) * 1.0536127e-5)"
37,1.2089426e-12,"(x0 * 4.4833916e-5) + (((x1 + 0.26429108) + ((x0 + (x1 + x0)) * (((x0 * 0.6855667) + (((x1 * x1) * 0.0028032793) * ((((x1 * x1) * x0) * -1.4943733) + x1))) * x0))) * 1.0532672e-5)"
39,1.1920988e-12,"(x0 * 4.4897246e-5) + ((x1 + ((((x0 + x1) + x0) * (((x0 * 0.6855667) + ((x1 * 0.002803276) * (x1 * ((((x0 + x1) * (x1 * x0)) * -1.4943733) + x1)))) * x0)) + 0.26429108)) * 1.0536127e-5)"
