Complexity,Loss,Equation
1,1.8317075e-9,"2.577019e-7"
3,1.1246304e-10,"x1 * 1.0361144e-5"
5,7.19126e-11,"(x0 + x1) * 1.0465008e-5"
7,9.8953476e-12,"(x0 * 4.6801284e-5) + (x1 * 1.036852e-5)"
9,4.0310446e-12,"(x1 * 1.0359241e-5) + ((x0 * 4.890477e-5) + 2.4831747e-6)"
11,3.845997e-12,"((((x0 + 4.8375635) * x0) + x1) * 1.0358891e-5) + 2.0013224e-6"
13,3.776169e-12,"(((x0 * 9.2393293e-7) + 1.0395682e-5) * (x1 + (x0 * 4.7973495))) + 2.3948076e-6"
15,2.892304e-12,"((((x1 * x0) * 5.965674e-7) + 1.0314774e-5) * (x1 + (x0 * 4.2701325))) + 2.7124674e-6"
17,2.5568072e-12,"(((x0 * ((x1 + 1.4363601) * 6.440017e-7)) + 1.034282e-5) * ((x0 * 4.2701325) + x1)) + 2.5447487e-6"
19,2.5284826e-12,"2.5757588e-6 + (((((x1 + (x0 + 1.6037436)) * x0) * 6.220089e-7) + 1.0337963e-5) * (x1 + (x0 * 4.2701325)))"
21,2.130613e-12,"(x0 * 4.5894463e-5) + (((((x1 + 2.1024277) * (((x1 * x1) * x0) * 2.7390662e-8)) + 1.0443566e-5) * x1) + 2.7782635e-6)"
23,1.906212e-12,"(((((x1 + 3.1174483) * ((x1 * x1) + -10.658467)) * (x0 * 4.196339e-8)) + 1.04563605e-5) * x1) + ((x0 * 4.7371144e-5) + 2.8434988e-6)"
25,1.9004564e-12,"((((((x1 + 3.1174483) * ((x1 * x1) + (x0 + -10.183037))) * 4.196339e-8) * x0) + 1.04563605e-5) * x1) + ((x0 * 4.7371144e-5) + 2.8434988e-6)"
27,1.3951761e-12,"(x0 * 4.785206e-5) + ((((x0 * (((x1 * 4.5063135e-8) + (x0 * -8.6715465e-7)) * ((x1 * x1) + (x1 + -15.201748)))) + 1.0442722e-5) * x1) + 2.9231212e-6)"
29,1.3882044e-12,"(x0 * 4.785206e-5) + (((((((x1 * x1) + (x1 + -12.505389)) * x0) * (((x1 * 4.5063135e-8) + (x0 * -8.414275e-7)) + -2.5727159e-8)) + 1.0442722e-5) * x1) + 2.9231212e-6)"
31,1.3125307e-12,"(x0 * 4.785206e-5) + ((((((x1 * 0.62946475) + ((x1 * x1) + -12.505389)) * (x0 * (((x1 * 4.5063135e-8) + (x0 * -8.414275e-7)) + -2.5727159e-8))) + 1.0442722e-5) * x1) + 2.9231212e-6)"
33,1.2794272e-12,"((((((((x0 * x1) + -0.39202496) * (x1 * x1)) * x1) * ((x0 * x1) + -0.5794639)) * (x1 * (x1 * -0.00010550051))) + (x1 + (x0 * 4.302551))) * 1.0727211e-5) + 2.8359123e-6"
35,1.2375008e-12,"((x1 + (((x1 * (x1 * (((x0 * x1) + -0.39202496) * (x1 * -9.0276815e-5)))) * (((((x0 * 1.4534124) * x1) + -0.5794639) * x1) * x1)) + (x0 * 4.302551))) * 1.077883e-5) + 2.8742127e-6"
37,1.2045022e-12,"(((x1 + (x0 * 4.302551)) + (((((((x0 * x1) + -0.39202496) * x1) * -9.2925846e-5) * x1) * x1) * (x1 + ((((x0 * (x1 * 1.4534124)) + -0.5794639) * x1) * x1)))) * 1.0744432e-5) + 2.7616359e-6"
39,1.1971823e-12,"((x1 + (((((x1 * x1) * (((x0 * x1) + -0.39202496) * (x1 + 0.24252033))) * -9.028735e-5) * (x1 + ((((x0 * 1.4534124) * x1) + -0.5794639) * (x1 * x1)))) + (x0 * 4.302551))) * 1.0744432e-5) + 2.7616359e-6"
