Complexity,Loss,Equation
1,1.8317077e-9,"2.6337347e-7"
3,1.1246305e-10,"x1 * 1.0362358e-5"
5,7.191297e-11,"(x0 + x1) * 1.0461676e-5"
7,9.8940725e-12,"(x1 * 1.0352015e-5) + (x0 * 4.6860157e-5)"
9,4.0327533e-12,"((x1 * 1.0368271e-5) + 2.5320924e-6) + (x0 * 4.9129114e-5)"
11,3.955425e-12,"(x0 * 4.933643e-5) + (x1 + ((x1 * -0.9999896) + 2.592802e-6))"
13,3.876172e-12,"(x0 * 4.918776e-5) + ((x1 * ((x0 * 5.291318e-7) + 1.0380295e-5)) + 2.600679e-6)"
15,2.935652e-12,"(x0 * 4.47569e-5) + ((x1 * (((x0 * 5.6690016e-7) * x1) + 1.0352015e-5)) + 2.6472849e-6)"
17,2.761508e-12,"(x1 * (((x0 * (x1 + 1.2669863)) * 5.481352e-7) + 1.0388482e-5)) + ((x0 * 4.488765e-5) + 2.7152473e-6)"
19,2.5612745e-12,"((((x1 * x0) * ((x1 * x1) * 2.8339725e-8)) + 1.0340693e-5) * x1) + ((x0 * 4.5329907e-5) + 2.700936e-6)"
21,2.1568324e-12,"(((x0 * ((x1 * ((x1 + 2.374423) * 2.518821e-8)) * x1)) + 1.0464256e-5) * x1) + ((x0 * 4.5483863e-5) + 2.7284107e-6)"
23,2.1325248e-12,"2.6691264e-6 + ((x0 * 4.5871853e-5) + (x1 + (x1 * (((x1 + 2.365945) * ((x0 * x1) * (2.6163622e-8 * x1))) + -0.99998957))))"
25,1.966581e-12,"((x1 + (((((x0 * (x1 + 1.569946)) + -0.5327287) * ((x1 * x1) * 2.955414e-8)) + -0.9999892) * x1)) + 2.8405675e-6) + (x0 * 4.480743e-5)"
27,1.9654111e-12,"((x1 + ((((((x0 * (x1 + 1.569946)) + (0.2623041 + -0.79352206)) * (x1 * x1)) * 2.955414e-8) + -0.9999892) * x1)) + 2.8405675e-6) + (x0 * 4.480743e-5)"
29,1.709223e-12,"(x0 * 4.6131263e-5) + (((x1 * (((((x1 + (((x1 * x1) * x0) * -1.1711462)) * (x0 * x1)) * x1) * 2.575373e-8) + -0.9999894)) + 2.7546107e-6) + x1)"
31,1.2778647e-12,"((((((((x1 * x1) + -11.026387) * x0) * ((x1 + (((x1 * x1) * x0) * -1.456308)) * 4.5930467e-8)) + -0.9999894) * x1) + x1) + 2.8158452e-6) + (x0 * 4.702771e-5)"
33,1.2487244e-12,"(x0 * 4.7841637e-5) + ((((((((x1 + 0.16106707) * (x0 * -1.456308)) * x1) + x1) * ((((x1 * x1) + -12.482696) * 4.946119e-8) * x0)) + -0.9999894) * x1) + (x1 + 2.6527205e-6))"
35,1.235541e-12,"((((((((x1 + x0) * (x1 + x0)) + -11.026387) * (x0 * (((((x1 * x0) * x1) * -1.456308) + x1) * 4.863506e-8))) + -0.9999894) * x1) + x1) + (x0 * 4.7859157e-5)) + 2.6614177e-6"
37,1.2200263e-12,"(((((((((x1 + x0) * (x1 + x0)) + -11.026387) * x0) * (((-1.456308 * (x0 + ((x1 * x0) * x1))) + x1) * 4.863506e-8)) + -0.9999894) * x1) + x1) + (x0 * 4.7859157e-5)) + 2.7284107e-6"
