Complexity,Loss,Equation
1,0.042401463,"-0.66289514"
3,0.009042477,"x0 * -0.010262296"
5,0.0021479996,"(x0 + 27.637913) * -0.0074521326"
7,0.00032005855,"((x0 * 7.5686665e-5) + -0.016273646) * x0"
9,1.9288926e-5,"(((x0 * 5.86917e-5) + -0.014021413) * x0) + -0.0662199"
11,1.8652076e-5,"((x0 + ((x0 * -0.9999415) + -0.01397619)) * x0) + -0.067951895"
13,3.2096509e-7,"(x0 * ((x0 * ((x0 * -2.240731e-7) + 9.5083196e-5)) + -0.015612021)) + -0.052281547"
15,2.1689286e-7,"(((x0 * (-0.00018712952 * ((x0 * 0.001278683) + -0.52099466))) + -0.015715394) * x0) + -0.051304203"
17,2.166503e-7,"(x0 * (((((x0 * 0.001278683) + -0.52099466) * (x0 + 0.0028869964)) * -0.00018712952) + -0.015715394)) + -0.051304203"
19,2.1470709e-7,"((((((x0 + 0.068818115) * 0.0013037676) + -0.5316021) * ((x0 + 3.18278) * -0.00018570156)) + -0.01604793) * x0) + -0.05111338"
