Complexity,Loss,Equation
1,1.8893826e-7,"2.5374697e-10"
3,9.1726534e-8,"x1 * 5.0237486e-6"
5,9.126106e-8,"(x0 + x1) * 5.0314543e-6"
7,1.5392668e-8,"(x1 + (x3 * x0)) * 4.68312e-6"
9,1.0612153e-8,"(x1 + (x3 * (x0 + 0.04862176))) * 4.811005e-6"
11,1.0270342e-8,"(x3 * ((x0 * 4.622411e-6) + 2.232722e-7)) + (x1 * 4.9982377e-6)"
13,5.0298103e-9,"(x0 * (4.3840882e-6 * x3)) + ((x1 * (1.1862974 + x4)) * 1.0947844e-5)"
15,7.6511947e-10,"(x3 * ((x0 * 4.622411e-6) + 2.232722e-7)) + ((x1 * (x4 + 1.177977)) * 1.1139359e-5)"
17,4.2899456e-10,"(((x4 + 1.1874111) * 1.0977835e-5) * x1) + ((x3 + -29.185942) * ((x0 * 4.9982377e-6) + 2.479912e-7))"
19,4.2578405e-10,"(x1 * ((x4 + 1.1874111) * 1.0977835e-5)) + ((x0 + (x3 + -29.12369)) * ((x0 * 4.9982377e-6) + 2.479912e-7))"
21,3.8390768e-10,"(((x4 + 1.1874111) * 1.0977835e-5) * x1) + (((-0.13890716 * x1) + (x3 + -29.12369)) * ((4.9982377e-6 * x0) + 2.479912e-7))"
23,3.3229253e-10,"(((x1 * (x4 + 1.1918747)) + -1.1297516) * 1.0816945e-5) + (((((x0 * 51.393322) + -26.894669) + x3) * (x0 + 0.050082173)) * 4.9953874e-6)"
25,3.3163086e-10,"((((x4 + 1.1918747) * x1) + -1.1297516) * 1.0816945e-5) + ((x0 + (((x0 * 51.393322) + -26.894669) + x3)) * ((x0 + 0.050082173) * 4.9953874e-6))"
27,3.2447783e-10,"((((x3 + ((x1 * -0.15357007) + (x0 * 24.49477))) + -26.894669) * 4.9807495e-6) * (x0 + 0.050082173)) + ((((x4 + 1.1918747) * x1) + -0.4420553) * 1.0836088e-5)"
29,2.8699912e-10,"((((x1 * -0.15357007) + (((x0 + x0) * 26.122244) + x3)) + -26.894669) * ((x0 + 0.050082173) * 4.9953874e-6)) + ((-1.1720855 + ((x4 + 1.1918747) * x1)) * 1.0816945e-5)"
31,2.8490252e-10,"((((x1 * -0.15357007) + (((((1.2622224 * x0) + x0) * 25.244215) + x3) + -26.894669)) * 4.9953874e-6) * (x0 + 0.050082173)) + (((x1 * (x4 + 1.1918747)) + -1.1720855) * 1.0816945e-5)"
