Complexity,Loss,Equation
1,74414.63,"x1"
3,721.3571,"x1 * 5.3721576"
5,627.02386,"(x1 + 1.8174921) * 5.3707724"
7,530.4675,"((x0 + -3.4681113) * x1) * -1.5283469"
9,95.79444,"x1 * (((x0 * x0) * 14.918869) + 5.0014944)"
11,1.6210955,"(x1 * (((x0 * 15.031779) * x0) + 4.9989047)) + 9.709916"
13,0.010889062,"((((x0 * x0) * 15.000586) + 4.999907) * (x1 + x0)) + 10.047437"
15,2.8251176e-10,"(x1 * 5.0) + (((((x1 * x0) * 15.0) + 6.0000005) * x0) + 10.0)"
17,2.3456417e-10,"(((x0 * (((x1 * 15.0) * x0) + 6.000004)) + x1) + 10.000001) + (x1 * 4.0)"
19,2.3386623e-10,"(x1 * 4.0) + (((x0 * 5.9999986) + ((((x0 * x0) * x1) * 15.0) + 10.0)) + x1)"
