Complexity,Loss,Equation
1,74414.63,"x1"
3,721.35724,"x1 * 5.372386"
5,627.03564,"(x1 + 1.779622) * 5.372386"
7,530.2916,"(5.3008575 + (x0 * -1.4806341)) * x1"
9,95.77443,"(((x0 * x0) * 15.001583) + 4.999845) * x1"
11,1.6188099,"(x1 * (((x0 * x0) + 0.33304703) * 15.012947)) + 9.701358"
13,0.010850958,"((x0 + x1) * ((x0 * (x0 * 14.999526)) + 4.999952)) + 10.051883"
15,0.005425941,"(((x1 + 0.12997591) + x0) * (((x0 * 14.999454) * x0) + 5.000004)) + 9.31044"
17,3.5091838e-10,"(((x0 * x1) * (x0 * 15.0)) + (x0 + 10.0)) + ((x1 + x0) * 5.0)"
19,3.4973716e-10,"((x1 + (x0 + 1.8607423)) * 5.0) + ((x0 + 0.6962886) + ((x0 * (x0 * 15.0)) * x1))"
21,2.343641e-10,"((x1 + (x1 + x1)) + x1) + ((x0 * (((x1 * x0) + 0.4) * 15.0)) + (x1 + 10.0))"
27,2.340804e-10,"(x1 + ((x1 + x1) + x1)) + (x1 + ((((((x1 * x0) + 0.42857143) * x0) * 14.0) + 10.0) + (x1 * (x0 * x0))))"
