Complexity,Loss,Equation
1,74414.63,"x1"
3,721.3572,"x1 * 5.3720913"
5,627.12537,"(x1 + 1.8069515) * 5.3777204"
7,530.3801,"(x0 + -3.6426451) * (x1 * -1.455569)"
9,360.37262,"(x1 + (x0 * (x0 * x1))) * 5.2486863"
11,95.774475,"(((x1 * x0) * 15.000001) * x0) + (x1 * 5.0)"
13,1.6189868,"(((x0 * x0) * (x1 * 15.012994)) + (x1 * 4.9996705)) + 9.6783695"
15,2.8302397e-10,"((x0 * (15.0 * ((x1 * x0) + 0.4))) + 10.0) + (x1 * 5.0)"
17,2.34935e-10,"(x1 * 4.0) + ((x0 * (((x1 * x0) + 0.40000018) * 15.0)) + (x1 + 10.0))"
19,2.3380653e-10,"((((x0 * (x0 * (x1 * 15.0))) + 10.0) + (x0 * 5.999999)) + x1) + (x1 * 4.0)"
