Complexity,Loss,Equation
1,1.8014487e-7,"-5.9402157e-7"
3,4.5406257e-8,"x1 * 7.575973e-6"
5,4.4726644e-8,"(x0 + x1) * 7.5988914e-6"
7,2.7323939e-9,"(x0 * 0.0009475337) + (x1 * 7.575973e-6)"
9,3.8639242e-10,"((x1 * 7.575973e-6) + (x0 * 0.0010025988)) + 5.0319733e-5"
11,2.1980334e-11,"(x1 * 7.575578e-6) + (-0.0008677951 + ((3.2271757 ^ x0) * 0.00089201576))"
13,2.1485655e-11,"((x1 * 7.575578e-6) + ((1.8138827 ^ x0) * (x0 * 0.0010501185))) + 2.3717306e-5"
17,1.1420396e-12,"((x1 * 7.5524376e-6) + ((((x1 * -6.472434e-7) + 0.0010494182) * x0) * (1.8138827 ^ x0))) + 2.362459e-5"
19,1.1404182e-12,"(((1.8138827 ^ x0) * (((x1 * -6.505107e-7) + 0.0010495879) * x0)) + ((x1 + -0.56757367) * 7.5532444e-6)) + 2.7936178e-5"
21,1.0178118e-12,"((x1 * ((5.845957 ^ x0) * -3.7182528e-7)) + ((((1.7998033 ^ x0) * x0) * 0.001048793) + (x1 * 7.927289e-6))) + 2.405309e-5"
23,5.1606565e-13,"((1.8138827 ^ x0) * (x0 * (0.0010496578 + (x1 * (((0.013168431 ^ x0) ^ x0) * -7.9455634e-7))))) + ((7.554757e-6 * x1) + 2.3627408e-5)"
27,3.8797372e-13,"(((x1 * (((1.9558537 ^ (0.014160913 ^ x0)) ^ x0) * x0)) * -7.8159366e-7) + (((1.8138827 ^ x0) * x0) * 0.0010493519)) + ((x1 * 7.56066e-6) + 2.3662924e-5)"
29,3.8311035e-13,"(x1 * 7.5608627e-6) + ((((x1 + -0.8231111) * ((x0 * ((1.9558537 ^ (0.014160913 ^ x0)) ^ x0)) * -7.9294773e-7)) + (x0 * ((1.8138827 ^ x0) * 0.0010489129))) + 2.3716057e-5)"
31,3.767811e-13,"(x2 * ((x1 * 2.521198e-5) + ((x0 * (1.8138827 ^ x0)) * 0.0034920534))) + ((((((1.9439895 ^ (0.016050255 ^ x0)) ^ x0) * (x1 + -3.3796065)) * x0) * -7.882793e-7) + 2.3623823e-5)"
33,3.0288196e-13,"((x1 * 7.553861e-6) + ((x1 * (((3.7137384 ^ ((x0 * -0.48871174) * ((0.016050257 ^ x0) ^ 1.9558537))) ^ x0) * x0)) * -7.598583e-7)) + (((x0 * (1.8138827 ^ x0)) * 0.0010492384) + 2.3626257e-5)"
35,3.0030343e-13,"((x1 * 7.553861e-6) + (((((3.7137384 ^ (((0.016050257 ^ x0) ^ 1.9558537) * (-0.48871174 * x0))) + x2) ^ x0) * (x0 * (x1 * -7.598583e-7))) + ((x0 * 0.0010492384) * (1.8138827 ^ x0)))) + 2.3626257e-5"
