Complexity,Loss,Equation
1,1.8014487e-7,"-4.4764963e-7"
3,4.540626e-8,"x1 * 7.5765643e-6"
5,4.472674e-8,"(x1 + x0) * 7.6022557e-6"
7,2.7324194e-9,"(x1 * 7.575231e-6) + (x0 * 0.00095012184)"
9,3.8616005e-10,"((x1 * 7.575231e-6) + 4.9350554e-5) + (x0 * 0.0010002718)"
11,2.2887736e-10,"(x0 * ((x0 * 0.00096254994) + 0.0010888947)) + (x1 * 7.584672e-6)"
13,2.1631358e-11,"(x0 * ((x0 * x6) + 0.0010606187)) + ((x1 * 7.5765643e-6) + 2.4295061e-5)"
15,2.1630461e-11,"(x1 * 7.575231e-6) + ((x0 * (((x6 + x0) * x6) + 0.0010599424)) + 2.4295061e-5)"
17,1.9968515e-12,"(((x6 * x0) + 0.0010600506) * x0) + ((x1 * ((x0 * -6.089694e-7) + 7.5445805e-6)) + 2.4321811e-5)"
19,1.9935082e-12,"((x0 * ((x0 * 0.00025136067) + 0.0004434905)) + ((x1 * ((x0 * -2.5404933e-7) + 3.1558914e-6)) + 1.0161665e-5)) * 2.3912377"
21,8.609566e-13,"(((((x0 * (x0 + 0.72270465)) * -9.655889e-7) + 7.5654953e-6) * x1) + (((x0 * x6) + 0.0010604033) * x0)) + 2.4261843e-5"
23,8.595117e-13,"((((x0 * ((x0 + 0.72270465) * -9.830627e-7)) + 7.565545e-6) * x1) + (x0 * (((x6 + x0) * x6) + 0.0010599807))) + 2.4224915e-5"
25,8.576707e-13,"((x1 * (((x0 * (x0 + ((-0.25755346 * x5) + 0.71782076))) * -9.655889e-7) + 7.5654953e-6)) + (((x0 * x6) + 0.0010604033) * x0)) + 2.4261843e-5"
29,5.577101e-13,"(((((x1 + (x0 * (x3 + (((x0 + 0.4108495) * (x0 + -0.49575308)) * x1)))) * 1.3780462) + x1) + ((x1 * x1) * -0.0036179589)) * 3.1779218e-6) + 7.670406e-5"
31,5.457312e-13,"(((((x1 + (((((x0 + 0.4108495) * (x0 + -0.47993425)) * x1) + x3) * x0)) * 1.378046) + (((x1 + x1) * -0.0018089819) * x1)) + x1) * 3.1779396e-6) + 7.6749995e-5"
33,5.356715e-13,"((((((x0 * (((x0 + 0.4108495) * ((x1 * (x0 + -0.49575308)) * 0.9680913)) + x3)) + x1) * 1.378046) + x1) + ((x1 * (x1 + x1)) * -0.0018089819)) * 3.1779396e-6) + 7.6749995e-5"
35,4.86327e-13,"(((((x1 + ((((x1 + 3.1900494) * (((x0 + -0.31355187) * (x0 + 0.22952579)) + -0.12647916)) + x3) * x0)) * 1.3780462) + ((x1 * (x1 + 1.0265539)) * -0.0036179677)) + x1) * 3.183037e-6) + 7.682475e-5"
39,4.840412e-13,"(((((x1 + ((((x1 + 2.2238345) * (((x0 + 0.22952579) * ((x0 * -0.20226173) + (x0 + -0.28278497))) + -0.12647916)) + x3) * x0)) * 1.3780462) + ((x1 + (x1 * x1)) * -0.0036179556)) + x1) * 3.1825346e-6) + 7.685146e-5"
