Complexity,Loss,Equation
1,1.8014487e-7,"-4.765451e-7"
3,4.5406257e-8,"7.5762237e-6 * x1"
5,4.4726605e-8,"(x1 + x0) * 7.595293e-6"
7,2.7324802e-9,"(x0 * 0.00095028715) + (x1 * 7.5708463e-6)"
9,3.8655734e-10,"((x1 * 7.5708463e-6) + (x0 * 0.0009975112)) + 4.9551218e-5"
11,2.290699e-10,"(x0 * ((x0 + 1.1484556) * 0.00094499596)) + (x1 * 7.574952e-6)"
13,2.1645588e-11,"(((x0 + 0.023045368) * (x0 + 1.7435071)) * 0.000600197) + (7.576916e-6 * x1)"
15,2.163192e-11,"(((x0 + 0.023045368) * (x0 + 1.7435071)) * 0.000600197) + ((x1 + 0.023045372) * 7.576916e-6)"
19,1.9911978e-12,"(((x0 * ((x1 * -6.133602e-7) + (x6 * x0))) + (x0 * 0.0010600801)) + (x1 * 7.544953e-6)) + 2.4299221e-5"
21,1.929807e-12,"(x0 * 0.0010599056) + ((x1 * (x0 + 7.554098e-6)) + ((x0 * ((x1 * -1.0000006) + (x6 * x0))) + 2.4377503e-5))"
23,1.8910594e-12,"((x1 * ((x0 * 0.58356816) + 7.5466696e-6)) + ((x0 * ((x1 * -0.58356875) + (x6 * x0))) + 2.422729e-5)) + (x0 * 0.0010607515)"
25,8.6030765e-13,"(((((x1 * ((x0 * -2.6018622) + -1.9426239)) * x6) + x0) * (x6 * x0)) + ((x1 * 7.5644657e-6) + (x0 * 0.0010603989))) + 2.4274303e-5"
27,8.0656087e-13,"(x1 * 7.5625176e-6) + (((((((((x0 + -2.3800392) * x0) + -2.0173867) * (x6 * x1)) + x0) * x6) * x0) + (x0 * 0.0010602569)) + 2.4229286e-5)"
29,6.573227e-13,"(x0 * 0.001061842) + ((((x0 * (((((x0 * ((x1 * 0.030775258) + -2.6739671)) + -1.9708326) * x1) * x6) + x0)) * x6) + (x1 * 7.564872e-6)) + 2.3700508e-5)"
31,5.950716e-13,"(x0 * 0.0010613374) + (((x1 * 7.564385e-6) + ((x6 * ((((x0 * (((x1 * 0.030775258) + -2.579706) + x0)) + -2.0173883) * (x1 * x6)) + x0)) * x0)) + 2.3675275e-5)"
33,5.3633454e-13,"(((x1 * 7.5632797e-6) + (x6 * ((x0 + (x1 * (x6 * (((((x1 * 0.030775258) + x0) + (x0 + -2.3034623)) * x0) + -2.0173883)))) * x0))) + (x0 * 0.0010615352)) + 2.3682998e-5"
35,5.023764e-13,"(((x6 * ((((x6 * ((((x1 * 0.030762495) + (((x0 + x0) * 1.533239) + -1.962747)) * x0) + -2.0173888)) * x1) + x0) * x0)) + (x1 * 7.561874e-6)) + 2.3677578e-5) + (x0 * 0.0010614506)"
37,4.8698995e-13,"(((x6 * (((x6 * (((((x1 * 0.030762495) + (x0 + (((x0 + x0) * 1.533239) + -1.8206651))) * x0) + -2.0173888) * x1)) + x0) * x0)) + (x1 * 7.561874e-6)) + 2.3677578e-5) + (x0 * 0.0010614506)"
39,4.2948522e-13,"(((x0 * 0.0010615184) + (x1 * 7.563038e-6)) + ((x6 * (x0 + (((x0 * ((x1 * 0.030775258) + (x0 + ((x0 + x0) + (x0 + (x0 + -2.11274)))))) + -2.11274) * (x1 * x6)))) * x0)) + 2.3713003e-5"
