Complexity,Loss,Equation
1,2.0104136e-7,"-6.352856e-7"
3,5.7402126e-8,"7.1919694e-6 * x1"
5,5.6686382e-8,"(x0 + x1) * 7.2040084e-6"
7,4.8896487e-9,"(x1 * 7.1919694e-6) + (x0 * 0.0010558951)"
9,2.0045936e-9,"(x1 * 7.2022744e-6) + ((x0 * 0.0011045428) + 5.4541295e-5)"
11,9.74028e-10,"(x3 * ((x0 * 4.506861e-6) + 2.2455954e-7)) + (x1 * 7.1919694e-6)"
13,9.44806e-10,"(x3 * ((x0 * 4.506861e-6) + 2.2455954e-7)) + ((x1 * -4.6361656e-6) * x4)"
15,4.4032372e-10,"(x3 * ((x0 * 4.50322e-6) + 2.2705156e-7)) + (x1 * ((x6 * -0.008949316) + 1.2926986e-5))"
17,4.354213e-10,"((x0 + x3) * ((x0 * 4.50322e-6) + 2.2705156e-7)) + (x1 * ((x6 * -0.008949316) + 1.2926986e-5))"
19,1.7190684e-10,"(x3 + (x1 * -0.16844885)) * (((x1 * ((x6 * -9.602651e-5) + 9.080906e-8)) + (x0 * 4.4390645e-6)) + 2.7617045e-7)"
21,1.3634573e-10,"((((x6 * -0.0087940665) + 1.2837675e-5) * (x1 + ((x0 * x0) * 80.06276))) + (x0 * (x3 * 4.739329e-6))) + 3.0243653e-5"
23,7.893092e-11,"(x0 * (x3 * 4.7383937e-6)) + (((x1 + ((x0 * x0) * 80.06273)) * ((x6 * -0.008735738) + 1.2798671e-5)) + (x5 + 0.049712304))"
25,5.122119e-11,"(x0 * (x3 * 5.382328e-6)) + (x5 + ((((x6 * -0.009177985) + 1.30726285e-5) * (((x0 * 77.15839) * (x0 + -0.2947641)) + x1)) + 0.049713023))"
27,4.053045e-11,"(x5 + (((x6 * -0.008739169) + 1.2754576e-5) * ((x0 * (x0 * 80.56706)) + x1))) + ((x0 * (x3 * ((x1 * -3.1449396e-9) + 4.7315425e-6))) + 0.049711738)"
29,1.330244e-11,"(((((x0 * 77.011314) * (x0 + -0.2947641)) + x1) * ((x6 * -0.0091779735) + 1.3040291e-5)) + ((((x1 * -0.14676158) + x3) * x0) * 5.380912e-6)) + (x5 + 0.04971304)"
31,1.2577698e-11,"((((x1 * -0.15592846) + x3) * ((x0 + x6) * 5.385685e-6)) + (((x6 + -0.0014271282) * (((x0 + -0.2947641) * (x0 * 77.011314)) + x1)) * -0.009105209)) + (x5 + 0.049712274)"
33,1.2376643e-11,"((((x1 * -0.15592846) + (x3 + x0)) * (x0 + x6)) * 5.384621e-6) + ((x5 + (((x6 + -0.0014270169) * (((x0 + -0.2947641) * (x0 * 77.011314)) + x1)) * -0.009105198)) + 0.04971218)"
35,4.605065e-12,"(x7 * -0.00023674035) + ((((x1 + (x0 * ((x0 + x7) * 77.01131))) * ((x6 * -0.008968267) + 1.289777e-5)) + -9.4091796e-5) + (((x3 * x0) + (((x7 + 0.38659516) * x1) * x0)) * 5.911939e-6))"
37,4.5456638e-12,"((x7 * -0.00023674035) + ((x1 + ((x0 + x7) * (x0 * 77.01131))) * ((x6 * -0.008968267) + 1.289777e-5))) + ((((x0 * x3) + (((x7 + (x6 + 0.38659516)) * x0) * x1)) * 5.911939e-6) + -9.4091796e-5)"
39,3.5685367e-12,"(x7 * -0.00023674035) + (((x1 + (x0 * ((x0 + x7) * 77.01131))) * (1.289777e-5 + (x6 * -0.008968267))) + (-9.4091796e-5 + (((x0 * x3) + ((x7 + (x6 + 0.38659516)) * ((0.89966065 * x1) * x0))) * 5.911939e-6)))"
