Complexity,Loss,Equation
1,2.0104136e-7,"-6.48187e-7"
3,5.740212e-8,"x1 * 7.190451e-6"
5,5.668633e-8,"(x0 + x1) * 7.2083612e-6"
7,4.8892503e-9,"(x1 * 7.191287e-6) + (x0 * 0.0010540609)"
9,2.00303e-9,"((x1 * 7.193927e-6) + (x0 * 0.0011107463)) + 5.4473778e-5"
11,9.748289e-10,"(x3 * ((x0 + 0.050243653) * 4.506915e-6)) + (x1 * 7.177944e-6)"
13,9.453119e-10,"(x1 * (x4 * -4.638838e-6)) + (x3 * ((x0 + 0.049088184) * 4.519681e-6))"
15,4.4311216e-10,"(1.09737775e-5 * x1) + (x3 * (((x0 + (x1 * -0.0033445156)) * 4.4981134e-6) + 2.1919564e-7))"
17,4.35944e-10,"(x1 * 1.09737775e-5) + ((x0 + x3) * (((x0 + (x1 * -0.0033445156)) * 4.4981134e-6) + 2.1919564e-7))"
19,1.7504755e-10,"(x1 * 9.23167e-6) + ((((x0 + (((x3 + x1) * x1) * -7.0293704e-6)) * 4.51016e-6) + 3.171356e-7) * x3)"
21,1.6408666e-10,"((x1 + x4) * 9.151221e-6) + ((((x0 + (((x3 + x1) * x1) * -6.8425716e-6)) * 4.4887524e-6) + 3.6886084e-7) * x3)"
23,4.4944312e-11,"(x1 * 9.960393e-6) + ((((x0 + (x1 * -0.0023812107)) * 5.9784934e-6) + 1.539021e-7) * ((x3 + -54.744926) + ((x0 * x3) * 0.3851164)))"
25,1.2151588e-11,"((((x0 + ((x3 * x1) * -5.832396e-6)) * 5.9913345e-6) + 1.613553e-7) * (((x0 * (x3 * 0.38511705)) + x3) + -54.744926)) + (x1 * 8.9288205e-6)"
27,1.20666446e-11,"(((((x3 * (x1 * -5.833396e-6)) + (x6 + x0)) * 5.985998e-6) + 1.5686449e-7) * ((x3 + (x3 * (x0 * 0.38511705))) + -54.744926)) + (x1 * 8.925875e-6)"
29,4.4681455e-12,"(x1 * 8.927763e-6) + ((((x3 + -50.243015) + (x0 * (x3 * (x7 + 0.9365522)))) * (((((x1 * x3) * -5.910656e-6) + x0) * 5.7890798e-6) + 2.7861782e-7)) + -2.3823228e-5)"
31,4.4015898e-12,"((x1 * 8.926801e-6) + -2.1108413e-5) + ((((x0 + (x3 * ((x1 + -1.2861633) * -5.895927e-6))) * 5.8015294e-6) + 2.526344e-7) * ((x3 + ((x0 * x3) * (x7 + 0.9365522))) + -50.243015))"
33,4.2015137e-12,"((x1 * 8.926692e-6) + -1.8124501e-5) + ((((x0 + (x3 * (((x1 * 0.28174895) + -1.3844522) * -2.0866804e-5))) * 5.831869e-6) + 2.0675508e-7) * ((x3 + (((x7 + 0.9365522) * x3) * x0)) + -50.886196))"
35,4.1736796e-12,"((((x3 + (((x7 + 0.9365522) * x3) * x0)) + -50.886196) * (((x0 + ((x3 + -1.8924967) * ((x4 + (x1 * 0.28174895)) * -2.1108857e-5))) * 5.830936e-6) + 1.983454e-7)) + (x1 * 8.933275e-6)) + -1.75781e-5"
37,4.171938e-12,"(((((x0 + (((x3 + -1.8924967) + x5) * ((x4 + (x1 * 0.28174895)) * -2.1108857e-5))) * 5.830936e-6) + 1.983454e-7) * ((x3 + (((x7 + 0.9365522) * x3) * x0)) + -50.886196)) + (x1 * 8.933275e-6)) + -1.75781e-5"
39,4.101687e-12,"((((x3 + (((x7 + 0.9365522) * x3) * x0)) + -50.886196) * (((x0 + (((-1.8924967 * x0) + x3) * ((x4 + ((x1 + x0) * 0.28174895)) * -2.0734935e-5))) * 5.838332e-6) + 1.9873781e-7)) + (8.917884e-6 * x1)) + -1.7493976e-5"
