Complexity,Loss,Equation
1,4.5256705e-8,"3.1487986e-8"
3,2.6657064e-8,"x1 * 4.012377e-6"
5,2.656204e-8,"(x0 + x1) * 4.0258114e-6"
7,8.037573e-9,"((x0 * x3) + x1) * 3.955212e-6"
9,7.0063346e-9,"(((x0 + 0.046602096) * x3) + x1) * 4.0788436e-6"
11,6.709542e-9,"(((x3 * x0) + x1) * (x2 + -1.2561648)) * -3.847873e-6"
13,1.8596759e-9,"((x3 * 3.839976e-6) * x0) + ((x1 * -1.1627791e-5) * (x2 + -0.58237743))"
15,8.336956e-10,"(x3 * ((x0 * 4.239673e-6) + 2.2293877e-7)) + (x1 * ((x2 + -0.5658963) * -1.1670402e-5))"
17,7.2024536e-10,"((-2.725318 + x3) * ((x0 * 4.239673e-6) + 2.2293877e-7)) + (-1.1670402e-5 * (x1 * (x2 + -0.5658963)))"
19,3.1849406e-10,"(((x2 + -0.5573979) * x1) * -1.2191401e-5) + ((x0 * -0.0004232278) + (((x0 + 0.031409428) * 3.0454717) * x6))"
21,1.4918894e-10,"(((((x2 + -0.5563293) * x1) * -4.065519e-6) + (x0 * -0.00014239814)) + ((x0 + (x7 * x5)) * x6)) * 3.0071292"
23,1.01522964e-10,"((((((x2 + -0.5703809) * x1) * -4.854154e-6) + (x0 * x6)) + (x4 * ((x0 + 0.2118067) * -8.5243904e-5))) * 2.4112737) + 7.4280964e-5"
25,1.0148246e-10,"(((((((x2 + x6) + -0.5703809) * x1) * -4.854154e-6) + (x0 * x6)) + (x4 * ((x0 + 0.2118067) * -8.5243904e-5))) * 2.4112737) + 7.4280964e-5"
27,9.9068385e-11,"(((((x0 + 0.2133737) * x4) * -8.4862644e-5) + ((x6 * x0) + (((((x2 * 0.02001813) + x2) + -0.5732508) * x1) * -4.8757106e-6))) * 2.4112737) + 7.4376345e-5"
29,8.4158576e-11,"((((((((x5 * x4) * x0) + x2) + -0.5732508) * (x1 * -4.854154e-6)) + (x6 * x0)) + ((x4 * -8.5243904e-5) * (x0 + 0.2133737))) * 2.4112737) + 7.4280964e-5"
31,5.02406e-11,"((((x4 * (x0 + 0.2133737)) * -8.4862644e-5) + ((x6 * x0) + (((((x4 + 1.2056977) * (x0 * -0.10645727)) + x2) + -0.5732508) * (x1 * -4.8757106e-6)))) * 2.4112737) + 7.4376345e-5"
35,3.5097574e-11,"((((x4 * ((x0 + 0.2133737) * -8.483462e-5)) + (x6 * x0)) + ((x1 * -4.8383527e-6) * ((((x4 + 1.2056977) * (x0 + (x0 + 0.2133737))) * -0.06437061) + (x2 + -0.5732508)))) * 2.4112737) + 7.40168e-5"
37,3.4192427e-11,"(((x4 * ((x0 + 0.2133737) * -8.5094296e-5)) + ((x6 * x0) + ((x1 * -4.8135335e-6) * ((((x4 + 1.2056977) * (((x0 * 1.5931848) + x0) + 0.2133737)) * x5) + (x2 + -0.5732508))))) * 2.4112737) + 7.4249045e-5"
