Complexity,Loss,Equation
1,0.24369402,"x1"
3,0.0019170054,"3.3183637 * x1"
5,0.0010641377,"x1 * (x0 + 3.3677075)"
7,0.0010579363,"x1 * (3.3639467 + (0.9225448 * x0))"
9,0.0008097555,"((x0 * (x7 + 1.3891941)) + 3.3642812) * x1"
11,0.00068693934,"(((x7 + (x1 + 1.3957244)) * x0) + 3.3631544) * x1"
13,0.0005577143,"(((x0 + x0) * ((x1 + 0.92128694) + x7)) + 3.3643022) * x1"
15,0.0004926656,"(x0 * ((x7 * -0.16251238) + (x1 * (x7 + 1.3631178)))) + (x1 * 3.36571)"
17,0.00038016748,"(x1 * 3.3599849) + ((x0 + x0) * ((x1 * (x7 + 0.9259963)) + (x7 * -0.07536175)))"
19,0.00036915895,"((x1 + x6) * 3.368852) + (((x1 * (x7 + 0.9293829)) + (x7 * -0.073541306)) * (x0 + x0))"
21,0.0002744069,"(((x0 * (x1 * (x7 + 0.73744667))) + x1) * 3.362917) + (((x7 * -0.22135244) + (x0 * 0.2404625)) * x0)"
23,0.00016277177,"((x1 + ((x1 * ((x7 + 0.7449026) * x0)) + -0.005076626)) * 3.362133) + (((x0 + (x7 * -0.47805226)) * x0) * 0.48104066)"
25,9.379527e-5,"(((x7 * -0.24852018) + (x0 * 0.51319546)) * x0) + ((3.3645284 * x1) + (-0.018322136 + ((x1 * (x0 + x0)) * (x7 + 0.9303486))))"
27,8.798184e-5,"(x0 * ((x7 * -0.25176996) + (x0 * 0.51467437))) + ((((x7 * 1.1988499) + 1.0210097) * (x1 * (x0 + x0))) + ((x1 * 3.3609025) + -0.018130705))"
29,8.4667525e-5,"((((x7 * -0.24403563) + (0.4901236 * x0)) * x0) + (((x0 + x0) * x1) * (x7 + 0.9162812))) + (((x7 * -0.012053551) + -0.022975216) + (x1 * 3.3622823))"
31,6.6862114e-5,"((x1 * 3.3518507) + ((x0 * ((x7 * -0.2523417) + (x0 * 0.5135149))) + -0.018432261)) + (((x7 * 1.1994983) + 1.0455894) * (((x0 + x0) + (x0 * x0)) * x1))"
33,6.381554e-5,"(x0 * ((x7 * -0.23614451) + (x0 * 0.5103872))) + ((x1 * 3.3478022) + (((((x0 + 0.07956435) * x1) + x1) * ((x0 + x0) * ((x7 * 1.1982378) + 1.0287786))) + -0.018637056))"
35,5.959981e-5,"((((x7 * 1.1964055) + 1.0367131) * ((x1 * (x0 + x0)) + ((x0 * (x1 + -0.08299059)) * x0))) + (x1 * 3.355877)) + ((x0 * ((x7 * -0.23779353) + (x0 * 0.5262435))) + -0.018238978)"
37,4.5607587e-5,"(((x0 * ((x7 * -0.24831903) + (x0 * 0.51501876))) + (((x7 * 1.1937383) + 1.035643) * ((x1 * (x0 + x0)) + (x0 * ((x1 + (x4 * -0.08437233)) * x0))))) + (x1 * 3.3564444)) + -0.017753009"
39,4.4963937e-5,"(x0 * ((x7 * -0.2430995) + (x0 * 0.5128208))) + (((((x7 * 1.1966114) + 1.0415696) * ((x0 * ((x0 * (x1 + (x4 * x5))) * 1.3968712)) + ((x0 + x0) * x1))) + (x1 * 3.3527296)) + -0.017672243)"
