Complexity,Loss,Equation
1,0.2873588,"x1"
3,0.13626167,"x1 * 2.83171"
5,0.048634514,"(x1 * 2.83171) + x0"
7,0.040093012,"((x1 + x0) + x1) * 1.4179434"
9,0.015395853,"(x1 + (x0 * (x7 * -1.0716038))) * 2.829304"
11,0.008721146,"((x7 * -3.2000718) * (x0 + 0.049933076)) + (x1 * 2.83171)"
13,0.0028658023,"(x1 * (x7 + 3.2917671)) + (((x0 * -3.1867933) + -0.16114983) * x7)"
15,0.001968172,"(x1 * ((x7 + 2.2568738) * 1.5777967)) + (x7 * ((x0 + 0.049933076) * -3.2000718))"
17,0.001942462,"(x1 * ((x7 + 2.252238) * 1.5861529)) + ((x0 + 0.049940914) * ((x7 * -3.0238955) + 0.10288652))"
19,0.0016317545,"(((x0 + 0.038977) * -3.2357523) * ((x0 * -0.1419123) + x7)) + (x1 * ((x7 + 2.196529) * 1.6307929))"
21,0.0014722521,"(((x0 * -0.20585331) + x7) * ((x0 + 0.052890155) * -3.2596629)) + ((((x7 + 2.2013323) * 1.6240501) * x1) + -0.03567352)"
23,0.0012450446,"(x1 * ((x7 + 2.2545547) * 1.5786849)) + (((x7 * -3.1951566) + ((x1 * (x7 + 0.5632985)) * 3.5671775)) * (x0 + 0.051119074))"
25,0.0012061497,"((x7 + 2.2440977) * (x1 * 1.5912151)) + ((((x7 + 0.5359406) * (x1 * (x7 + 3.675415))) + (x7 * -3.2062654)) * (x0 + 0.05024741))"
27,0.0011941994,"(((x7 + 2.2545884) * 1.5912151) * x1) + (((((x7 + 0.5359406) * x1) * ((x3 * -0.0026892915) + 3.675415)) + (x7 * -3.2062654)) * (x0 + 0.05024741))"
29,0.0007951321,"((((((x1 * -0.45818675) + x7) * 1.726751) + 3.5727286) * (x1 + -0.08917977)) + (x4 * (((x7 * (x1 + (x4 * -1.3255938))) + x1) * x0))) + 0.35524452"
31,0.00050886633,"((((x7 + (x1 * -0.44315913)) * 1.726751) + 3.5727286) * (x1 + -0.08917977)) + ((x4 * ((((x1 + ((x4 + -0.07868558) * -1.2910755)) * x7) + x1) * x0)) + 0.35524452)"
33,0.00048381512,"(((((x1 * -0.45818675) + x7) * 1.726751) + 3.5727286) * (x1 + -0.08917977)) + (((x4 * (((x7 * ((x1 * -0.89757717) + (x4 + -0.07868558))) * -1.2910755) + x1)) * x0) + 0.35524452)"
35,0.00043411637,"((x0 * ((x4 * ((x1 + (x1 * x7)) + ((x4 + -0.09355872) * (-1.2226547 * x7)))) + 0.094752684)) + 0.37068725) + (((1.6987652 * ((x1 * -0.47390357) + x7)) + 3.5645018) * (-0.09355872 + x1))"
37,0.0004246953,"((x0 * ((x4 * ((x1 * (x7 + x5)) + (((x4 + -0.09355872) * (x7 * -1.2226547)) + x1))) + 0.094752684)) + (((((x1 * -0.47390357) + x7) * 1.6987652) + 3.5645018) * (x1 + -0.09372531))) + 0.37068725"
39,0.00040780826,"(x0 * ((x4 * (x1 + ((x1 * (x7 + (x7 * 0.28436255))) + (((x4 + -0.09355872) * -1.2226547) * x7)))) + 0.094752684)) + ((((((x1 * -0.47390357) + x7) * 1.6987652) + 3.5645018) * (x1 + -0.09355872)) + 0.37068725)"
