Complexity,Loss,Equation
1,1.8893826e-7,"-7.041331e-11"
3,9.172655e-8,"x1 * 5.0244957e-6"
5,8.693727e-8,"(x1 * -3.28627e-6) / x7"
7,1.5392661e-8,"(x1 + (x3 * x0)) * 4.682644e-6"
9,1.0625837e-8,"(((x0 + 0.047157697) * x3) + x1) * 4.831433e-6"
11,6.585482e-9,"(x6 * (((x1 / x3) + x0) + 0.050062217)) * 2.3214676"
13,5.6491e-9,"(x6 * ((x1 / x3) + ((x0 + 0.050026033) * 0.8506897))) * 2.519353"
15,2.2051498e-9,"x6 * ((((x7 / -0.80422354) * (x0 + 0.050026033)) + (x1 / x3)) * 2.519353)"
17,1.1343265e-9,"((x1 / x3) + (x7 * ((x0 + 0.04980191) * -1.3115416))) * ((x6 + -0.0036854756) * x7)"
19,1.0538077e-9,"((x6 + -0.0036834432) * x7) * ((x1 / (x4 + x3)) + (((x0 + 0.04933114) * x7) * -1.3114861))"
21,8.5631635e-10,"x7 * ((x6 + -0.003666343) * (((x0 + 0.048402485) * (x7 * -1.314689)) + (x1 / (x3 + (x2 * -31.988688)))))"
23,6.380857e-10,"((x6 + -0.0026929844) * x7) * (((x1 / (x3 + (x4 / 0.12197849))) + (((x0 + 0.049449146) / -0.7478763) * x7)) * 1.5109384)"
25,6.331346e-10,"((x6 + -0.0026876237) * ((x1 / (x3 + ((x4 / 0.12197851) + -2.2986248))) + (x7 * ((x0 + 0.049449112) / -0.7548257)))) * (x7 * 1.5109384)"
27,6.031955e-10,"1.5109384 * ((x6 + -0.0026876237) * (((x1 / (x3 + (((x0 / x2) + x4) / 0.12197851))) + (x7 * ((x0 + 0.049449112) / -0.7548257))) * x7))"
29,5.9069305e-10,"(x6 + -0.0026827957) * (((x1 / (x3 + ((((x0 / x2) + x4) / 0.12197251) + -2.2986248))) + (((x0 + 0.049313724) / -0.7548233) * x7)) * (x7 * 1.5109389))"
31,5.650993e-10,"((x1 * (0.9551651 / ((x3 + (x4 / 0.10473492)) + (x5 * (x1 / -0.4350886))))) + ((x7 / -0.7804873) * (x0 + 0.055462506))) * (x7 * ((x6 * 1.789004) + -0.004411707))"
33,5.5103005e-10,"((((x6 * 1.9434866) + -0.004876115) * (((x1 * 0.9556115) / (((x5 / (-0.33037767 / x1)) + x3) + (x4 / 0.10446602))) + ((x7 / -0.78105164) * (x0 + 0.057884216)))) * x7) / 1.115124"
35,5.089132e-10,"(((((x0 + 0.05788418) * x7) / -0.7810516) + (x1 * (0.9556115 / ((x4 / 0.104466066) + (x3 + (x5 / (x6 + (-0.3257524 / x1)))))))) * ((x6 * 1.9434866) + -0.0048984285)) * (x7 / 1.1151239)"
37,5.0335824e-10,"(((x6 * 1.9434866) + -0.004890774) * ((x1 * (0.9556116 / ((((x5 / (x6 + (-0.33037764 / x1))) + x3) + -1.2078462) + (x4 / 0.10446602)))) + ((x7 / -0.7810517) * (x0 + 0.057884093)))) * (x7 / 1.1151239)"
39,4.967465e-10,"((((x6 * 1.9434866) + -0.004890774) * ((x1 * (0.9556116 / ((((x5 / ((1.1395304 * x6) + (-0.33037764 / x1))) + x3) + -1.2078462) + (x4 / 0.10446602)))) + ((x7 / -0.7810517) * (x0 + 0.057884093)))) * x7) / 1.1151239"
