Complexity,Loss,Equation
1,1.8893826e-7,"4.7558783e-11"
3,5.77583e-9,"x1 * 6.8952327e-6"
5,5.732281e-9,"(x1 + x0) * 6.8952327e-6"
7,5.388131e-10,"((x3 * -8.447739e-9) + 1.0556658e-5) * x1"
9,5.1624227e-10,"(x1 + x0) * ((x3 * -8.344298e-9) + 1.051125e-5)"
11,4.504725e-10,"(((x3 * -8.302735e-9) + 1.0427776e-5) * x1) + (x0 * 4.2929838e-5)"
13,3.2695532e-10,"(((x3 * -8.723827e-9) + 1.0498277e-5) * x1) + ((x3 * 2.8499403e-7) * x0)"
15,3.0319197e-10,"(x3 * ((x3 * 7.694849e-10) * x0)) + (((x3 * -9.566104e-9) + 1.0798663e-5) * x1)"
17,2.9431865e-10,"((x3 * (x0 * x3)) * 7.307762e-10) + ((x5 * x1) * ((x3 * 1.83377e-7) + -0.00021383233))"
19,2.412034e-10,"((((x3 * 1.7888736e-7) + -0.00021156846) * x5) * x1) + ((x0 + (x3 * 0.0023434667)) * (x0 * 0.00017368842))"
21,2.1278795e-10,"(((x5 * -0.00021520413) + (x3 * -9.442654e-9)) * x1) + ((((x0 + (x3 * 0.0017604717)) * x0) * x3) * 5.9196975e-7)"
23,1.9323299e-10,"((x1 + -1.5559832) * (((x4 * (x2 * 1.9534273e-8)) * x3) + 1.0603535e-5)) + (((x0 + (x3 * 0.0011127414)) * 0.0003886195) * x0)"
25,1.8727643e-10,"((x1 + -1.218617) * (((x2 * (x3 * (x4 * x5))) * -3.9436034e-7) + 1.0626908e-5)) + ((x0 * ((x3 * 0.0013033634) + x0)) * 0.00031695646)"
27,1.7376046e-10,"((x0 * 0.00032316556) * ((x3 * 0.0013025536) + x0)) + ((((((x4 * x5) + 0.0013025536) * (x3 * x2)) * -3.890682e-7) + 1.0592369e-5) * (x1 + -1.2830075))"
29,1.7313215e-10,"((x0 * 0.00032316556) * (((x4 + x3) * 0.0013025536) + x0)) + ((((((x4 * x5) + 0.0013025536) * (x3 * x2)) * -3.890682e-7) + 1.0592369e-5) * (x1 + -1.2830075))"
31,1.6820505e-10,"((((x3 * (((x4 * x5) + x6) * x2)) * -4.0044202e-7) + 1.0689629e-5) * ((x0 * x4) + (x1 + -1.3154417))) + ((x0 * (x0 + (x3 * 0.0013499111))) * 0.00034934224)"
33,1.6556868e-10,"(x0 * ((x0 + (x3 * 0.0013499111)) * 0.00034934224)) + ((((x3 * x2) * (((x5 * x4) + x6) * -4.0044202e-7)) + 1.0689629e-5) * (((x0 * (x7 + x4)) + x1) + -1.3137035))"
35,1.6041629e-10,"(x0 * ((x0 + (x3 * 0.0013499111)) * 0.00034934224)) + ((((x3 * x2) * (((x5 * x4) + 0.0013499111) * -4.0044202e-7)) + 1.0689629e-5) * ((x0 * (x0 * (x4 * -4.1067424))) + (x1 + -1.3137035)))"
37,1.5803196e-10,"((x0 * ((x3 * 0.0013499111) + x0)) * 0.00034934224) + ((((x3 * (x2 * (x6 + (x5 * x4)))) * -4.0044202e-7) + 1.0689629e-5) * (((x0 * (x4 + (x0 * (x4 * -4.1067424)))) + x1) + -1.3137035))"
39,1.5774217e-10,"((((x3 * (x2 * ((x4 * x5) + x6))) * -4.0044202e-7) + 1.0689629e-5) * (((x0 * (((x7 * x7) + (x4 * x0)) * -4.1067424)) + x1) + -1.3137035)) + ((x0 * ((x3 * 0.0013499111) + x0)) * 0.00034934224)"
