Complexity,Loss,Equation
1,1.8893826e-7,"4.68594e-11"
3,5.7758363e-9,"x1 * 6.8935115e-6"
5,5.7319305e-9,"(x0 + x1) * 6.879303e-6"
7,5.3862687e-10,"x1 * ((x3 * -8.489647e-9) + 1.0576236e-5)"
9,5.153319e-10,"(x0 + x1) * ((x3 * -8.451225e-9) + 1.0542473e-5)"
11,4.804369e-10,"(((x3 * -8.892706e-9) + 1.061806e-5) * x1) + (x0 * 6.160477e-5)"
13,3.6369102e-10,"(x1 * 1.0576874e-5) + ((x3 * ((x1 * x5) + x0)) * 1.7562603e-7)"
15,3.2681016e-10,"(x1 + (((x0 * 1.7299517) + (x1 * x5)) * (x3 * 0.01668117))) * 1.0440115e-5"
17,2.9255107e-10,"(x1 + (((((x0 * 0.00405416) * x3) + (x5 * x1)) * x3) * 0.017397607)) * 1.0677975e-5"
19,2.4825872e-10,"(x1 + ((x3 * 0.017494801) * ((x1 * x5) + ((x0 + (x3 * 0.0044566216)) * x0)))) * 1.0689224e-5"
21,2.0859252e-10,"(x1 + (x3 * (((x1 * x5) + (((x3 * 0.005283637) + (x0 * 3.536817)) * x0)) * 0.017597271))) * 1.0699176e-5"
23,1.8743239e-10,"(x1 + (((x1 * x5) + (((x3 * 0.005311712) + (3.536817 * x0)) * x0)) * ((0.017540265 * x3) + x0))) * 1.0678289e-5"
25,1.6106852e-10,"(x1 + (((((((x3 + (x1 * -1.61131)) * 0.005835824) + (x0 * 6.257881)) * x0) + (x1 * x5)) * x3) * 0.017606527)) * 1.0628813e-5"
27,1.4202861e-10,"((((x3 * 0.017814482) * ((x0 * ((((x1 * -1.6113096) + x3) * 0.0053553246) + (6.257881 * x0))) + (x1 * x5))) + x1) * 1.0747589e-5) + -4.4194862e-6"
29,1.3306782e-10,"(((x3 * (0.017814482 * ((x0 * ((((x1 * -2.598041) + x3) * 0.005355321) + (x2 + (x0 * 8.422977)))) + (x1 * x5)))) + x1) * 1.0725427e-5) + -5.9856843e-6"
31,1.3028593e-10,"(((x3 * (((x1 * x5) + (((((x1 * -2.598041) + x3) * 0.005355321) + (x2 + (x0 * (x0 + 8.422977)))) * x0)) * 0.017814482)) + x1) * 1.0725427e-5) + -5.9856843e-6"
33,1.2928142e-10,"(((((x1 * x5) + (x0 * (((((x1 * -2.598041) + x3) + 6.257881) * 0.005355321) + (x2 + (x0 * (x0 + 8.422977)))))) * (x3 * 0.017814482)) + x1) * 1.0725427e-5) + -5.9856843e-6"
35,1.2589067e-10,"((((x3 * ((((x2 + 0.26172873) + (((x2 + 6.257881) * (1.3459791 * x0)) + (((x1 * -2.598041) + x3) * 0.005355321))) * x0) + (x1 * x5))) * 0.017814482) + x1) * 1.0725427e-5) + -5.9856843e-6"
37,1.2565919e-10,"((((x3 * (((((x2 + 0.26172873) + (((x2 + 6.257881) * 1.3459791) * x0)) + (((x1 * -2.598041) + (x3 + -6.119581)) * 0.005355321)) * x0) + (x1 * x5))) * 0.017814482) + x1) * 1.0725427e-5) + -5.9856843e-6"
