Complexity,Loss,Equation
1,0.40954605,"x0"
3,0.17310841,"x1 * 0.00917178"
5,0.17292419,"(x0 + x1) * 0.009162335"
7,0.052478436,"x1 * ((x6 + -0.0011040654) * -35.780235)"
9,0.05083431,"(x1 * (x6 + -0.0011040654)) * (-35.780235 + x2)"
11,0.0069496934,"((((x6 * -126.97969) + 0.22654258) * x7) + 0.09277274) * x1"
13,0.0047025583,"x1 * ((((x7 * -0.10109153) + -0.07942293) * (x2 + -0.5245321)) + 0.0073622987)"
15,0.0020497392,"x1 * (((((x6 * -211.59808) + 0.30558833) * x7) + 0.1192002) * (x7 + 1.0152075))"
17,0.0019878575,"((x7 * ((x6 * -211.59808) + 0.30558833)) + 0.1192002) * (x0 + ((x7 + 1.0152075) * x1))"
19,0.0019189317,"(((x7 + 1.0184171) * x1) * ((((x6 * -211.59795) + 0.30644652) * x7) + 0.119456924)) + (x0 * 0.05413328)"
21,0.0017978319,"(x7 + 1.0136013) * (((((x6 * -211.59799) + 0.30661875) * x7) + 0.120251454) * (x1 + ((x0 * x1) * 0.12361738)))"
23,0.0013191849,"(x1 + (x0 * (x1 * (x7 + 0.66560024)))) * (((((x6 * -211.59819) + 0.30961242) * x7) + 0.12117277) * (x7 + 1.0223099))"
25,0.0012368419,"((((((x7 + 0.68421865) * x1) * x0) + x1) * (x7 + 1.0177629)) + x0) * ((x7 * ((x6 * -211.59837) + 0.309487)) + 0.12126707)"
27,0.0011583249,"(((((((x7 + 0.72404796) * 0.7054481) * x1) * x0) + x1) * (x7 + 1.020537)) + x0) * ((x7 * ((x6 * -211.59848) + 0.3088697)) + 0.1207037)"
29,0.001052464,"(x0 * 0.062067628) + ((x1 + ((x7 + 0.7338343) * ((x1 * 0.7136466) * x0))) * ((x7 + 1.0204766) * ((((x6 * -211.59845) + 0.3086426) * x7) + 0.120429486)))"
31,0.000989844,"(x0 * 0.062067628) + ((((x1 * (((x7 + 0.9319969) * (x7 + 0.7338343)) * x0)) + x1) * (x7 + 1.0204766)) * ((x7 * ((x6 * -211.59845) + 0.3086426)) + 0.120429486))"
33,0.0009342622,"(x7 + 1.0257277) * ((((x7 * ((x6 * -211.59863) + 0.3102575)) + 0.120759934) * (((x0 * x1) * ((x7 + 0.97389364) * (x7 + 0.7136466))) + x1)) + ((x0 * x3) * x6))"
35,0.0008927758,"(x7 + 1.024212) * (((x0 * x3) * x6) + ((((((x6 * -211.59895) + 0.31138745) * x7) + 0.12170025) * ((x1 * ((x7 + 0.9926662) * ((x7 + 0.74971306) * x0))) + x1)) + -0.012103415))"
37,0.0008881913,"((x7 + 1.024212) * (((x0 * x3) * x6) + ((((((x6 * -211.59895) + 0.31138745) * x7) + 0.12170025) * ((x1 * ((x7 + 0.9926662) * ((x7 + 0.74971306) * x0))) + x1)) + -0.012103415))) + x6"
39,0.00088436244,"(((x7 + 1.024212) * (((x0 * x3) * x6) + ((((((x6 * -211.59895) + 0.31138745) * x7) + 0.12170025) * ((x1 * ((x7 + 0.9926662) * ((x7 + 0.74971306) * x0))) + x1)) + -0.012103415))) + x6) + x6"
