Complexity,Loss,Equation
1,1.8893826e-7,"6.571049e-8"
3,1.0167316e-7,"x1 * 0.0013932697"
5,6.020001e-8,"(x0 + x1) * 0.0011755526"
7,1.1477802e-8,"(x1 + x0) * (x6 * 2.2588763)"
9,6.585706e-9,"((x1 + (x0 + 0.049709965)) * x6) * 2.3170931"
11,5.6928746e-9,"x6 * (2.212893 * ((x1 * 1.1227264) + (0.05029334 + x0)))"
13,5.6324923e-9,"(x6 * 2.212893) * ((x1 * 1.1227264) + ((x0 + 0.05029334) * 0.9746525))"
15,2.216718e-9,"x6 * (x1 + ((x1 * 1.4427179) + (x7 * ((x0 * -3.164411) + -0.15700239))))"
17,3.6308068e-10,"(((x7 - -1.9261224) * (x1 + x1)) + (((x0 * -3.1590896) + -0.15439871) * x7)) * x6"
19,3.5518535e-10,"(((x0 + 0.05034131) * ((x1 + -3.1399264) * x7)) + ((x7 - -1.9229482) * (x1 + x1))) * x6"
21,3.147074e-10,"((((x0 + 0.05034131) * ((x1 * 0.53232145) + -3.1399264)) * x7) + ((x7 - -1.9229482) * (x1 + x1))) * x6"
23,3.1229438e-10,"(((x7 * ((x7 * (x7 - -0.79775536)) + -3.1399205)) * (x0 + 0.050341304)) + ((x1 + x1) * (x7 - -1.9229352))) * x6"
25,2.7196526e-10,"(((((x7 * (x7 - (-0.7977584 + x1))) + -3.1399264) * (x0 + 0.050828017)) * x7) + ((x1 + x1) * (x7 - -1.9229482))) * x6"
27,2.651207e-10,"((x7 * ((((x7 * (x7 - -0.79775536)) + -3.1399205) + (x1 * 0.68028265)) * (x0 + 0.050341304))) + ((x1 + x1) * (x7 - -1.9229352))) * x6"
29,2.602673e-10,"(((x7 * (((x1 * 0.68028265) + (x7 * (x7 - -0.79775536))) + -3.1399205)) * (x0 + 0.050341304)) + ((x1 + x1) * (x7 - -1.9229352))) * (x6 - 1.835136e-6)"
33,2.5942962e-10,"(((x0 + -2.4048467) * ((x0 + (x0 + 0.095152125)) * (x7 + 0.75441164))) + ((((x1 + (x0 + (x0 + x1))) * (x7 - -1.4373006)) + (x1 + x0)) + 0.1194753)) * x6"
35,2.4077523e-10,"((((x7 + 0.7551095) * ((x0 + x0) + 0.09784306)) * (x0 + -2.405093)) + ((x0 + ((x0 + (x1 + (x1 + x0))) * (x7 - -1.4395504))) + (x1 + 0.11764256))) * (x6 + -6.3616862e-6)"
37,2.1854052e-10,"(((x0 + -2.4051008) * ((x7 + 0.7554146) * ((x0 + x0) + 0.097289644))) + ((((x0 + ((x7 - -1.4394517) * (x0 + ((x0 + x1) + x1)))) * 1.0250689) + x1) + 0.11907662)) * (x6 - 1.6545193e-5)"
39,2.1728984e-10,"((((x0 + -2.4051008) * ((x7 + 0.7554146) * ((x0 + x0) + 0.097289644))) + (((x0 + ((x7 - -1.4394517) * (x0 + (x0 + (x1 + x1))))) * 1.0250689) + (x1 + 0.11907662))) * (x6 - 1.7227687e-5)) - -7.2093025e-7"
