Complexity,Loss,Equation
1,1.8893826e-7,"1.6709686e-9"
3,1.0167316e-7,"x1 * 0.0013920611"
5,6.019916e-8,"(x1 + x0) * 0.0011766246"
7,1.1477803e-8,"((x1 + x0) * x6) * 2.2587476"
9,6.585207e-9,"((x5 - x1) - x0) * (x6 * -2.3204956)"
11,4.8824496e-9,"(-0.03422373 - (x1 - (x7 * x0))) * (x6 * -2.6872914)"
13,2.4456914e-9,"(((-0.044288583 - x1) - ((x7 * x0) * -1.3009574)) * x6) * -2.449782"
15,1.7889832e-9,"((x6 * -2.1381001) - 0.00023922582) * ((x5 - x1) - ((x7 * x0) * -1.3084981))"
17,5.965774e-10,"(x6 * ((-0.028302955 - x1) - ((x0 + (x1 * -0.62892747)) * (x7 * -0.82869166)))) * -3.8204525"
19,3.7288267e-10,"(x6 * ((x6 - x1) - (x7 * (((x0 + (x1 * -0.6292306)) + 0.05138578) * -0.83330965)))) * -3.8212087"
21,2.536509e-10,"((x1 + -3.8217788) * x6) * ((-0.02140892 - x1) - ((((x0 + (x1 * -0.6197389)) * -0.83061725) + -0.02140892) * x7))"
23,2.3220703e-10,"((x1 + -3.8201013) * x6) * ((-0.021724284 - x1) - ((x3 * 3.6184643e-5) + ((((x1 * -0.6184386) + x0) * -0.83052975) * x7)))"
25,2.2100546e-10,"((-0.020534063 - x1) - ((x3 * 3.539417e-5) + ((x7 * (x0 + (x1 * -0.62875104))) * -0.83036596))) * (((x1 * 0.8061534) + -3.8217518) * x6)"
27,2.0360937e-10,"((-0.020533875 - x1) - (((x3 * -4.1098905e-5) + (x7 * (x0 + (x1 * -0.62875104)))) * -0.830366)) * (((x1 * (x7 + 1.4939817)) + -3.8217518) * x6)"
29,1.6429613e-10,"(((-0.021151174 - x1) - ((x3 * 3.7519974e-5) + ((x7 * ((x1 * (((x7 + 0.8162787) * x2) + -0.6292685)) + x0)) * -0.8307707))) * x6) * (x1 + -3.800195)"
31,1.5734226e-10,"x6 * ((x1 + -3.8216796) * ((-0.021929888 - x1) - (((x7 * (((((-0.4089429 - x7) * (x7 + 0.816291)) + -0.6292331) * x1) + x0)) * -0.8307241) + (x3 * 3.5834662e-5))))"
35,1.5421639e-10,"x6 * (((-0.021929704 - x1) - (((x3 * -3.4947265e-5) + (((((((x1 + x7) + (x7 + 1.6346581)) * (x6 * 120.48536)) + -0.6292331) * x1) + x0) * x7)) * -0.8307241)) * (x1 + -3.8216796))"
37,1.3832539e-10,"(((-0.021929707 - x1) - (((x7 * (((((x6 * 120.48536) * ((x1 + (x7 + x7)) + (x0 + 1.6565878))) + -0.6292331) * x1) + x0)) + (x3 * -3.4907323e-5)) * -0.8307241)) * (x1 + -3.8216796)) * x6"
