Complexity,Loss,Equation
1,0.49725935,"-8.735502e-6"
3,0.17310865,"x1 * 0.0091802385"
5,0.0019170056,"(x1 * 3.318218) / x3"
7,0.001064137,"(x1 * (x0 + 3.368012)) / x3"
9,0.000683878,"x1 * (3.3531523 / (x3 + (x0 * -29.745277)))"
11,0.000653289,"((x1 + x0) * 3.3530252) / ((x0 * -29.830141) + x3)"
13,0.00047821985,"((x1 * 3.35292) / (x3 + (x0 * -29.763039))) + (x0 * 0.06733777)"
15,0.00035021963,"(x1 * (3.3531086 / (x3 + (x0 * -29.570873)))) + (x3 * (x0 * 0.0002830596))"
17,0.0003156132,"((x1 * 3.3512554) / (x3 + (x0 * -29.763105))) + (x0 * ((x0 + 0.3967893) * 0.2525253))"
19,0.00019329229,"((x0 * 0.25256324) * (x0 + (x7 * -0.8586667))) + ((x1 / ((x0 * -29.762966) + x3)) * 3.3535635)"
21,8.125633e-5,"((x0 * 0.49558258) * (x0 + (x7 / -2.098055))) + (((3.3552873 / (x3 + (x0 * -30.545408))) * x1) + -0.017517276)"
23,7.307122e-5,"(x0 * ((x0 + (x7 / -2.0532691)) * 0.49558258)) + (((x1 * 3.3552873) / (x3 + (x0 * (x4 + -30.929277)))) + -0.017517276)"
25,7.043165e-5,"(x0 * (((x0 + (x7 / -2.1647453)) * 0.5122199) + 0.012198721)) + (((x1 * 3.3569584) / ((x0 * (x4 + -30.926998)) + x3)) + -0.017756166)"
27,6.1695806e-5,"(((x1 / ((x0 * -30.48461) + x3)) + ((x0 * 0.1779602) * ((x0 + (x7 / -2.3244169)) + (x0 / (x3 * -0.05690523))))) * 3.3526204) + -0.017439405"
29,5.8513313e-5,"(((x1 / ((x0 * -30.48461) + x3)) + ((x0 * 0.1779602) * ((x0 + (x7 / -2.3244169)) + (x0 / ((x3 + x1) * -0.05690523))))) * 3.3526204) + -0.017439405"
31,5.721147e-5,"((((x0 * 0.1779602) * ((x0 + (x7 / -2.3244169)) + (x0 / (x5 * ((x1 * x4) + x3))))) + (x1 / (x3 + (x0 * -30.48461)))) * 3.3526204) + -0.017439405"
33,5.2966137e-5,"(((((x0 + (x7 / -2.226655)) + (x0 / ((x5 * x4) / (1.0767809 / x3)))) * x0) * 0.56064135) + -0.018694812) + (x1 * (3.3549628 / (((x4 + -30.484453) * x0) + x3)))"
35,5.1751224e-5,"((((x0 + (x7 / -2.226655)) + ((x5 + x0) / ((x5 * x4) / (1.0767809 / x3)))) * x0) * 0.56064135) + (-0.018694812 + ((x1 * 3.3549628) / (((x4 + -30.484453) * x0) + x3)))"
37,4.845125e-5,"(((x1 * 3.3532202) / (x3 + (x0 * (x4 + -30.927252)))) + ((x0 * (((x7 / -2.2176046) + (x0 / (((x0 + 0.4645025) / x4) / (0.06868735 / (x5 * x3))))) + x0)) * 0.5784311)) + -0.020116938"
39,4.7073634e-5,"((x0 * ((x0 / (((x0 + 0.46693063) / x4) / (0.0641102 / (x5 * x3)))) + (x0 + (x7 / -2.2270005)))) * 0.55435926) + ((x1 * (3.3533304 / (x3 + (x0 * ((x4 * 1.9836853) + -30.926968))))) + -0.019474579)"
