Complexity,Loss,Equation
1,0.24369402,"x1"
3,0.0019170052,"x1 * 3.3183358"
5,0.0010641364,"x1 * (x0 + 3.367917)"
7,0.0010579737,"x1 * ((x0 * 0.92035663) + 3.3648381)"
9,0.0007102543,"(((x0 / x3) + 0.03528289) * 95.22589) * x1"
11,0.0006871463,"((((x7 + x1) + 1.3804996) * x0) + 3.3665085) * x1"
13,0.0005579423,"x1 * (((x0 * 2.0856862) * (x7 + (x1 + 0.907059))) + 3.3655996)"
15,0.00038390188,"((x0 * ((x1 + -0.055338193) * x7)) + x1) * ((2.3763013 * x0) + 3.3850193)"
17,0.0003306709,"((x0 * 1.9475509) + 3.3737679) * (((x0 * x7) * ((x1 * 0.6946739) + -0.055062003)) + x1)"
19,0.00032634137,"((x0 * 1.9475509) + 3.3737679) * ((((x0 * x7) * ((x1 * 0.6946739) + -0.055062003)) + x1) + x6)"
21,0.00021878004,"((((x0 * 0.06717322) + (x7 * -0.06072774)) * x0) + x1) * (((x0 + 1.8352171) + (x7 * x0)) * 1.8352171)"
23,9.4765746e-5,"(((x0 + ((x7 * x0) + 1.8359902)) * 1.8328025) * ((((x0 * 0.15123604) + (x7 * -0.06938464)) * x0) + x1)) + -0.018996669"
25,7.555476e-5,"(((((x0 * 1.1448258) * x7) + x0) + 1.6850593) * ((x1 + (x0 * ((x0 * 0.15120332) + (x7 * -0.072054416)))) * 1.996686)) + -0.017780313"
27,7.181768e-5,"(((x6 + (x0 * ((x7 * -0.07016441) + (x0 * 0.15904568)))) + x1) * (((x0 + (x0 * (x7 * 1.159852))) + 1.6819072) * 1.9997824)) + -0.022191651"
29,6.953239e-5,"(((x6 * 2.8287706) + ((((x7 * -0.07188368) + (x0 * 0.15521838)) * x0) + x1)) * ((((x7 * (x0 * 1.1598579)) + x0) + 1.6812472) * 1.9986787)) + -0.023889342"
31,6.944416e-5,"(((((x6 * 1.4518926) + (x0 * ((x0 * 0.1557161) + (x7 * -0.07016441)))) + x1) * ((((x7 * 1.159852) * x0) + x0) + 1.6819072)) * 1.9997824) + (x6 + -0.022225402)"
33,6.3611275e-5,"((((((x0 * 0.12498031) + ((x7 + (x1 * x2)) * ((x0 + 1.0738484) * -0.06873302))) * x0) + x1) * ((x7 * (x0 / 0.875394)) + (x0 + 1.7490066))) * 1.9216843) + -0.019783542"
35,6.344293e-5,"((((x0 * ((x0 * 0.13547696) + ((x7 + ((-0.7521129 / x4) * x1)) * ((x0 + 1.853278) * -0.0397291)))) + x1) * ((x7 * (x0 / 0.9326618)) + (x0 + 1.853278))) * 1.8149856) + -0.019240323"
37,5.849225e-5,"((x1 + (x0 * ((x0 * 0.12818252) + ((x0 + 1.8153404) * ((x7 + (((-0.047021497 / x7) / x2) * x1)) * -0.039844014))))) * (((x7 * (x0 / 0.92691934)) + (x0 + 1.8546593)) * 1.8139356)) + -0.01795407"
39,5.75833e-5,"((x6 + (((((x0 * 0.13761401) + ((x0 + 1.8153338) * ((x7 + ((x1 * -0.65379536) / (x7 / x2))) * -0.04008089))) * x0) + x1) * (((x7 * (x0 / 0.93208563)) + x0) + 1.8535355))) * 1.8153338) + -0.02007348"
