Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057951,"x1 * 3.3370583"
5,0.0012057575,"x1 * (x6 + 3.3363185)"
7,0.00073515525,"(x1 * 3.3367393) + (x0 * 0.09939574)"
9,0.00066285726,"(((x0 * 8.61279e-5) * x3) + x1) * 3.3389173"
11,0.0004979886,"(x1 * 3.3402994) + (x0 * ((x0 + 0.48035297) * 0.29031107))"
13,0.00030216106,"(x1 * 3.3538063) + ((((x0 + x1) + 0.42942867) * x0) * 0.35044006)"
15,0.00015386064,"(((((x1 + x0) + 0.29399085) * x0) + (x1 * 6.236698)) + -0.032466605) * 0.5395043"
17,8.534126e-5,"((x1 * 6.240215) + ((x0 * (x1 + (x0 + (x7 * -0.45774597)))) + -0.033211756)) * 0.5391554"
19,7.9254816e-5,"((x1 * 6.1878824) + ((((x7 * -0.45148814) + (x0 + (x1 * 0.8458032))) * x0) + -0.033272203)) * 0.54292786"
21,6.7277564e-5,"(((x0 * x7) + 16.241528) * (((x1 * 5.484469) + ((x0 * (x1 + x0)) + -6.8396583)) * 0.03773297)) + 4.1707153"
23,6.1651124e-5,"((((x7 + 0.20346586) * x0) + 9.144776) * ((((x1 * 5.709411) + (x0 * (x1 + x0))) + -5.765068) * 0.06434342)) + 3.3723724"
25,5.6896773e-5,"(((((x7 + 0.21175663) * (x0 + 0.04364695)) + 9.152473) * ((x1 * 5.62615) + (((x1 + x0) * x0) + -5.8435507))) * 0.06539729) + 3.470767"
27,5.640955e-5,"3.339821 + (((x0 * (x1 + x0)) + ((x1 * 5.7383804) + -5.7380605)) * ((((x7 + 0.19854727) * ((0.10246995 + x0) + x5)) + 9.145961) * 0.064179495))"
29,5.4870783e-5,"3.339821 + (((((x0 * ((1.0565889 * x1) + x0)) + (x1 * 5.7383804)) + -5.7380605) * (((x7 + 0.19854727) * (0.10246995 + (x0 + x5))) + 9.145961)) * 0.064179495)"
31,5.4522614e-5,"(x0 * 0.04309531) + (((((x0 + 0.034959123) * (x7 + 0.29485518)) + 9.15245) * (((x1 * 5.8724437) + ((x0 * (x1 + x0)) + -5.5653534)) * 0.06256988)) + (x6 + 3.1632335))"
33,4.8464397e-5,"(x2 * ((x1 * x0) * 0.3780043)) + (((((x0 * (x0 + x1)) + ((x1 * 6.0112014) + -5.4546785)) * (((x0 + 0.057740323) * (x7 + 0.14755829)) + 9.147425)) * 0.061346684) + 3.0333698)"
35,4.7567184e-5,"((((x0 * (x0 + x1)) + ((x1 * 6.010924) + -5.4557157)) * (((x0 + (x5 + 0.09731768)) * (x7 + 0.16127342)) + 9.147988)) * 0.061248843) + ((((x2 * x1) * 0.3772706) * x0) + 3.0301049)"
37,4.7396825e-5,"(((((x0 * (x0 + x1)) + ((x1 * 6.010924) + -5.4557157)) * (((x0 + (x5 + 0.09731768)) * (x7 + 0.16095082)) + 9.147988)) * 0.061248843) + ((((x2 * x1) * 0.3772706) * x0) + 3.0301049)) + x6"
