Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.33704"
5,0.0012057621,"x1 * (3.335971 + x6)"
7,0.00073534093,"((x0 * 0.030159904) + x1) * 3.3389602"
9,0.00068265275,"(x1 + ((x0 * x6) * 40.683292)) * 3.3373265"
11,0.0004976344,"(x1 * 3.3389602) + (x0 * ((x0 * 0.29453877) + 0.14426623))"
13,0.000302112,"((x0 * ((x0 + (x1 + 0.43223345)) * 0.102493346)) + x1) * 3.3564353"
15,0.00015352522,"(3.3638349 * (x1 + -0.0050037596)) + (x0 * (0.5229718 * (x0 + (0.2987204 + x1))))"
17,0.00014696237,"(x0 * (((x1 + 0.33525595) * 0.48584193) + (x0 * 0.587634))) + ((x1 + -0.0056337463) * 3.3638053)"
19,0.00013951448,"(x0 * ((x2 * -0.09076822) + (((x0 + x1) + 0.3321955) * 0.52311033))) + ((x1 * 3.3665566) + -0.016895307)"
21,8.136517e-5,"((((x6 * x3) + (0.33298558 + ((x1 + x0) * 2.1112814))) * (x0 * 0.2568182)) + -0.017707847) + (x1 * 3.3634984)"
23,7.456071e-5,"(((((x1 * 1.6169541) + ((x6 * x3) + 0.28436938)) + (x0 * 2.0328171)) * x0) * 0.28871614) + ((x1 + -0.0059553157) * 3.3608468)"
25,6.855759e-5,"((x1 + -0.0059553157) * 3.3608468) + ((x0 * 0.28871614) * (((x3 * x6) + (x1 + (((x1 * x2) + x0) * 2.0138645))) + 0.27593446))"
27,6.4251515e-5,"((x1 + -0.0059553157) * 3.3608468) + (((x6 * x3) + (((x0 * 2.0138645) + (((x2 * x1) + x1) * 1.3583528)) + 0.27593446)) * (x0 * 0.28871614))"
29,6.277394e-5,"(((x1 + -0.0063734693) + x6) * 3.3579862) + ((((((x1 + (x1 * x2)) * 1.3200989) + (x0 * 2.01881)) + 0.27959013) + (x6 * x3)) * (x0 * 0.28024524))"
31,6.0568516e-5,"((x0 * ((((x0 * 2.0170176) + (x3 * x6)) + ((x1 + (x1 * x2)) * 1.3199475)) + 0.28466815)) * 0.28466815) + ((((x6 + x6) + x1) + -0.007173928) * 3.3589478)"
33,5.9944843e-5,"((x0 * ((x6 * x3) + ((0.28466815 + ((((x1 * -0.2286628) * x4) + x1) * 1.3199475)) + (x0 * 2.0170176)))) * 0.28466815) + (((x1 + -0.007173928) + (x6 + x6)) * 3.3589478)"
35,5.9882583e-5,"((x0 * (((0.28466815 + (((-0.2286628 * (x1 * x4)) + x1) * 1.3199475)) + (x0 * 2.0170176)) + (x6 * x3))) * 0.28466815) + ((-0.007173928 + (x1 + (x6 + x6))) * (3.3589478 + x6))"
37,5.845614e-5,"(((x6 + x6) + (x1 + -0.0072779846)) * 3.3618042) + (x0 * (((x5 * x1) + 0.2865894) * ((x7 + (x3 * x6)) + (((x0 * 2.0193865) + ((x1 + (x1 * x2)) * 1.330193)) + -0.71379656))))"
39,5.76872e-5,"(((x6 + x6) + (x1 + -0.0072561153)) * 3.3648903) + ((((((x6 * x3) + (x1 * 1.3300642)) + ((x1 * 1.5444486) * x2)) + (x7 + ((x0 * 2.0189307) + -0.7105415))) * x0) * ((x1 * -0.09389267) + 0.28564557))"
