Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.3370612"
7,0.0007352848,"(x1 * 3.3386412) + (x0 * 0.09891648)"
9,0.00066325144,"(x1 * 3.334101) + ((x3 * 0.00028264843) * x0)"
11,0.0004976518,"((x0 * 0.28776225) * (x0 + 0.49398902)) + (x1 * 3.335238)"
13,0.00030189153,"(x1 * 3.3540924) + ((x0 * 0.34474868) * ((x1 + 0.43177587) + x0))"
15,0.00015375444,"((x1 + ((x0 + (x1 + 0.29755905)) * (x0 * 0.15778944))) * 3.36111) + -0.01743491"
17,9.261914e-5,"(((((x0 + x1) * 0.5315041) + (x3 * 0.00044130496)) * x0) + (x1 * 3.3644319)) + -0.017580077"
19,8.21863e-5,"(((((x1 + x0) * 0.5169315) + ((x3 * 0.00033442597) + 0.03652284)) * x0) + -0.016746487) + (x1 * 3.3585062)"
21,7.416272e-5,"((x1 + -0.0060898666) * 3.36196) + ((((((x1 * 0.75101405) + x0) * 0.61194855) + (x3 * 0.0003109954)) + 0.059623577) * x0)"
23,6.511228e-5,"((x1 + -0.0060898666) * 3.36196) + (((((((x2 + 0.58629936) * x1) + x0) * 0.61194855) + 0.059623577) + (x3 * 0.0003109954)) * x0)"
25,5.211606e-5,"((x1 * 3.3571813) + (x0 * ((((x1 + x0) * 0.6081612) + (((x1 * (x3 * -1.9007763)) + x3) * 0.00030943775)) + 0.05629187))) + -0.020984307"
27,4.9864448e-5,"((x0 * (((((x3 * (x1 * -1.9007763)) + x3) * 0.00030943775) + 0.053963825) + (((x1 * 1.0431409) + x0) * 0.6081612))) + (x1 * 3.3571813)) + -0.020984307"
29,3.4249486e-5,"(x1 * 2.6109078) + (((x0 * ((((x0 * 0.5525963) + x1) + 0.05503936) + ((((x1 * -4.817202) * x3) + x3) * 0.00030518198))) + (x1 * 0.7531345)) + -0.017876212)"
31,3.282137e-5,"-0.020093197 + ((x0 * (((x0 + (x1 * 1.7316585)) * 0.59243727) + ((x3 * (-0.0015844832 * x1)) + ((x3 * 0.0003030179) + 0.053379804)))) + ((x1 * 2.6098173) + (0.752141 * x1)))"
33,3.2821365e-5,"((((x0 * ((((x0 + (x1 * 1.7316585)) * 0.59243727) + (((x3 * x1) * -0.0015844832) + (x3 * 0.0003030179))) + 0.053379804)) + -0.020093197) + (x1 * 2.6098173)) + (x1 * 0.752141)) * x7"
35,3.282136e-5,"((x0 * (((x0 + (x1 * 1.7316585)) * 0.59243727) + ((((x3 * x1) * -0.0015844832) + (x3 * 0.0003030179)) + 0.053379804))) + -0.020093197) + (x7 * ((x1 * 2.6098173) + ((x1 * 0.752141) * x6)))"
37,3.2499465e-5,"(((((x1 * 0.7493937) * x7) + (((((x0 + ((x1 * 1.7293915) + 0.08670665)) + (((x1 * (x3 * -4.816012)) + x3) * 0.00055931055)) * 0.5825485) * x0) + (x1 * 2.6071672))) + -0.019314539) * x6) * x6"
