Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057951,"x1 * 3.3370097"
7,0.0007352765,"(x1 + (0.030378452 * x0)) * 3.3375382"
9,0.0006629731,"((x0 * (x3 * 8.423856e-5)) + x1) * 3.3377635"
11,0.00049749657,"(x1 * 3.3350732) + ((x0 + 0.48082334) * (x0 * 0.29897588))"
13,0.0003018681,"(((x0 * ((x1 + x0) + 0.43395242)) * 0.10254537) + x1) * 3.354254"
15,0.00015370006,"(x1 + ((((x1 + (x0 + 0.29831016)) * x0) * 0.1574995) + -0.0049757436)) * 3.3622146"
17,0.00014810219,"(((x0 * (((x0 + 0.26324135) + (x1 * 0.7480698)) * 0.18665148)) + x1) * 3.3565226) + -0.021196812"
19,0.00013894048,"(((((((x2 + 0.6790992) * x1) + x0) + 0.29157487) * (x0 * 0.16995502)) + x1) * 3.3606834) + -0.018260898"
21,0.00013270482,"((((((((x1 + x2) * -0.15461637) + x0) + (x1 + 0.31478167)) * x0) * 0.17147817) + x1) * 3.359755) + -0.01809912"
23,0.00013225948,"x1 + ((((((x1 + (((x1 + x2) * -0.14523636) + x0)) + 0.30797356) * (x0 * 0.24223568)) + -0.008275429) + x1) * 2.3603015)"
25,0.000121719546,"((x1 + (((x0 * 0.24223568) * (((x1 * 0.6226706) + ((x2 * (x1 + -0.14523636)) + 0.30797356)) + x0)) + -0.008275429)) * 2.3603015) + x1"
27,0.000120933335,"x1 + (((-0.008275429 + ((x0 * (((((((x1 + -0.14523636) * x2) * 1.4650017) + x1) * 0.6226706) + x0) + 0.30797356)) * 0.24223568)) + x1) * 2.3603015)"
29,0.000119964665,"(((x1 + (x0 * ((((x1 + (x1 * (-0.37477311 + (x4 * -0.14359947)))) + (x2 * -0.14359947)) + (x0 + 0.3080371)) * 0.25201496))) + -0.008292668) * 2.3604538) + x1"
31,0.000119202654,"x1 + (((x1 + ((x0 * 0.25201496) * (((x1 + (((((x1 + x4) * -0.14359947) + -0.37477311) * x1) + (x2 * -0.14359947))) + x0) + 0.3080371))) + -0.008292668) * 2.3604538)"
33,0.000118834796,"x1 + ((((0.25201496 * ((((x1 * x1) + x1) * ((x4 * -0.14359947) + -0.37477311)) + (x1 + ((0.3080371 + x0) + (x2 * -0.14359947))))) * x0) + (x1 + -0.008292668)) * 2.3604538)"
35,0.00011882388,"x1 + (((0.25201496 * (((((x1 * x1) + x1) * (((x5 + x4) * -0.14359947) + -0.37477311)) + (x1 + ((0.3080371 + x0) + (x2 * -0.14359947)))) * x0)) + (x1 + -0.008292668)) * 2.3604538)"
37,0.00011811774,"(((((x0 * 0.25201496) * ((((x1 + (x1 * x1)) + (x0 * 0.068815425)) * ((x4 * -0.14359947) + -0.37477311)) + ((0.3080371 + (x1 + (-0.14359947 * x2))) + x0))) + x1) + -0.008292668) * 2.3604538) + x1"
