Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057952,"x1 * 3.3371363"
7,0.0007352316,"(x0 * 0.099400714) + (x1 * 3.3384461)"
9,0.00070923683,"((x0 + 0.048644345) * 0.10463491) + (x1 * 3.334367)"
11,0.00050058943,"((x0 * 0.032248884) + x1) * ((x0 * 0.463434) + 3.3524053)"
13,0.00030244552,"(x1 + (((x1 + x0) * (x0 + 0.4406459)) * 0.1030215)) * 3.20853"
15,0.00015355059,"(((x0 + 0.38454843) * ((x1 + (x0 + -0.084515795)) * 0.16472663)) + x1) * 3.163624"
17,0.00015164695,"(x1 + (((x1 + ((x0 + -0.084515795) * 1.0509481)) * (x0 + 0.38454843)) * 0.16472663)) * 3.163624"
19,0.00014907097,"(((x0 + (1.6721765 * x1)) * ((-0.92651165 + (x1 + (x0 * -2.3950562))) * x5)) + x1) * 3.1193478"
21,0.00014677017,"(x1 + (((x1 * (x0 + 1.4711875)) + x0) * (x5 * ((x1 + (x0 * -2.3067393)) + -0.9237612)))) * 3.1399155"
23,0.00013344649,"(x1 + ((x5 * ((x1 + -0.8681867) + (x0 * ((x2 * -1.4929239) + -2.0772405)))) * (x0 + (x1 * 1.5704529)))) * 3.1447444"
25,0.00013202631,"(x1 + (x5 * ((x0 + (x1 * 1.572806)) * ((x1 + ((x0 * ((x2 * -1.4935665) + -2.0705495)) + -0.9134523)) * x3)))) * 3.1324098"
27,0.00013096709,"(x1 + ((((x4 * (x0 * 0.30651665)) + -0.9088004) + ((x0 * -1.9316169) + x1)) * (x5 * ((x1 * (x0 + 1.4509915)) + x0)))) * 3.1502845"
29,0.00012949444,"(((x5 * ((((x4 * x0) * 0.2987615) + (x1 + (x0 * (x0 + -1.8618366)))) + -0.9878903)) * (x0 + ((x0 + 1.4222984) * x1))) + x1) * 3.1386945"
33,0.00012621857,"((((x1 * (x0 + 1.3623338)) + x0) * ((((x0 * (x4 * 0.34936246)) + (x1 + -0.9433737)) + (x0 * -1.9933445)) * x5)) + x1) * (((x1 * x4) * 0.027769469) + 3.1547785)"
35,0.0001237669,"(x1 + (((((x4 * x0) * 0.34936246) + ((x1 + (x0 * (x1 + -1.9933445))) + -0.9433737)) * x5) * (x0 + (x1 * (x0 + 1.3623338))))) * (((0.027769469 * x1) * x4) + 3.1547785)"
