Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057959,"x1 * 3.3372"
7,0.000735226,"(x1 * 3.3384488) + (x0 * 0.09986301)"
9,0.0007107328,"((x0 * 0.09986301) + (x1 * 3.3384488)) + 0.004307397"
11,0.0004973644,"(((x0 + 0.48571232) * 0.29282922) * x0) + (x1 * 3.3384488)"
13,0.00030186286,"(x1 * 3.3538103) + ((x0 * 0.33974248) * (x0 + (x1 + 0.43682578)))"
15,0.00015349903,"((((x0 * 0.15686768) * ((x1 + x0) + 0.29921636)) + -0.005098414) + x1) * 3.3620772"
17,0.00014674295,"((x1 + -0.0053433618) + ((((x0 + 0.28690222) + (x1 * 0.8393465)) * x0) * 0.1680229)) * 3.361226"
19,0.00013905829,"(x1 + (((x0 * (((x1 + x0) + 0.32381418) + (x4 * 0.030036265))) * 0.1615916) + -0.0053969757)) * 3.3620608"
21,0.00013146418,"(x1 + ((((x0 + ((x4 * 0.028490685) + 0.31638893)) + (x1 * 0.8448756)) * (x0 * 0.1680229)) + -0.0053433618)) * 3.361226"
27,0.00012025336,"(((((((x5 + 0.3047574) + x0) + x1) + (((x1 + -0.16567065) * -0.17277506) * (x4 + 1.9833925))) * (x0 * 0.17067729)) + -0.005817002) + x1) * 3.3611913"
29,0.00012025335,"(x2 * 3.3611913) * (((((((x5 + 0.3047574) + x0) + x1) + (((x1 + -0.16567065) * (x4 + 1.9833925)) * -0.17277506)) * (x0 * 0.17067729)) + x1) + -0.005817002)"
33,0.00011989018,"x6 + ((x1 + ((((((x0 * 0.20674583) + (x5 + x1)) + ((((x6 + x4) * ((x1 + -0.15640733) * -0.19123279)) + x0) + 0.39231962)) * 0.14130993) * x0) + -0.30321142)) * 3.361413)"
35,0.000119412216,"x6 + (((x1 + -0.30321142) + (((x0 * 0.20674583) + (((x5 + ((x4 + (x1 + 1.3396963)) * ((x1 + -0.15640733) * -0.19123279))) + x1) + (x0 + 0.39231962))) * (x0 * 0.14130993))) * 3.361413)"
37,0.00011916151,"x6 + ((-0.30321142 + (x1 + (((((0.20674583 * x0) + x5) + ((((x4 + (0.061326668 + (x1 + 1.1983863))) * ((x1 + -0.15640733) * -0.19123279)) + x1) + (x0 + 0.39231962))) * x0) * 0.14130993))) * 3.361413)"
