Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.3370764"
7,0.0007351445,"((x0 * 0.029846555) + x1) * 3.3371422"
9,0.0007094967,"(x1 + ((x0 + 0.05378655) * 0.030719284)) * 3.3353963"
11,0.0004973788,"((((x0 + 0.47355756) * 0.09078076) * x0) + x1) * 3.336396"
13,0.00030219764,"(((((x1 + x0) + 0.43226853) * x0) * 0.10316276) + x1) * 3.3517094"
15,0.00015354263,"((((x0 + (x1 + 0.300236)) * (x0 * 0.15458132)) + x1) * 3.3634305) + -0.0168854"
17,0.00014611855,"((x1 + (x0 * (((x1 * 0.7846841) + (x0 + 0.2780613)) * 0.17742398))) + -0.0057999566) * 3.358276"
19,0.00013944141,"(((((x4 * 0.0039541605) + ((x0 + (x1 + 0.33271185)) * 0.15247656)) * x0) + x1) + -0.004638158) * 3.3622909"
21,0.0001307922,"(x1 + ((x0 * (((((x4 * 0.037255358) + x1) * 0.78398865) + (0.3064877 + x0)) * 0.17340603)) + -0.005708188)) * 3.360364"
23,0.00013072081,"(-0.005708188 + (((x0 * 0.17340603) * (((((x4 + x1) * 0.037255358) + x1) * 0.7772811) + (x0 + 0.3064877))) + x1)) * 3.360364"
25,0.0001305323,"(x1 + (((((((x4 * ((x3 + -0.14046891) * 0.037255358)) + x1) * 0.7772811) + (x0 + 0.3064877)) * x0) * 0.17340603) + -0.005708188)) * 3.360364"
27,0.00012641869,"-0.018023824 + (((((((x1 + x0) + 0.32070652) * 0.16171166) + (0.004971761 * (x4 + ((x1 * (3.3603313 + x4)) * -2.0915346)))) * x0) + x1) * 3.3556087)"
29,0.00012238877,"(((((0.0048246025 * ((((x4 * 3.355609) + 6.7159405) * (-1.7238264 * x1)) + x4)) + (0.16171168 * ((x1 + x0) + 0.32070684))) * x0) + x1) * 3.355609) + -0.01802389"
33,0.000121381134,"((((((((x4 + (((x1 * -1.7239248) * (((x2 + x4) * 3.3603575) + 3.3603556)) + -0.49831468)) * 0.026322313) + 0.32868868) + (x0 + x1)) * x0) * 0.16696279) + x1) * 3.3589087) + -0.01943475"
35,0.00011992898,"(((x0 * ((((((x4 + x0) + (((x1 * -1.7239248) * (((x2 + x4) * 3.3603575) + 3.3603556)) + -0.49831468)) * 0.026322313) + 0.32868868) + (x1 + x0)) * 0.16696279)) + x1) * 3.3589087) + -0.01943475"
39,0.000119397475,"((((((((x4 + ((x1 * (((((x1 * x2) + (x2 + x4)) * 3.3603575) + 3.3603556) * -1.7239248)) + (x0 + x0))) * 0.026322313) + (x0 + 0.32868868)) + x1) * x0) * 0.16696279) + x1) * 3.3589087) + -0.01943475"
