Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.337063"
7,0.0007351941,"(x1 * 3.336236) + (x0 * 0.09914762)"
9,0.0007097561,"(x1 * 3.336236) + (0.0051369416 + (x0 * 0.10936298))"
11,0.00049726304,"(x1 * 3.337112) + (((x0 + 0.48061186) * x0) * 0.29779905)"
13,0.00030192742,"(x1 * 3.353264) + (x0 * (0.33934677 * (x0 + (x1 + 0.44032887))))"
15,0.00015433114,"((x0 * (x0 + 0.30321747)) + ((x1 + -0.00518596) * (x0 + 6.3529987))) * 0.530072"
17,0.00014685154,"(((x1 + -0.0058385213) * 0.4831614) * (x0 + 6.9616413)) + ((x0 * (x0 + 0.28997236)) * 0.5794661)"
19,0.0001458929,"(x1 + ((x1 * ((x0 * 0.7603561) + 4.6120358)) + (((x0 + 0.27303404) * x0) + -0.03363951))) * 0.59882545"
21,0.00014576012,"((((x0 + 0.27619833) * x0) + x1) + ((((4.6120358 + x0) + (x0 * -0.22682628)) * x1) + -0.03363951)) * 0.59882545"
25,0.00013725866,"((x1 + (x1 * ((x0 + (x0 * ((x4 * -0.1443016) + -0.32926023))) + 4.8349123))) + (((x0 + 0.27933514) * x0) + -0.03557369)) * 0.57660097"
27,0.00013571583,"(((((x0 + 0.27303404) * x0) + x1) + -0.03363951) + (x1 * (((x0 * ((x5 * x4) + -0.15273078)) * 2.0962708) + (x0 + 4.6120358)))) * 0.59882545"
29,0.00012070225,"(((((((x4 + 2.4331484) * (x0 * -0.03283803)) + x7) * (((x0 + 4.6282716) * x1) + -0.5843454)) + ((x0 + 0.2502751) * x0)) + x1) * 0.59750575) + 0.32936668"
31,0.000119802,"((x1 + (((x0 + 0.24683501) * x0) + ((x7 + (x0 * ((x4 + (x1 + 2.4329066)) * -0.03979954))) * (((x0 + 4.627564) * x1) + -0.58527386)))) * 0.59645456) + 0.32885376"
35,0.000119130294,"((((x0 + 0.2502751) * x0) + (((-0.5843454 + (x1 * (x0 + 4.6282716))) * (x7 + ((x1 + 0.95445305) * (x0 * ((1.2047778 + (x4 + x7)) * x5))))) + x1)) * 0.59750575) + 0.32936668"
37,0.00011911262,"0.32936668 + ((((x0 + 0.2502751) * x0) + (((-0.5843454 + (x1 * (x0 + 4.6282716))) * (x7 + ((x1 + (x5 + x6)) * (x0 * ((1.2047778 + (x4 + x7)) * x5))))) + x1)) * 0.59750575)"
