Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057957,"x1 * 3.3369322"
7,0.0007351458,"(x1 * 3.3372343) + (x0 * 0.099958114)"
9,0.0007107173,"(x0 * 0.105268486) + ((x1 * 3.330996) + 0.0048350906)"
11,0.00049774745,"(x1 * 3.3354418) + (((x0 + 0.46680978) * x0) * 0.30826494)"
13,0.00030209462,"((x0 + (x1 + 0.42615506)) * (x0 * 0.34700757)) + (x1 * 3.3544862)"
15,0.00015387418,"(((x0 * 0.5279242) + -0.045079257) * (x1 + (x0 + 0.38360712))) + (x1 * 3.4113202)"
17,0.00014689469,"((x1 * 3.3581116) + ((x0 * (x0 + ((x1 * 0.83231115) + 0.2856533))) * 0.56015223)) + -0.017982228"
19,0.00014568584,"(x1 + ((x0 + -0.09015919) * (x5 * ((-2.6952722 * (x1 + (x0 * 1.2856929))) + -1.2795432)))) * 3.4004407"
23,0.00014482997,"(x1 + ((((((x0 * (1.2856929 + (x1 * x1))) + x1) * -2.6952722) + -1.3000349) * x5) * (x0 + -0.09015919))) * 3.4004407"
25,0.0001446459,"(((x0 + -0.09015919) * (x5 * (((((((x1 * x1) * 1.4604771) + 1.2856929) * x0) + x1) * -2.6952722) + -1.3000349))) + x1) * 3.4004407"
27,0.00014432757,"((x1 + ((((x1 + (x0 * (((2.338641 * x1) * x1) + 1.2856929))) * -2.6952722) + -1.3000349) * ((x0 + -0.09015919) * x5))) * 3.4004407) + -0.00085705484"
29,0.00014428588,"((((x0 + -0.09015919) * (((((((x1 * ((x3 + 1.1202044) * x1)) + 1.2856929) * x0) + x1) * -2.6952722) + -1.3000349) * x5)) + x1) * 3.4004407) + -0.00085705484"
