Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.3370395"
5,0.0012057917,"(x1 * 3.337018) + 4.8526574e-5"
7,0.0007351752,"(x1 * 3.336556) + (x0 * 0.10040383)"
9,0.0007099425,"(x1 * 3.336556) + (0.10040383 * (0.050574526 + x0))"
11,0.0004973825,"(x1 * 3.3363414) + ((0.4745035 + x0) * (x0 * 0.302704))"
13,0.00030220376,"(x0 * (0.3433531 * ((x0 + x1) + 0.4419645))) + (x1 * 3.354506)"
15,0.00015349974,"((((x0 * (x1 + (x0 + 0.29666093))) * 0.1571017) + x1) * 3.3630402) + -0.017059218"
19,0.00014848921,"(((((x1 + x0) + 0.30662376) * (x0 * 0.14774525)) + x1) * ((x1 * -0.06716044) + 3.36408)) + -0.011980805"
21,0.00014565243,"(((x0 * (0.13791671 * (((x1 + (0.28129974 * (0.2564904 + x0))) + 0.28129974) + x0))) + x1) + -0.0059527555) * 3.3601878"
27,0.00014464578,"(((x1 + -0.3035814) + (x0 * ((((x1 + x0) + (((x0 * 0.5963565) + 0.28643128) * (x0 + 0.10604579))) + 0.28613025) * 0.1388749))) * 3.3603683) + x2"
29,0.00014463357,"(((x1 + -0.3035814) + (x0 * ((((x1 + x0) + (((x0 * 0.5963565) + 0.28643128) * ((x0 + -0.8950858) + x5))) + 0.28613025) * 0.1388749))) * 3.3603683) + x2"
31,0.00014453163,"3.3601878 * ((x1 + ((0.13823062 * (((x1 + ((((x0 + x0) * (x0 + (x0 + (x5 + 0.18729378)))) + 0.2564904) * 0.13823062)) + x0) + 0.28129974)) * x0)) + -0.0059527555)"
35,0.00014452315,"(((0.13823062 * (((((x0 + ((x1 * x1) + x0)) * ((x5 + (x0 + 0.18729378)) + x0)) + 0.2564904) * 0.13823062) + (x0 + (x1 + 0.28129974)))) * x0) + (x1 + -0.0059527555)) * 3.3601878"
37,0.00014451721,"(((((((((((x0 * 0.07840686) * x1) + (((x0 + x0) * (x5 + ((x0 + x0) + 0.18729378))) + 0.2564904)) * 0.13823062) + 0.28129974) + x0) + x1) * 0.13823062) * x0) + x1) + -0.0059527555) * 3.3601878"
