Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057951,"x1 * 3.3370104"
7,0.00073516567,"(x1 * 3.3370104) + (x0 * 0.09908119)"
9,0.0007091388,"(x1 * 3.3381426) + ((x0 + 0.049601603) * 0.10303429)"
11,0.0004975772,"(x1 * 3.336598) + ((x0 * (x0 + 0.48914596)) * 0.2861046)"
13,0.00030186004,"(x1 * 3.3544893) + ((((x0 + 0.43529934) + x1) * 0.34128654) * x0)"
15,0.00015346827,"((x0 * (((x1 + x0) + 0.30194178) * 0.52360797)) + (x1 * 3.3629837)) + -0.016822932"
17,0.00014628102,"(((((x1 + 0.3411085) * 0.82458526) + x0) * x0) * 0.5790097) + ((x1 * 3.3582354) + -0.01892447)"
19,0.00014569462,"((x1 * 3.3595033) + (-1.0194627 + ((((x0 + 0.28140396) + (x1 * 0.79128176)) * x0) * 0.585049))) + x2"
23,0.0001445721,"((x0 * ((((((x1 * -0.32434946) + 0.78990763) * x1) + 0.28382775) + x0) * 0.5862547)) + -1.0201192) + ((x1 * 3.3604367) + x4)"
25,0.00014427707,"x7 + ((x1 * 3.3604367) + ((x0 * (0.5862547 * (x0 + (0.28382775 + (x1 * ((x1 * (x0 + -0.19416846)) + 0.7919292)))))) + -1.0201192))"
