Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"x1 * 3.3370733"
7,0.00073528406,"((x0 * 0.030182336) + x1) * 3.3385394"
9,0.00066275394,"(x1 * 3.3372993) + (x3 * (x0 * 0.00028984895))"
11,0.00049715966,"((x0 + 7.161766) * 0.4690158) * (x1 + (x0 * 0.030750621))"
13,0.00030199674,"((((x1 + 0.42940637) + x0) * (x0 * 0.102364525)) + x1) * 3.3536339"
15,0.0001535,"(x1 + (-0.0050159837 + (((x0 + 0.2991441) + x1) * (x0 * 0.15622184)))) * 3.3620534"
17,9.174519e-5,"(x1 + ((((x1 + x0) + (x3 * 0.00084532565)) * (x0 * 0.15147008)) + -0.0049814912)) * 3.363753"
19,8.1944796e-5,"(((((((x1 + (x3 * 0.00061146705)) + 0.079864495) + x0) * 0.15791383) * x0) + x1) + -0.0052837) * 3.3675814"
21,7.458277e-5,"(((x0 * ((((x3 * 0.0004614704) + x0) + (x1 * 0.7806324)) + 0.108992875)) * 0.18211658) + (x1 + -0.006135231)) * 3.3603945"
23,5.1959785e-5,"((x1 + -0.0067932364) + (x0 * (((x0 + x1) * 0.1934772) + ((x3 * ((x1 * -0.00019405043) + 9.545838e-5)) + 0.017367724)))) * 3.3600452"
25,5.172411e-5,"(-0.012439129 + (x1 + ((((0.37180638 * (x0 + x1)) + (((0.0001808257 + (x1 * -0.0003198049)) * x3) + 0.036871217)) * x0) + x1))) * 1.679218"
27,4.1292027e-5,"((x0 * ((((x0 + x1) * 0.3694352) + (((x3 * (x1 * -8.4983844e-7)) + 0.00020164803) * x3)) + 0.02949907)) + ((x1 + x1) + -0.0123088695)) * 1.6772165"
29,3.90461e-5,"(x1 + (((x0 * ((((x0 + (x1 * 1.0512656)) * 0.36956075) + (x3 * (((x1 * -9.059873e-7) * x3) + 0.00020303472))) + 0.029077977)) + x1) + -0.012516864)) * 1.6804768"
31,3.8556766e-5,"((((x7 * ((((x1 * 1.05249) + x0) * 0.36737445) + ((x3 * (((x1 * -9.185706e-7) * x3) + 0.0001810559)) + 0.03546722))) * x0) + (x1 + x1)) + -0.012135296) * 1.6798543"
33,2.5147945e-5,"(((x1 + (x1 * 0.67186636)) + ((((x0 * 0.29561326) + x1) + (x3 * (((x3 * (x1 * 3.2810053e-6)) + 0.00018754945) + (x1 * -0.0034760395)))) * (x0 + 0.055284284))) * 1.9951284) + -0.027137589"
35,2.3754614e-5,"((((x1 * 0.6732306) + ((x0 + 0.042333227) * ((x3 * (((x1 * -0.003466854) + ((x1 * x3) * 3.2310454e-6)) + 0.00016656294)) + (((x0 * 0.30229813) + x1) + 0.010780747)))) + x1) * 1.9971539) + -0.026376558"
37,2.3679479e-5,"(((((x0 * 0.30229813) + ((x3 * (((x1 * ((x3 + 4.119776) * 3.2310454e-6)) + (x1 * -0.003466854)) + 0.00016656294)) + (x1 + 0.010780747))) * (x0 + 0.042333227)) + (x1 + (x1 * 0.6732306))) * 1.9971539) + -0.026376558"
39,2.3602583e-5,"((((((((x3 + x4) * (((x1 * (x3 + 4.119776)) * 3.2310454e-6) + (0.00016656294 + (x1 * -0.003466854)))) + (x1 + 0.010780747)) + (x0 * 0.30229813)) * (x0 + 0.042333227)) + x1) + (x1 * 0.6732306)) * 1.9971539) + -0.026376558"
