Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.0012057951,"x1 * 3.3370233"
7,0.00073538994,"(x0 * 0.099971645) + (x1 * 3.3394291)"
9,0.00070972077,"(x1 * 3.3405838) + ((x0 * 0.10770445) + 0.005603476)"
11,0.00049754616,"(((x0 + 0.48638004) * x0) * 0.291651) + (x1 * 3.3394291)"
13,0.0003019904,"(x1 + ((((x1 + x0) + 0.43934298) * 0.10009844) * x0)) * 3.3537076"
15,0.00015348944,"((((x0 + x1) + 0.3851517) * ((x0 * 0.15473063) + -0.013099273)) + x1) * 3.4079497"
17,0.00015347288,"(((((x1 + x0) + 0.3851517) * ((x0 * 0.15473063) + -0.013099273)) + x1) * 3.407687) + 0.00026270293"
19,0.00014710253,"(((x1 + ((x0 * 0.3414858) * ((x1 * 0.84794) + (x0 + 0.28812948)))) + -0.011435736) + x1) * 1.6794415"
21,0.00014641027,"(((x1 + -0.012327525) + x1) + ((((x0 * 0.3546803) + (x1 + x0)) + 0.36930564) * (x0 * 0.26696157))) * 1.6787126"
23,0.00014615839,"(((x1 + x1) + ((((x0 * 0.33644685) + (x0 + (0.36989883 + x1))) * (x0 * 0.2648173)) + -0.2563523)) * 1.6805173) + 0.41076532"
27,0.0001446297,"(((x1 + x1) + -0.0126776155) + ((x1 + ((x1 * (x1 * -0.56060165)) + ((x0 + (x0 * 0.33861503)) + 0.37189046))) * (x0 * 0.2727899))) * 1.6805931"
29,0.00014445605,"((x0 * (((x1 * ((x0 + -0.40234518) * x1)) + ((x1 + 0.37189046) + (x0 + (x0 * 0.33861503)))) * 0.2727899)) + ((x1 + x1) + -0.0126776155)) * 1.6807793"
31,0.00014434864,"(((x0 * (0.2727899 * ((((x1 * x1) * ((x1 + x0) + -0.3851167)) + (x1 + (0.37189046 + x0))) + (x0 * 0.33861503)))) + x1) + (-0.0126776155 + x1)) * 1.6807793"
33,0.000144274,"(x1 + ((x1 + ((((x0 + -0.50123006) * (x1 * x1)) + ((x0 + ((((x0 * 0.2727899) + x0) * 0.24861526) + x1)) + 0.37189046)) * (x0 * 0.2727899))) + -0.0126776155)) * 1.6807793"
37,0.00014425666,"((x1 + -0.0126776155) + (((((x0 + ((0.24861526 * ((0.24861526 * x0) + x0)) + ((x1 * x1) * ((x0 * 1.5382926) + -0.50123006)))) + (0.37189046 + x1)) * 0.2727899) * x0) + x1)) * (1.6807793 * x6)"
