Complexity,Loss,Equation
1,0.2461024,"x1"
3,0.001205795,"3.33707 * x1"
7,0.00073518755,"(x0 * 0.10067507) + (x1 * 3.3374405)"
9,0.0007090229,"(x0 * 0.10613619) + ((x1 * 3.3387601) + 0.0053575193)"
11,0.0004973877,"(x0 * (0.14115955 + (x0 * 0.2892394))) + (x1 * 3.3366897)"
13,0.00030234453,"(x1 * 3.3526728) + (x0 * ((x1 + (x0 + 0.42416516)) * 0.3491137))"
15,0.00015364686,"((x0 + (x1 + 0.2947925)) * (x0 * 0.531844)) + ((x1 * 3.3622334) + -0.017313305)"
17,0.00014932784,"(((x0 + ((x1 * 0.8489094) + 0.2947925)) * (x0 * 0.531844)) + -0.017313305) + (x1 * 3.3622334)"
19,0.00014584862,"(x1 + ((((x0 + x1) + 0.37476063) * 0.13347873) * (x0 + -0.042865116))) * ((x1 * -0.14559358) + 3.378244)"
21,0.00014581715,"(x1 + ((((x0 + (x1 + 0.37476063)) * (x0 + -0.042865116)) + -0.00035818337) * 0.13347873)) * ((x1 * -0.1452354) + 3.378244)"
23,0.00014457596,"((((x0 + 0.717536) * -0.16477485) * x1) + 3.3873346) * (((((x0 + 0.3809284) + x1) * 0.14136189) * (x0 + -0.05512803)) + x1)"
27,0.00014450858,"(x1 + ((((x0 + x1) + 0.3809284) * (x0 + -0.05512803)) * 0.14136189)) * (((x1 * -0.1480404) * (x0 + ((x1 * x1) + 0.717536))) + 3.3873346)"
35,0.0001444485,"((x1 * x4) + (((x0 + 0.3809284) + x1) * ((x0 + -0.05512803) * 0.14136189))) * ((((x0 + (x1 * ((x1 * (x0 + 0.5108702)) * 2.2872171))) + 0.717536) * (-0.1480404 * x1)) + 3.3873346)"
