,complexity,loss,equation,score,sympy_format,lambda_format
0,1,586.9182,x0,0.0,x0,PySRFunction(X=>x0)
1,2,574.03687,tan(x0),0.0221918297709058,tan(x0),PySRFunction(X=>tan(x0))
2,3,0.03000127,x0 * 35.330795,9.859209192588843,x0*35.330795,PySRFunction(X=>x0*35.330795)
3,5,0.029926455,-0.0071168113 - (x0 * -35.33006),0.0012484211417631594,-(-35.33006)*x0 - 0.0071168113,PySRFunction(X=>-(-35.33006)*x0 - 0.0071168113)
4,7,0.029923663,(-0.008962323 - (x0 * -36.331516)) - x0,4.6649866288075454e-05,-x0 - (-36.331516)*x0 - 0.008962323,PySRFunction(X=>-x0 - (-36.331516)*x0 - 0.008962323)
5,10,0.029922416,((cosh(x0) * -0.0069364314) - (x0 * -36.33221)) - x0,1.3891191325230208e-05,-x0 - (-36.33221)*x0 + cosh(x0)*(-0.0069364314),PySRFunction(X=>-x0 - (-36.33221)*x0 + cosh(x0)*(-0.0069364314))
6,11,0.029921874,((cosh(asin(x0)) * -0.0069364314) - (x0 * -36.33221)) - x0,1.811367467181359e-05,-x0 - (-36.33221)*x0 + cosh(asin(x0))*(-0.0069364314),PySRFunction(X=>-x0 - (-36.33221)*x0 + cosh(asin(x0))*(-0.0069364314))
7,12,0.02992149,((cosh(0.106056675 + x0) * -0.0069364314) - (x0 * -36.33221)) - x0,1.283350314354942e-05,-x0 - (-36.33221)*x0 + cosh(x0 + 0.106056675)*(-0.0069364314),PySRFunction(X=>-x0 - (-36.33221)*x0 + cosh(x0 + 0.106056675)*(-0.0069364314))
8,13,0.029839443,((cos(inv(x0 + -0.8896872)) * -0.020064728) - (x0 * -36.314625)) - x0,0.0027458423900599493,-x0 - (-36.314625)*x0 + cos(inv(x0 - 0.8896872))*(-0.020064728),PySRFunction(X=>-x0 - (-36.314625)*x0 + cos(inv(x0 - 0.8896872))*(-0.020064728))
9,16,0.02971037,((cos((0.00673861 ^ x0) + (-36.314625 * x0)) * -0.025548767) - (x0 * -36.314625)) - x0,0.0014449886084163819,-x0 - (-36.314625)*x0 + cos(0.00673861**x0 - 36.314625*x0)*(-0.025548767),PySRFunction(X=>-x0 - (-36.314625)*x0 + cos(0.00673861**x0 - 36.314625*x0)*(-0.025548767))
10,20,0.029669985,(((cos((0.00673861 ^ x0) + (x0 * -36.314625)) * -0.025548767) - (x0 * -0.025548767)) - (x0 * -36.314625)) - x0,0.0003400535937065271,-x0 - (-0.025548767)*x0 - (-36.314625)*x0 + cos(0.00673861**x0 + x0*(-36.314625))*(-0.025548767),PySRFunction(X=>-x0 - (-0.025548767)*x0 - (-36.314625)*x0 + cos(0.00673861**x0 + x0*(-36.314625))*(-0.025548767))
