,complexity,loss,equation,score,sympy_format,lambda_format
0,1,319.04855,0.25010425,0.0,0.250104250000000,PySRFunction(X=>0.250104250000000)
1,2,289.86395,acos(x0),0.09593161059196867,acos(x0),PySRFunction(X=>acos(x0))
2,3,6.056839,x0 * -25.074614,3.8682236281399076,x0*(-25.074614),PySRFunction(X=>x0*(-25.074614))
3,5,6.041305,(x0 * -25.080145) - -0.13774155,0.001283999309045289,x0*(-25.080145) - 1*(-0.13774155),PySRFunction(X=>x0*(-25.080145) - 1*(-0.13774155))
4,6,6.0411515,neg((x0 * 25.080145) - 0.12550062),2.5408740351584222e-05,-1*x0*25.080145 + 0.12550062,PySRFunction(X=>-1*x0*25.080145 + 0.12550062)
5,9,6.0212016,exp(abs(x0) * -12.432993) + (x0 * -25.004444),0.0011025995798560413,x0*(-25.004444) + exp(Abs(x0)*(-12.432993)),PySRFunction(X=>x0*(-25.004444) + exp(Abs(x0)*(-12.432993)))
6,10,6.021005,exp(abs(tanh(x0)) * -12.432993) + (x0 * -25.004444),3.265182313321695e-05,x0*(-25.004444) + exp(Abs(tanh(x0))*(-12.432993)),PySRFunction(X=>x0*(-25.004444) + exp(Abs(tanh(x0))*(-12.432993)))
7,11,6.0158396,exp(abs(x0) * -12.432993) + ((x0 - 0.0025370836) * -25.004444),0.0008582648507528863,(x0 - 1*0.0025370836)*(-25.004444) + exp(Abs(x0)*(-12.432993)),PySRFunction(X=>(x0 - 1*0.0025370836)*(-25.004444) + exp(Abs(x0)*(-12.432993)))
8,14,6.006404,neg(neg((x0 * -25.129433) + exp(-12.283496 / abs(inv(x0) + 4.6956606)))),0.0005232302306360783,x0*(-25.129433) + exp(-12.283496/Abs(inv(x0) + 4.6956606)),PySRFunction(X=>x0*(-25.129433) + exp(-12.283496/Abs(inv(x0) + 4.6956606)))
9,16,6.005609,neg(neg((x0 * -25.177656) + exp(-20.68364 / abs((inv(x0) + 9.264206) + x0)))),6.618374465300994e-05,x0*(-25.177656) + exp(-20.68364/Abs(x0 + inv(x0) + 9.264206)),PySRFunction(X=>x0*(-25.177656) + exp(-20.68364/Abs(x0 + inv(x0) + 9.264206)))
10,17,5.996561,neg(neg((x0 * -25.129433) + exp(-12.283496 / abs(tan(inv(cos(x0))) + inv(x0))))),0.0015077276382562226,x0*(-25.129433) + exp(-12.283496/Abs(inv(x0) + tan(inv(cos(x0))))),PySRFunction(X=>x0*(-25.129433) + exp(-12.283496/Abs(inv(x0) + tan(inv(cos(x0))))))
11,18,5.9951816,neg(neg((x0 * -25.129433) + exp(-12.283496 / abs(tan(inv(cos(x0))) + abs(inv(x0)))))),0.00023005830796992728,x0*(-25.129433) + exp(-12.283496/Abs(tan(inv(cos(x0))) + Abs(inv(x0)))),PySRFunction(X=>x0*(-25.129433) + exp(-12.283496/Abs(tan(inv(cos(x0))) + Abs(inv(x0)))))
12,21,5.9909563,neg(neg((-25.129433 * x0) + exp(-12.283496 / abs((tan(inv(cos(x0))) + inv(tanh(abs(x0)))) + x0)))),0.00023501037672430793,-25.129433*x0 + exp(-12.283496/Abs(x0 + inv(tanh(Abs(x0))) + tan(inv(cos(x0))))),PySRFunction(X=>-25.129433*x0 + exp(-12.283496/Abs(x0 + inv(tanh(Abs(x0))) + tan(inv(cos(x0))))))
13,23,5.988442,neg(neg((x0 * -25.129433) + exp(-12.283496 / abs(tan(inv(cos(x0))) + abs(inv(tan(cos(x0))) + inv(x0)))))),0.0002098853359704656,x0*(-25.129433) + exp(-12.283496/Abs(tan(inv(cos(x0))) + Abs(inv(x0) + inv(tan(cos(x0)))))),PySRFunction(X=>x0*(-25.129433) + exp(-12.283496/Abs(tan(inv(cos(x0))) + Abs(inv(x0) + inv(tan(cos(x0)))))))
14,24,5.9783263,neg(neg((x0 * -25.129433) + exp(-12.283496 / abs((tan(inv(cos(x0))) + inv(tanh(abs(x0)))) + tan(inv(asin(x0))))))),0.0016906322836421014,x0*(-25.129433) + exp(-12.283496/Abs(inv(tanh(Abs(x0))) + tan(inv(cos(x0))) + tan(inv(asin(x0))))),PySRFunction(X=>x0*(-25.129433) + exp(-12.283496/Abs(inv(tanh(Abs(x0))) + tan(inv(cos(x0))) + tan(inv(asin(x0))))))
