,complexity,loss,equation,score,sympy_format,lambda_format
0,1,35.039024,x0,0.0,x0,PySRFunction(X=>x0)
1,2,32.272533,tan(x0),0.08224591485836867,tan(x0),PySRFunction(X=>tan(x0))
2,3,1.3825095,x0 * 9.218345,3.1503161709404703,x0*9.218345,PySRFunction(X=>x0*9.218345)
3,4,0.5474469,tanh(x0) * 11.445,0.9263901342964732,tanh(x0)*11.445,PySRFunction(X=>tanh(x0)*11.445)
4,5,0.24693082,tanh(tanh(x0)) * 13.1379,0.7961572542594938,tanh(tanh(x0))*13.1379,PySRFunction(X=>tanh(tanh(x0))*13.1379)
5,6,0.0102390135,sin(x0 * 1.8395077) * 7.9154973,3.1829029393463726,sin(x0*1.8395077)*7.9154973,PySRFunction(X=>sin(x0*1.8395077)*7.9154973)
6,8,0.0004164705,(sin(x0 * 1.8395077) * 7.9154973) + -0.09962118,1.6010724626474806,sin(x0*1.8395077)*7.9154973 - 0.09962118,PySRFunction(X=>sin(x0*1.8395077)*7.9154973 - 0.09962118)
7,12,5.464319e-05,((x0 * -0.13548765) + 7.914925) * sin((x0 * 1.8393434) + -0.008080689),0.5077477587677821,(7.914925 + x0*(-0.13548765))*sin(x0*1.8393434 - 0.008080689),PySRFunction(X=>(7.914925 + x0*(-0.13548765))*sin(x0*1.8393434 - 0.008080689))
8,14,4.729017e-05,(sin((x0 * 1.7666582) + -0.007591291) * ((x0 * -0.13009493) + 8.792079)) - x0,0.0722610721031611,-x0 + (8.792079 + x0*(-0.13009493))*sin(x0*1.7666582 - 0.007591291),PySRFunction(X=>-x0 + (8.792079 + x0*(-0.13009493))*sin(x0*1.7666582 - 0.007591291))
9,21,4.6210047e-05,((((asinh(x0 * ((x0 - -0.13676646) * -0.904453)) + 9.9953985) * x0) - 0.042877283) * 1.453365) * cos(x0 * 0.9630272),0.0033007442160207516,(x0*(asinh(x0*(x0 - 1*(-0.13676646))*(-0.904453)) + 9.9953985) - 1*0.042877283)*1.453365*cos(x0*0.9630272),PySRFunction(X=>(x0*(asinh(x0*(x0 - 1*(-0.13676646))*(-0.904453)) + 9.9953985) - 1*0.042877283)*1.453365*cos(x0*0.9630272))
10,23,4.015336e-05,((cos(x0 * 0.95768523) * (x0 - 0.0042364667)) * 1.4366217) * (asinh((x0 - -0.4420412) * ((x0 - 0.31332862) * -0.96890455)) + 9.982354),0.07024555945470487,cos(x0*0.95768523)*(x0 - 1*0.0042364667)*1.4366217*(asinh((x0 - 1*(-0.4420412))*(x0 - 1*0.31332862)*(-0.96890455)) + 9.982354),PySRFunction(X=>cos(x0*0.95768523)*(x0 - 1*0.0042364667)*1.4366217*(asinh((x0 - 1*(-0.4420412))*(x0 - 1*0.31332862)*(-0.96890455)) + 9.982354))
11,24,2.4803567e-05,((abs(cos(x0 * 0.93099004)) * (asinh(((x0 - 0.67689604) * (x0 - -0.7588353)) * -1.0358808) + 7.761872)) * (x0 - 0.0046251654)) * 1.7555534,0.4817186495946524,Abs(cos(x0*0.93099004))*(asinh((x0 - 1*0.67689604)*(x0 - 1*(-0.7588353))*(-1.0358808)) + 7.761872)*(x0 - 1*0.0046251654)*1.7555534,PySRFunction(X=>Abs(cos(x0*0.93099004))*(asinh((x0 - 1*0.67689604)*(x0 - 1*(-0.7588353))*(-1.0358808)) + 7.761872)*(x0 - 1*0.0046251654)*1.7555534)
12,25,2.1175118e-05,(((cos(0.93167216 * x0) * (asinh(((x0 - 0.6742189) * (x0 - -0.77054673)) * -1.0241088) + 7.769311)) * (x0 - 0.006811244)) * 1.7526209) - -0.03254719,0.15816066034166212,cos(0.93167216*x0)*(asinh((x0 - 1*0.6742189)*(x0 - 1*(-0.77054673))*(-1.0241088)) + 7.769311)*(x0 - 1*0.006811244)*1.7526209 - 1*(-0.03254719),PySRFunction(X=>cos(0.93167216*x0)*(asinh((x0 - 1*0.6742189)*(x0 - 1*(-0.77054673))*(-1.0241088)) + 7.769311)*(x0 - 1*0.006811244)*1.7526209 - 1*(-0.03254719))
13,26,2.1175067e-05,(abs(cos(0.93167216 * x0)) * ((asinh(((x0 - 0.6742189) * (x0 - -0.77054673)) * -1.0241088) + 7.769311) * ((x0 - 0.006811244) * 1.7526209))) - -0.03254719,2.4084900691134437e-06,Abs(cos(0.93167216*x0))*(asinh((x0 - 1*0.6742189)*(x0 - 1*(-0.77054673))*(-1.0241088)) + 7.769311)*(x0 - 1*0.006811244)*1.7526209 - 1*(-0.03254719),PySRFunction(X=>Abs(cos(0.93167216*x0))*(asinh((x0 - 1*0.6742189)*(x0 - 1*(-0.77054673))*(-1.0241088)) + 7.769311)*(x0 - 1*0.006811244)*1.7526209 - 1*(-0.03254719))
