,complexity,loss,equation,score,sympy_format,lambda_format
0,1,219.16922,0.099794686,0.0,0.0997946860000000,PySRFunction(X=>0.0997946860000000)
1,2,195.59244,acos(x0),0.11381101895903488,acos(x0),PySRFunction(X=>acos(x0))
2,3,0.01097261,x0 * -20.979452,9.788386217936505,x0*(-20.979452),PySRFunction(X=>x0*(-20.979452))
3,5,0.01090858,(x0 * -20.977348) + -0.0081891585,0.002926266019515417,x0*(-20.977348) - 0.0081891585,PySRFunction(X=>x0*(-20.977348) - 0.0081891585)
4,7,0.01086385,((x0 * -0.01734113) + -20.981974) * x0,0.0020544359509124276,x0*(x0*(-0.01734113) - 20.981974),PySRFunction(X=>x0*(x0*(-0.01734113) - 20.981974))
5,8,0.010858035,((-0.013712517 / sign(x0)) + -20.977348) * x0,0.0005354047440090203,x0*(-20.977348 - 0.013712517/sign(x0)),PySRFunction(X=>x0*(-20.977348 - 0.013712517/sign(x0)))
6,10,0.010847415,((-0.013712517 / sign(0.37108642 + x0)) + -20.977348) * x0,0.0004892780775083046,x0*(-20.977348 - 0.013712517/sign(x0 + 0.37108642)),PySRFunction(X=>x0*(-20.977348 - 0.013712517/sign(x0 + 0.37108642)))
7,11,0.010846392,((-0.013712517 / sign(tanh(x0) + 0.37108642)) + -20.977348) * x0,9.431263039794547e-05,x0*(-20.977348 - 0.013712517/sign(tanh(x0) + 0.37108642)),PySRFunction(X=>x0*(-20.977348 - 0.013712517/sign(tanh(x0) + 0.37108642)))
8,12,0.010844641,((-0.03997334 / cosh((x0 + -0.5923238) / 0.4708267)) + -20.959654) * x0,0.0001614492038071642,x0*(-20.959654 - 0.03997334/cosh((x0 - 0.5923238)/0.4708267)),PySRFunction(X=>x0*(-20.959654 - 0.03997334/cosh((x0 - 0.5923238)/0.4708267)))
9,14,0.010842824,((-0.013712517 / (sign(x0 + (x0 + -0.47516602)) / 1.1127965)) + -20.977348) * x0,8.378111523186298e-05,x0*(-20.977348 - 0.013712517*1.1127965/sign(x0 + x0 - 0.47516602)),PySRFunction(X=>x0*(-20.977348 - 0.013712517*1.1127965/sign(x0 + x0 - 0.47516602)))
10,16,0.01082671,x0 + ((x0 * -21.98891) - (((x0 + -0.58335185) * sign(x0 - -0.3121827)) * 0.0136774825)),0.0007436248038479793,x0*(-21.98891) + x0 - 0.0136774825*(x0 - 0.58335185)*sign(x0 - 1*(-0.3121827)),PySRFunction(X=>x0*(-21.98891) + x0 - 0.0136774825*(x0 - 0.58335185)*sign(x0 - 1*(-0.3121827)))
11,17,0.010815754,x0 + ((x0 * -21.98891) - (((x0 + -0.58335185) * sign(atan(x0) - -0.3121827)) * 0.0136774825)),0.0010124541212942965,x0*(-21.98891) + x0 - 0.0136774825*(x0 - 0.58335185)*sign(atan(x0) - 1*(-0.3121827)),PySRFunction(X=>x0*(-21.98891) + x0 - 0.0136774825*(x0 - 0.58335185)*sign(atan(x0) - 1*(-0.3121827)))
12,20,0.010801067,(-21.98891 * x0) + (x0 - (((x0 + -0.58335185) * 0.0136774825) / sign(x0 + (0.0136774825 / (x0 - -0.29515484))))),0.0004529498042266399,-21.98891*x0 + x0 - 0.0136774825*(x0 - 0.58335185)/sign(x0 + 0.0136774825/(x0 - 1*(-0.29515484))),PySRFunction(X=>-21.98891*x0 + x0 - 0.0136774825*(x0 - 0.58335185)/sign(x0 + 0.0136774825/(x0 - 1*(-0.29515484))))
