,complexity,loss,equation,score,sympy_format,lambda_format
0,1,884.1368,x0,0.0,x0,PySRFunction(X=>x0)
1,2,868.3085,tan(x0),0.01806473553410978,tan(x0),PySRFunction(X=>tan(x0))
2,3,0.20250897,x0 * 43.13166,8.363518163382333,x0*43.13166,PySRFunction(X=>x0*43.13166)
3,5,0.20228052,(x0 / 0.02318515) + 0.015248537,0.0005643674796363869,x0/0.02318515 + 0.015248537,PySRFunction(X=>x0/0.02318515 + 0.015248537)
4,9,0.20228049,(cos(-0.6988211) + (x0 / atan(0.023189306))) + -0.75035256,3.707722598553399e-08,x0/atan(0.023189306) - 0.75035256 + cos(-0.6988211),PySRFunction(X=>x0/atan(0.023189306) - 0.75035256 + cos(-0.6988211))
5,10,0.20198627,(x0 / 0.02318515) + (asinh(x0 * x0) ^ 20.42552),0.001455573799571741,x0/0.02318515 + asinh(x0*x0)**20.42552,PySRFunction(X=>x0/0.02318515 + asinh(x0*x0)**20.42552)
6,11,0.20195344,(x0 / 0.02318515) + ((x0 * asinh(sign(x0))) ^ 20.42552),0.000162549010456355,x0/0.02318515 + (x0*asinh(sign(x0)))**20.42552,PySRFunction(X=>x0/0.02318515 + (x0*asinh(sign(x0)))**20.42552)
7,14,0.20193602,(((x0 * x0) ^ 43.277756) / sinh(x0 + 3.4900098)) + (x0 * 43.141598),2.875374202768489e-05,x0*43.141598 + (x0*x0)**43.277756/sinh(x0 + 3.4900098),PySRFunction(X=>x0*43.141598 + (x0*x0)**43.277756/sinh(x0 + 3.4900098))
8,15,0.20191392,(((x0 * sign(x0)) ^ 43.277756) / sinh(x0 + 3.4900098)) + (x0 * 43.141598),0.00010944659306895231,x0*43.141598 + (x0*sign(x0))**43.277756/sinh(x0 + 3.4900098),PySRFunction(X=>x0*43.141598 + (x0*sign(x0))**43.277756/sinh(x0 + 3.4900098))
9,16,0.20170867,x0 * ((((x0 * x0) ^ 1.2450633) / sinh(abs(sinh(sinh(sinh(x0)))))) + 42.818),0.001017039297488309,x0*((x0*x0)**1.2450633/sinh(Abs(sinh(sinh(sinh(x0))))) + 42.818),PySRFunction(X=>x0*((x0*x0)**1.2450633/sinh(Abs(sinh(sinh(sinh(x0))))) + 42.818))
10,17,0.20145626,x0 * (asin(((x0 * x0) ^ 1.4381521) / sinh(sinh(abs(sinh(sinh(x0)))))) + 42.818),0.0012521428040810916,x0*(asin((x0*x0)**1.4381521/sinh(sinh(Abs(sinh(sinh(x0)))))) + 42.818),PySRFunction(X=>x0*(asin((x0*x0)**1.4381521/sinh(sinh(Abs(sinh(sinh(x0)))))) + 42.818))
