ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,bad_equation
0,50.42416089759644 + 97.19502920017621*x0 + 45.65712934840889*x0**2,45.65713*x0**2 + 97.19503*x0 + 50.42416,2.52E-11,9,7.03E-10,-1.78E-06,8.23E-07,1.43E-06,0
1,-70.46395159508192 + 28.02967104895663*x0 + -52.25691621097921*x0**2,-52.256916*x0**2 + 28.02967*x0 - 70.46395,2.11E-11,11,3.46E-09,-2.26E-06,-3.74E-06,-4.04E-07,0
2,5.52944334276755 + 41.174361312349674*x0 + -91.99694156369051*x0**2,-91.99694*x0**2 + 41.174362*x0 + 5.529443,1.56E-11,9,7.23E-10,-6.20E-06,1.67E-06,-1.70E-06,0
3,50.477530184135645 + 57.58165182550101*x0 + 87.45288882788563*x0**2,87.452896*x0**2 + 57.581654*x0 + 50.477528,3.18E-11,9,1.06E-08,-4.33E-06,3.78E-06,8.20E-06,0
4,-48.44057294049398 + -34.851385079258776*x0 + 71.87063579264188*x0**2,71.870636*x0**2 - 34.851387*x0 - 48.440573,8.32E-12,11,1.85E-09,1.23E-07,5.51E-06,2.89E-07,0
5,-57.66653999826754 + -38.53399765884045*x0 + -91.53585000101982*x0**2,-91.53585*x0**2 - 38.533998724011*x0 - 57.66654,3.08E-11,9,5.65E-10,3.00E-09,2.76E-06,-1.11E-09,0
6,72.23369356907486 + 48.95559071923998*x0 + -47.07847442687765*x0**2,-47.078472*x0**2 + 48.9555880936953*x0 + 72.2336970427056,9.34E-12,11,2.62E-08,4.81E-06,-5.36E-06,-5.15E-06,0
7,-90.46719723237086 + -57.78171976696731*x0 + -67.43406273682835*x0**2,-67.43407*x0**2 - 57.78172*x0 - 90.4671975930672,2.18E-11,13,2.24E-08,3.99E-07,4.03E-07,1.08E-05,0
8,99.50215947304227 + 43.94182680827575*x0 + 24.838001538238345*x0**2,24.838001*x0**2 + 43.941826*x0 + 99.50216,2.01E-11,9,4.29E-10,5.30E-07,-1.84E-06,-2.17E-06,0
9,-21.129800569757734 + -28.267584063861634*x0 + 71.49120634415846*x0**2,71.4912*x0**2 - 28.267584*x0 - 21.129798651936,6.57E-12,13,6.57E-09,-9.08E-06,-2.26E-07,-8.87E-06,0
