ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-78.15242191717375 + 2.957022297750285*x0 + 18.71270856824883*x0**2,18.660423*x0**2 + 2.9601458194629*x0 - 78.135184431522,0.079888634,9,0.4244350815077014,-0.0220562398821322,0.105630644550489,-0.279412080074520
1,95.9612010523123 + 62.139166317153894*x0 + -31.233713157307292*x0**2,-31.13643*x0**2 + 62.143684292859*x0 + 95.985634,0.4471296,9,6.497350235623523,0.0254612774952457,0.00727073756034398,-0.311468434179853
2,-86.95870603207665 + -84.12039454301103*x0 + 55.422047726433874*x0**2,55.406162*x0**2 - 84.1142144849816*x0 - 86.9447656651,0.07075777,9,0.08689327957118333,-0.0160310193340652,-0.00734668217261987,-0.0286631892641082
3,4.112061601561635 + -27.0579918467229*x0 + 39.06061956321699*x0**2,38.9980815673735*x0**2 - 27.0939733261702*x0 + 4.1472864,0.12176228,9,1.1422251291284684,0.856621370287531,0.132979119999341,-0.160104976682003
4,31.299846121142792 + -63.38543346844483*x0 + -27.37288489158196*x0**2,-27.367685*x0**2 - 63.364197*x0 + 31.291885,0.118646055,9,0.25750843158711817,-0.0254350168750958,-0.0335037046885628,-0.0189965054927721
5,22.463826814438505 + -92.22965980023568*x0 + -17.26533197623297*x0**2,-17.22764*x0**2 - 92.2090253924844*x0 + 22.4362923193773,0.24092337,9,0.4649584833945834,-0.122572593212418,-0.0223728546716608,-0.218310173733447
6,9.267053861802623 + 85.71905918449343*x0 + -23.8060609208068*x0**2,-23.857582*x0**2 + 85.69659*x0 + 9.279737,0.12969194,9,0.7435765161987572,0.136862679191452,-0.0262125887838675,0.216420009024553
7,87.81981985532974 + -32.18190207254426*x0 + 30.977498213192746*x0**2,31.006891*x0**2 - 32.189710870977*x0 + 87.8122191684257,0.55298984,9,0.18915306509251753,-0.00865486505957570,0.0242645646460903,0.0948843144303235
8,45.34127667174158 + -35.492407712872875*x0 + 61.16710847571383*x0**2,61.084785*x0**2 - 35.465794*x0 + 45.413628,0.5115806,9,2.182258502422042,0.159570558152177,-0.0749842419487938,-0.134587816500303
9,-3.414750129304281 + 82.11696556499183*x0 + -32.39787451458558*x0**2,-32.408733*x0**2 + 82.1053666338822*x0 - 3.418036,0.05146898,9,0.15577704673677903,0.0962258019267876,-0.0141248900636320,0.0335160425710286
