ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,bad_equation
0,10.388192451252309 + 44.036366428950004*x0 + 4.378541627951037*x0**2,44.21559*x0 + 12.6026024827698,38.6996,5,2413.339157166823,21.3166057705308,0.406989916707051,-100.000000000000,1
1,-50.494617428002655 + 3.2494963968708817*x0 + -91.44428167374774*x0**2,-91.272514*x0**2 - 50.585934,30.528742,7,5263.704097594162,0.180844170425787,-100.000000000000,-0.187838616700567,1
2,84.51518877939205 + 72.41812941484585*x0 + 31.151774797794815*x0**2,86.4790302874782*2.1688309**x0,333.5328,5,3528.238030112771,-100.000000000000,-100.000000000000,-100.000000000000,1
3,56.46676810077568 + 92.48078503064463*x0 + -73.63219080960697*x0**2,-74.8792086046394*x0**2 + 92.3410475391622*x0 + 56.7417,76.47683,9,322.4062713604223,0.486891508884752,-0.151098946052542,1.69357692786422,0
4,3.775363227241499 + -74.81633778854581*x0 + -83.19338983408679*x0**2,-83.39864*x0**2 - 74.71592*x0 + 3.8967729,4.1121306,9,10.710206526111246,3.21584084631799,-0.134219064330072,0.246714512201685,0
5,-20.26460384256707 + 62.066944858625135*x0 + -94.51235283290164*x0**2,-94.41638*x0**2 + 62.112026*x0 - 20.344923,0.9891487,9,3.2176204012293392,0.396351974392988,0.0726330923449676,-0.101545279558660,0
6,46.61808820339422 + 98.64502563813178*x0 + -8.580706858815333*x0**2,98.7278*x0 + 42.906586,197.42955,5,9506.162991954912,-7.96150667354908,0.0839113389983456,-100.000000000000,1
7,64.38050356881254 + -55.8627616960101*x0 + -9.466593118978594*x0**2,59.956398 - 55.78775*x0,136.81535,5,11270.49697698961,-6.87180951308322,-0.134278531409326,-100.000000000000,1
8,-35.28667174691364 + 16.613066263824706*x0 + -60.72771173935438*x0**2,-60.6757200099484*x0**2 + 16.4902560557857*x0 - 35.3375,12.012017,9,8.464085958101029,0.144043772251782,-0.739238657624481,-0.0856145043454647,0
9,73.21737014208043 + -88.51672732553241*x0 + 78.19515439677679*x0**2,86.50714*0.37216938**x0,738.07983,5,177778.10560077114,-100.000000000000,-100.000000000000,-100.000000000000,1
