,complexity,loss,equation,score,sympy_format,lambda_format
0,1,6012.888,55.94642,0.0,55.9464200000000,PySRFunction(X=>55.9464200000000)
1,3,1358.9069,249.53656 ^ x0,0.7436122695032752,249.53656**x0,PySRFunction(X=>249.53656**x0)
2,5,218.69281,(x0 + 1.7126815) ^ 5.373446,0.9133839272467773,(x0 + 1.7126815)**5.373446,PySRFunction(X=>(x0 + 1.7126815)**5.373446)
3,7,117.5358,(x0 * (-0.8972547 - x0)) * -108.6169,0.31046254151341834,x0*(-x0 - 0.8972547)*(-108.6169),PySRFunction(X=>x0*(-x0 - 0.8972547)*(-108.6169))
4,9,103.03421,((x0 * (-0.9736774 - x0)) * -99.79206) - -6.7314124,0.06584094951122606,x0*(-x0 - 0.9736774)*(-99.79206) - 1*(-6.7314124),PySRFunction(X=>x0*(-x0 - 0.9736774)*(-99.79206) - 1*(-6.7314124))
5,13,102.99428,((-0.9736774 - x0) * (x0 * -99.79206)) - ((-0.007190824 / x0) + -6.7052903),9.690407501394867e-05,(-x0 - 0.9736774)*x0*(-99.79206) - (-6.7052903 - 0.007190824/x0),PySRFunction(X=>(-x0 - 0.9736774)*x0*(-99.79206) - (-6.7052903 - 0.007190824/x0))
6,15,102.990265,((-0.9736774 - x0) * (x0 * -99.79206)) - ((-0.007190824 / (x0 * 0.7679813)) + -6.7052903),1.9491753619245845e-05,(-x0 - 0.9736774)*x0*(-99.79206) - (-6.7052903 - 0.007190824*1.30211503847815/x0),PySRFunction(X=>(-x0 - 0.9736774)*x0*(-99.79206) - (-6.7052903 - 0.007190824*1.30211503847815/x0))
7,17,102.74343,(((-0.9736774 - x0) * x0) * -99.79206) - ((x0 / ((x0 + 0.14927146) * -6.7052903)) + -6.7052903),0.001199779736796557,(-x0 - 0.9736774)*x0*(-99.79206) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903),PySRFunction(X=>(-x0 - 0.9736774)*x0*(-99.79206) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903))
8,19,102.7375,(((-0.9736774 - x0) * (x0 * -99.79206)) - ((x0 / ((x0 + 0.14927146) * -6.7052903)) + -6.7052903)) + -0.039896812,2.8859125767314148e-05,(-x0 - 0.9736774)*x0*(-99.79206) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903) - 0.039896812,PySRFunction(X=>(-x0 - 0.9736774)*x0*(-99.79206) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903) - 0.039896812)
9,27,102.700836,((x0 + -0.039896812) / (x0 + (x0 * -7.567948))) + ((((-0.9736774 - x0) * x0) * -99.79206) - ((x0 / ((x0 + 0.14927146) * -6.7052903)) + -6.7052903)),4.4616794877638395e-05,(-x0 - 0.9736774)*x0*(-99.79206) + (x0 - 0.039896812)/(x0*(-7.567948) + x0) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903),PySRFunction(X=>(-x0 - 0.9736774)*x0*(-99.79206) + (x0 - 0.039896812)/(x0*(-7.567948) + x0) - (x0/(((x0 + 0.14927146)*(-6.7052903))) - 6.7052903))
