,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1729.8157,127.479385,0.0,127.479385000000,PySRFunction(X=>127.479385000000)
1,3,1693.8246,127.479385 - x0,0.010512911043234945,127.479385 - x0,PySRFunction(X=>127.479385 - x0)
2,4,900.0405,cosh(x0) * 101.98666,0.6323045656266919,cosh(x0)*101.98666,PySRFunction(X=>cosh(x0)*101.98666)
3,5,800.31104,cosh(abs(x0) - -4.853148),0.11743931020704836,cosh(Abs(x0) - 1*(-4.853148)),PySRFunction(X=>cosh(Abs(x0) - 1*(-4.853148)))
4,6,242.2248,cosh(x0 - 0.3356047) * 96.78547,1.1951342315126705,cosh(x0 - 1*0.3356047)*96.78547,PySRFunction(X=>cosh(x0 - 1*0.3356047)*96.78547)
5,7,136.57068,cosh(-4.8248577 - abs(x0 + -0.20707378)),0.573023937782604,cosh(-Abs(x0 - 0.20707378) - 4.8248577),PySRFunction(X=>cosh(-Abs(x0 - 0.20707378) - 4.8248577))
6,8,111.65777,(cos(x0 - -2.9275925) * 191.6076) + 270.8243,0.20140371446830646,cos(x0 - 1*(-2.9275925))*191.6076 + 270.8243,PySRFunction(X=>cos(x0 - 1*(-2.9275925))*191.6076 + 270.8243)
7,10,111.37886,(cos(x0 - -2.9333944) * 193.18225) + (271.95468 - x0),0.001250512731405605,-x0 + cos(x0 - 1*(-2.9333944))*193.18225 + 271.95468,PySRFunction(X=>-x0 + cos(x0 - 1*(-2.9333944))*193.18225 + 271.95468)
8,11,111.024025,(cos(-2.919357 - x0) * (192.48692 - sign(x0))) + 270.69327,0.003190923544694628,(192.48692 - sign(x0))*cos(-x0 - 2.919357) + 270.69327,PySRFunction(X=>(192.48692 - sign(x0))*cos(-x0 - 2.919357) + 270.69327)
9,12,110.822044,(cos(-2.919357 - x0) * (192.48692 - asin(sign(x0)))) + 270.69327,0.0018209117404676776,(192.48692 - asin(sign(x0)))*cos(-x0 - 2.919357) + 270.69327,PySRFunction(X=>(192.48692 - asin(sign(x0)))*cos(-x0 - 2.919357) + 270.69327)
10,14,110.66325,(cos(x0 - -2.9333944) * 193.18225) + (272.95468 - sign(asin(x0) - -1.0)),0.0007169506577157846,cos(x0 - 1*(-2.9333944))*193.18225 - sign(asin(x0) - 1*(-1.0)) + 272.95468,PySRFunction(X=>cos(x0 - 1*(-2.9333944))*193.18225 - sign(asin(x0) - 1*(-1.0)) + 272.95468)
11,17,110.17548,((cos(x0 - -2.919357) * 192.26233) + sign(x0)) + (271.69327 - sign(asin(x0) - -1.0)),0.0014724796180016666,cos(x0 - 1*(-2.919357))*192.26233 + sign(x0) - sign(asin(x0) - 1*(-1.0)) + 271.69327,PySRFunction(X=>cos(x0 - 1*(-2.919357))*192.26233 + sign(x0) - sign(asin(x0) - 1*(-1.0)) + 271.69327)
12,18,110.069725,((cos(x0 - -2.919357) * 192.26233) + sinh(sign(x0))) + (271.69327 - sign(asin(x0) - -1.0)),0.0009603388017251774,cos(x0 - 1*(-2.919357))*192.26233 + sinh(sign(x0)) - sign(asin(x0) - 1*(-1.0)) + 271.69327,PySRFunction(X=>cos(x0 - 1*(-2.919357))*192.26233 + sinh(sign(x0)) - sign(asin(x0) - 1*(-1.0)) + 271.69327)
13,22,109.86367,((cos(x0 - -2.919357) * 192.26233) + (sign(x0) + (272.04678 - sinh(sign(asin(x0) - -1.0) - x0)))) - x0,0.00046844877807238457,-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-x0 + sign(asin(x0) - 1*(-1.0))) + sign(x0) + 272.04678,PySRFunction(X=>-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-x0 + sign(asin(x0) - 1*(-1.0))) + sign(x0) + 272.04678)
14,23,109.83272,(cos(x0 - -2.919357) * 192.26233) + ((sign(x0) + (272.04678 - sinh(sign(asin(x0) - -1.0) - tan(x0)))) - x0),0.0002817524694397324,-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(x0) + sign(asin(x0) - 1*(-1.0))) + sign(x0) + 272.04678,PySRFunction(X=>-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(x0) + sign(asin(x0) - 1*(-1.0))) + sign(x0) + 272.04678)
15,26,109.80278,abs((cos(x0 - -2.919357) * 192.26233) + (((sign(0.20476511 + x0) + 272.04678) - sinh(sign(asin(x0) - -1.0) - tan(x0))) - x0)),9.087784134911564e-05,Abs(-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(x0) + sign(asin(x0) - 1*(-1.0))) + sign(x0 + 0.20476511) + 272.04678),PySRFunction(X=>Abs(-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(x0) + sign(asin(x0) - 1*(-1.0))) + sign(x0 + 0.20476511) + 272.04678))
16,28,109.7925,abs((cos(x0 - -2.919357) * 192.26233) + (((sign(tan(x0) + 0.20476511) + 272.04678) - sinh(sign(asin(x0) - -1.0) - tan(asinh(x0)))) - x0)),4.681339238032393e-05,Abs(-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(asinh(x0)) + sign(asin(x0) - 1*(-1.0))) + sign(tan(x0) + 0.20476511) + 272.04678),PySRFunction(X=>Abs(-x0 + cos(x0 - 1*(-2.919357))*192.26233 - sinh(-tan(asinh(x0)) + sign(asin(x0) - 1*(-1.0))) + sign(tan(x0) + 0.20476511) + 272.04678))
