ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-40.31802931819344 + -54.74746123792813*x0 + -5.8646290129187975*x0**2,-5.8646274*x0**2 - 54.747463*x0 - 40.318032,6.0981957e-12,11,5.378242326522735e-09,6.65163106639462e-6,3.21854536308064e-6,-2.75024864161103e-5
1,-98.50590573606041 + -1.5180409281857692*x0 + -63.54601311955188*x0**2,-63.546013*x0**2 - 1.5180408*x0 - 98.505905,2.3690518e-11,9,6.418542819974233e-10,-7.47224655107593e-7,-8.44415764623958e-6,-1.88134348422315e-7
2,39.539341297438966 + -19.02050192337596*x0 + -91.85486881342419*x0**2,-91.85487*x0**2 - 19.0205018706016*x0 + 39.53934,1.0125322e-11,15,3.744046556144488e-09,-3.28138739999925e-6,-2.77460400855663e-7,1.29179414298866e-6
3,20.216429054074368 + -70.6912445235098*x0 + -14.833969638421564*x0**2,-14.833969*x0**2 - 70.691246*x0 + 20.216429,5.9606872e-12,16,1.2136087359172554e-09,-2.67477338225036e-7,2.08864651036143e-6,-4.30378098421611e-6
4,-51.24819540805443 + -83.09306763763186*x0 + 63.24957548183633*x0**2,63.249577*x0**2 - 83.0930687575*x0 - 51.248196,1.5117844e-11,14,9.475849304256888e-10,1.15505642092856e-6,1.34772752616009e-6,2.40027487877346e-6
5,-25.07995842819335 + 33.233001795555566*x0 + 86.64711733856385*x0**2,86.64712*x0**2 + 33.233*x0 - 25.079958,1.1049063e-11,11,5.614356457719728e-09,-1.70731283486074e-6,-5.40292923330657e-6,3.07158072611328e-6
6,32.431940907138596 + -79.23021148428646*x0 + 73.69870342183796*x0**2,73.6987*x0**2 - 79.23021*x0 + 32.431942,2.8616342e-11,9,2.960973100796027e-09,3.36970706218448e-6,-1.87338444450920e-6,-4.64300971492482e-6
7,25.22432554400575 + -76.35418839993324*x0 + 87.25179149092054*x0**2,87.251785*x0**2 - 76.35419*x0 + 25.224329,3.0610865e-11,9,6.547179112957012e-09,1.37010372937859e-5,2.09558480106083e-6,-7.43929772638455e-6
8,38.09574194746153 + -2.687512337801138*x0 + -67.50705585660194*x0**2,-2.68751225822745*x0 + 33.75353*cos(2*asin(x0)) + 4.342214,5.2809727e-12,14,2.147594904927096e-09,-88.6018390034550,-2.96086784079271e-6,-100.000000000000
9,99.1226640602896 + 28.591920998600074*x0 + -72.58827677679598*x0**2,-72.58828*x0**2 + 28.59192*x0 + 99.122665,1.2621366e-11,9,2.216794278717316e-09,9.48027792253315e-7,-3.49259525293177e-6,4.44039197715844e-6
