,complexity,loss,equation,score,sympy_format,lambda_format
0,1,3360.8813,37.350178,0.0,37.3501780000000,PySRFunction(X=>37.3501780000000)
1,3,1382.0874,x0 * -82.33011,0.44430413311240013,x0*(-82.33011),PySRFunction(X=>x0*(-82.33011))
2,4,995.30554,40.57776 / exp(x0),0.3283004786091876,40.57776/exp(x0),PySRFunction(X=>40.57776/exp(x0))
3,5,18.580164,36.901012 - (x0 * 81.96386),3.9809552053553747,36.901012 - 81.96386*x0,PySRFunction(X=>36.901012 - 81.96386*x0)
4,6,1.3919226,asinh(0.46860853 - x0) * 95.344284,2.5914086031240857,asinh(0.46860853 - x0)*95.344284,PySRFunction(X=>asinh(0.46860853 - x0)*95.344284)
5,8,0.9204027,(asinh(0.57469976 - x0) * 97.94272) + -9.497729,0.20681497211804062,asinh(0.57469976 - x0)*97.94272 - 9.497729,PySRFunction(X=>asinh(0.57469976 - x0)*97.94272 - 9.497729)
6,9,1.4784394e-11,(x0 * ((x0 * -12.200182) - 81.97736)) + 43.0015,24.854504963633378,x0*(x0*(-12.200182) - 1*81.97736) + 43.0015,PySRFunction(X=>x0*(x0*(-12.200182) - 1*81.97736) + 43.0015)
7,11,1.2730301e-11,(((x0 * x0) * -12.200181) + 43.0015) - (x0 * 81.97736),0.07479355387705276,-81.97736*x0 + x0*x0*(-12.200181) + 43.0015,PySRFunction(X=>-81.97736*x0 + x0*x0*(-12.200181) + 43.0015)
8,13,8.956012e-12,((x0 * ((x0 * -12.200181) - 16.829927)) + 43.0015) - (x0 * 65.14744),0.1758300093017596,x0*(x0*(-12.200181) - 1*16.829927) - 65.14744*x0 + 43.0015,PySRFunction(X=>x0*(x0*(-12.200181) - 1*16.829927) - 65.14744*x0 + 43.0015)
9,15,8.335964e-12,(((x0 * -23.7946) - (x0 * (x0 * 12.200181))) + 43.0015) + (x0 * -58.182766),0.03587293611792193,x0*(-58.182766) + x0*(-23.7946) - 12.200181*x0*x0 + 43.0015,PySRFunction(X=>x0*(-58.182766) + x0*(-23.7946) - 12.200181*x0*x0 + 43.0015)
